accession,taxonomy
KY213961,root;Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates_japonicus
KY213962,root;Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates_calcarifer
KY213963,root;Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates_niloticus
KY213964,root;Eukaryota;Chordata;Actinopteri;;Centropomidae;Psammoperca;Psammoperca_waigiensis
KY228977,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Microphysogobio;Microphysogobio_amurensis
KY228987,root;Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus_niphonius
KY230517,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Sisoridae;Glyptothorax;Glyptothorax_cavia
KY231189,root;Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser_gueldenstaedtii_x_Acipenser_baerii
KY235362,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bolbometopon;Bolbometopon_muricatum
KY242356,root;Eukaryota;Chordata;Actinopteri;Perciformes;Liparidae;;Liparidae_sp._YYS-2017
KY249560,root;Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;;Cromileptes_altivelis_x_Epinephelus_lanceolatus
KY250421,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus_masou
KY296294,root;Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus_macrocephalus
KY296449,root;Eukaryota;Chordata;Actinopteri;Characiformes;Prochilodontidae;Prochilodus;Prochilodus_vimboides
KY305681,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Barbodes;Barbodes_binotatus
KY307844,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gyrinocheilidae;Gyrinocheilus;Gyrinocheilus_aymonieri
KY307845,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Leptobotia;Leptobotia_elongata
KY307846,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Leptobotia;Leptobotia_microphthalma
KY307847,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Leptobotia;Leptobotia_rubrilabris
KY307848,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Sinibotia;Sinibotia_superciliaris
KY315559,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Amphilophus;Amphilophus_amarillo
