accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
KY213961,Lates japonicus,NA,species,Lates japonicus,Lates japonicus,NA,Lates japonicus,278958,278958,accepted,NA,"Katayama & Taki, 1984",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Lates,0,0,1
KY213962,Lates calcarifer,NA,species,Lates calcarifer,Lates calcarifer,NA,Lates calcarifer,278957,278957,accepted,NA,"(Bloch, 1790)",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Lates,0,0,1
KY213963,Lates niloticus,NA,species,Lates niloticus,Lates niloticus,NA,Lates niloticus,218165,218165,accepted,NA,"(Linnaeus, 1758)",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Lates,1,0,1
KY213964,Psammoperca waigiensis,NA,species,Psammoperca waigiensis,Psammoperca waigiensis,NA,Psammoperca waigiensis,282395,282395,accepted,NA,"(Cuvier, 1828)",Animalia,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Psammoperca,0,0,1
KY228977,Microphysogobio amurensis,NA,species,Microphysogobio amurensis,Microphysogobio amurensis,NA,Microphysogobio amurensis,1026961,1026961,accepted,NA,"(Taranetz, 1937)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Microphysogobio,1,0,1
KY228987,Scomberomorus niphonius,NA,species,Scomberomorus niphonius,Scomberomorus niphonius,NA,Scomberomorus niphonius,273817,273817,accepted,NA,"(Cuvier, 1832)",Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomberomorus,0,0,1
KY230517,Glyptothorax cavia,NA,species,Glyptothorax cavia,Glyptothorax cavia,NA,Glyptothorax cavia,1022777,1022777,accepted,NA,"(Hamilton, 1822)",Animalia,Chordata,Teleostei,Siluriformes,Sisoridae,Glyptothorax,1,0,1
KY235362,Bolbometopon muricatum,NA,species,Bolbometopon muricatum,Bolbometopon muricatum,NA,Bolbometopon muricatum,219074,219074,accepted,NA,"(Valenciennes, 1840)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Bolbometopon,0,0,1
KY242356,Liparidae,NA,family,Liparidae sp. YYS-2017,Liparidae,NA,Liparidae,234519,234519,accepted,NA,"Gill, 1861",Animalia,Chordata,Teleostei,Perciformes,Liparidae,NA,0,0,1
KY250421,Oncorhynchus masou,NA,species,Oncorhynchus masou,Oncorhynchus masou,NA,Oncorhynchus masou,293637,293637,accepted,NA,"(Brevoort, 1856)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,0,0,1
