"","species_name"
"1","Syngnathus leptorhynchus"
"2","Strongylura exilis"
"3","Hypsopsetta guttulata"
"4","Paralabrax maculatofasciatus"
"5","Atherinops affinis"
"6","Fundulus parvipinnis"
"7","Hypsoblennius gentilis"
"8","Heterostichus rostratus"
"9","Cymatogaster aggregata"
"10","Alloclinus holderi"
"11","Embiotoca jacksoni"
"12","Micrometrus minimus"
"13","Paralichthys californicus"
"14","Scorpaenichthys marmoratus"
"15","Citharichthys sordidus"
"16","Enophrys bison"
"17","Hexagrammos decagrammus"
"18","Apodichthys flavidus"
"19","Hemilepidotus hemilepidotus"
"20","Oligocottus maculosus"
"21","Artedius lateralis"
"22","Aulorhynchus flavidus"
"23","Artedius harringtoni"
"24","Gasterosteus aculeatus"
"25","Artedius fenestralis"
"26","Lepidogobius lepidus"
"27","Ophiodon elongatus"
"28","Hexagrammos stelleri"
"29","Myoxocephalus polyacanthocephalus"
"30","Anoplarchus purpurescens"
"31","Leptocottus armatus"
"32","Parophrys vetulus"
"33","Pholis laeta"
"34","Coryphopterus nicholsi"
"35","Ammodytes hexapterus"
"36","Pleuronichthys coenosus"
"37","Synchirus gilli"
"38","Brachyistius frenatus"
"39","Sebastes melanops"
"40","Lepidopsetta bilineata"
"41","Sebastes caurinus"
"42","Blepsias cirrhosus"
"43","Rimicola muscarum"
"44","Clupea pallasii"
"45","Pholis ornata"
"46","Platichthys stellatus"
"47","Psychrolutes paradoxus"
"48","Podothecus accipenserinus"
"49","Microgadus proximus"
"50","Oligocottus snyderi"
"51","Lumpenus sagitta"
"52","Oncorhynchus kisutch"
"53","Salvelinus malma"
"54","Porichthys notatus"
"55","Xererpes fucorum"
"56","Citharichthys stigmaeus"
"57","Embiotoca lateralis"
"58","Gobiesox maeandricus"
"59","Hexagrammos lagocephalus"
"60","Sebastes paucispinis"
"61","Rhacochilus vacca"
"62","Odontopyxis trispinosa"
"63","Psettichthys melanostictus"
"64","Sebastes maliger"
"65","Anoplarchus insignis"
"66","Sebastes auriculatus"
"67","Hexagrammos octogrammus"
"68","Pallasina barbata"
"69","Gadus macrocephalus"
"70","Clevelandia ios"
"71","Oxylebius pictus"
"72","Sebastes carnatus"
"73","Cebidicthys violaceus"
"74","Acanthogobius flavimanus"
