"","found_taxa","common_name","biogeographical_notes","group","fish_base_url","max","mean","median","min"
"1","Cymatogaster aggregata","Shiner perch","","Perches","https://www.fishbase.ca/summary/Cymatogaster-aggregata.html",58.66285,48.1198483548387,48.971692,32.71447
"2","Leptocottus armatus","Pacific staghorn sculpin","","Sculpins","https://www.fishbase.ca/summary/4112",58.66285,48.6376285778689,48.992217,33.76166
"3","Atherinops affinis","Topsmelt silverside","south to northern Van Island",NA,NA,58.38105625,41.4425704642857,38.0645,32.6256755
"4","Acanthogobius flavimanus","Yellowfin goby","japan",NA,NA,50.137267,42.0625956666667,38.10503,37.94549
"5","Clevelandia ios","Arrow goby","South to Rivers Inlet, BC","Other","https://www.fishbase.ca/summary/3840",51.92408,43.1907967142857,42.65886,32.9708
"6","Syngnathus exilis","Barcheek pipefish","south to Half Moon Bay in central California",NA,NA,50.444274,46.0476165,48.9198085,38.0645
"7","Gasterosteus aculeatus","Three-spined stickleback","","Other","https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html",58.62695,49.0129995069444,49.6142415,33.60218
"8","Syngnathus leptorhynchus","Bay pipefish","","Other","https://www.fishbase.ca/summary/Syngnathus-leptorhynchus.html",55.740587,45.8245368166667,48.7906815,32.6256755
"9","Salmo salar","Atlantic salmon","maybe from farm or food?","Salmon","https://www.fishbase.ca/summary/salmo-salar.html",58.38105625,48.3512834625,49.1898085,32.71447
"10","Atherinopsis californiensis","Jack silverside","south to Yaquina Bay, OR",NA,NA,50.137267,41.8779807,38.24871,33.60218
"11","Engraulis mordax","Californian anchovy","south to northern Van Island",NA,NA,50.444274,43.9735078695652,46.69456,32.71447
"12","Oncorhynchus tshawytscha","Chinook salmon","north to Oregon","Salmon","https://www.fishbase.ca/summary/244",58.62695,50.9577194404762,50.09155,38.31891
"13","Clupea pallasii","Pacific herring","","Forage fish","https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html",58.66285,48.9422018208333,49.1781585,32.71447
"14","Sebastes baramenuke","Sebastes baramenuke","japan",NA,NA,55.740587,47.06796171875,49.5247835,32.6256755
"15","Embiotoca jacksoni","Black perch","south to Fort Bragg, CA",NA,NA,50.444274,39.103496375,36.71829,32.71447
"16","Sebastes caurinus","Copper rockfish","",NA,NA,52.63103,49.0427289230769,50.09155,38.31891
"17","Citharichthys stigmaeus","Speckled sanddab","","Flatfish","https://www.fishbase.ca/summary/Citharichthys-stigmaeus",55.284338,48.0909074545455,50.09155,35.37208
"18","Lepidogobius lepidus","Bay goby","","Other","https://www.fishbase.ca/summary/Lepidogobius-lepidus.html",51.64644,48.9275739090909,50.09155,38.31891
"19","Amphistichus rhodoterus","Redtail surfperch","Vancouver Island, British Columbia, Canada to Avila Beach, central California, USA.","Perches","https://www.fishbase.ca/summary/3624",49.171917,41.8121056666667,38.31891,37.94549
"20","Pholis ornata","Saddleback gunnel","north to 36°","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/3806",50.521548,47.1148170588235,48.495648,38.10503
"21","Ammodytes personatus","Pacific sandlance","","Forage fish","https://www.fishbase.ca/summary/Ammodytes-personatus.html",58.3313,50.3454102727273,50.1047165,38.31891
"22","Xiphister atropurpureus","Black prickleback","","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Xiphister-atropurpureus.html",52.63103,49.5919303888889,50.1047165,38.31891
"23","Anoplopoma fimbria","Sablefish","","Other","https://www.fishbase.ca/summary/Anoplopoma-fimbria.html",50.444274,44.6506116,48.992217,35.36039
"24","Ophiodon elongatus","Lingcod","","Other","https://www.fishbase.ca/summary/Ophiodon-elongatus.html",58.38105625,48.5603220416667,49.725303,38.3339
