species
Cymatogaster aggregata
Clupea pallasii
Pholis laeta
Sebastes baramenuke
Oncorhynchus gorbuscha
Embiotoca lateralis
Xiphister atropurpureus
Hexagrammos decagrammus
Hexagrammos agrammus
Anoplarchus purpurescens
Ammodytes personatus
Citharichthys sordidus
Leptocottus armatus
Oncorhynchus kisutch
Enophrys bison
Phytichthys chirus
Hemilepidotus hemilepidotus
Scorpaenichthys marmoratus
Sebastes caurinus
Citharichthys stigmaeus
Oncorhynchus nerka
Artedius harringtoni
Oncorhynchus keta
Cottus cognatus
Apodichthys flavidus
Sebastes entomelas
Ronquilus jordani
Oncorhynchus tshawytscha
Clinocottus globiceps
Aulorhynchus flavidus
Lumpenus sagitta
Brachyistius frenatus
Oxylebius pictus
Myoxocephalus jaok
Syngnathus leptorhynchus
Liparis florae
Gobiesox maeandricus
Anarrhichthys ocellatus
Gasterosteus aculeatus
Cottus asper
Artedius fenestralis
Jordania zonope
Ophiodon elongatus
Isopsetta isolepis
Hippoglossus hippoglossus
Sebastes nebulosus
Clinocottus acuticeps
Salvelinus malma
Oligocottus maculosus
Pleuronichthys coenosus
Cololabis saira
Gadus chalcogrammus
Microstomus pacificus
Hemilepidotus spinosus
Sebastolobus macrochir
Gadus macrocephalus
Icosteus aenigmaticus
Sebastes nigrocinctus
Ascelichthys rhodorus
Stenobrachius leucopsarus
Sebastes paucispinis
Gadus morhua
Mola mola
Pholis crassispina
Liparis mucosus
Gibbonsia montereyensis
Nautichthys oculofasciatus
Artedius lateralis
Pleuronectes platessa
Salvelinus levanidovi
Sebastes crameri
Engraulis mordax
Hydrolagus colliei
Oncorhynchus mykiss
Anoplopoma fimbria
Salmo salar
Rhacochilus vacca
Lepidogobius lepidus
Sebastes mentella
Trichodon trichodon
Sebastes trivittatus
Phocoena phocoena
Chitonotus pugetensis
Odontopyxis trispinosa
Pholis ornata
Tactostoma macropus
Lepidopsetta bilineata
Lycodes pacificus
Synchirus gilli
Polypera greeni
Hexagrammos otakii
Nannobrachium regale
Eumetopias jubatus
Stenobrachius nannochir
Diaphus theta
Eschrichtius robustus
Merluccius productus
Ammodytes marinus
Blepsias cirrhosus
Microgadus proximus
Thaleichthys pacificus
Squalus suckleyi
Balaenoptera physalus
Dermasterias imbricata
Ptilichthys goodei
Eopsetta jordani
Agonopsis vulsa
Liparis fucensis
Tarletonbeania crenularis
Amphistichus argenteus
Sebastes babcocki
Megaptera novaeangliae
Oncorhynchus clarkii
Glyptocephalus zachirus
Pleuronichthys decurrens
Hypomesus pretiosus
Mirounga angustirostris
Clevelandia ios
Squalus acanthias
Spirinchus lanceolatus
Microstomus kitt
Sebastes aleutianus
Clupea harengus
Orcinus orca
Leptoclinus maculatus
Psettichthys melanostictus
Atheresthes evermanni
Mallotus villosus
Alosa fallax
Hippoglossus stenolepis
Skeletonema pseudocostatum
Rhizosolenia setigera
Pararotalia nipponica
Citharichthys xanthostigma
Homo sapiens
Liparis gibbus
Syringidium daemon
Hemilepidotus jordani
Bathylagus pacificus
Chaetoceros diadema
Chaetoceros simplex
Virgulinella fragilis
Sprattus sprattus
Pseudo-nitzschia multiseries
Bos taurus
Thalassionema frauenfeldii
Sus scrofa
Corethron pennatum
Leptocylindrus danicus
Chaetoceros socialis
Leuroglossus schmidti
Lycodapus mandibularis
Hippoglossoides platessoides
Alburnus alburnus
Glyptocephalus cynoglossus
Platichthys stellatus
Coryphaenoides acrolepis
Cottus hangiongensis
Pseudobathylagus milleri
Bryozoichthys lysimus
Liparis cyclopus
Poromitra curilensis
Brosmophycis marginata
Sardinops melanostictus
Melamphaes lugubris
Liparis pulchellus
Cyclothone atraria
Cottus rhenanus
Rimicola muscarum
Cyclothone acclinidens
Salvelinus taranetzi
Scomber japonicus
Oncorhynchus clarkii lewisi
Amphistichus rhodoterus
Lyopsetta exilis
Sebastes mystinus
Sebastes auriculatus
Cryptacanthodes giganteus
Gadus ogac
Cottus ricei
Strongylura exilis
Hypsopsetta guttulata
Paralabrax maculatofasciatus
Atherinops affinis
Fundulus parvipinnis
Hypsoblennius gentilis
Heterostichus rostratus
Alloclinus holderi
Embiotoca jacksoni
Micrometrus minimus
Paralichthys californicus
Hexagrammos stelleri
Myoxocephalus polyacanthocephalus
Parophrys vetulus
Coryphopterus nicholsi
Ammodytes hexapterus
Sebastes melanops
Psychrolutes paradoxus
Podothecus accipenserinus
Oligocottus snyderi
Porichthys notatus
Xererpes fucorum
Hexagrammos lagocephalus
Sebastes maliger
Anoplarchus insignis
Hexagrammos octogrammus
Pallasina barbata
Sebastes carnatus
Cebidicthys violaceus
Acanthogobius flavimanus
Syngnathus exilis
Atherinopsis californiensis
Sardinops sagax
Thunnus orientalis
Oncorhynchus clarkii clarkii
Mugil cephalus
Paralabrax clathratus
Paralabrax nebulifer
Anchoa mitchilli
Seriola lalandi
Fundulus lima
Limanda limanda
Myoxocephalus stelleri
Phanerodon vacca
