species
Clupea pallasii
Cymatogaster aggregata
Gasterosteus aculeatus
Ammodytes personatus
Hexagrammos decagrammus
Oncorhynchus gorbuscha
Pholis laeta
Leptocottus armatus
Embiotoca lateralis
Anoplarchus purpurescens
Isopsetta isolepis
Apodichthys flavidus
Artedius harringtoni
Sebastes caurinus
Oncorhynchus kisutch
Oncorhynchus tshawytscha
Aulorhynchus flavidus
Cottus asper
Xiphister atropurpureus
Platichthys stellatus
Phanerodon vacca
Hemilepidotus hemilepidotus
Ophiodon elongatus
Gobiesox maeandricus
Scorpaenichthys marmoratus
Citharichthys stigmaeus
Enophrys bison
Brachyistius frenatus
Oncorhynchus keta
Citharichthys sordidus
Clinocottus globiceps
Oligocottus maculosus
Artedius fenestralis
Liparis florae
Jordania zonope
Anarrhichthys ocellatus
Sebastes entomelas
Synchirus gilli
Engraulis mordax
Ascelichthys rhodorus
Sebastes nebulosus
Pleuronichthys coenosus
Cottus cognatus
Oxylebius pictus
Gibbonsia montereyensis
Phytichthys chirus
Liparis mucosus
Syngnathus leptorhynchus
Lepidopsetta bilineata
Lepidogobius lepidus
Liparis cyclopus
Chitonotus pugetensis
Anoplopoma fimbria
Hemilepidotus spinosus
Nautichthys oculofasciatus
Blepsias cirrhosus
Polypera greeni
Artedius lateralis
Rimicola muscarum
Microstomus pacificus
Lumpenus sagitta
Salvelinus malma
Clevelandia ios
Liparis pulchellus
Hydrolagus colliei
Oncorhynchus clarkii clarkii
Odontopyxis trispinosa
Trichodon trichodon
Icosteus aenigmaticus
Gadus chalcogrammus
Ronquilus jordani
Icichthys lockingtoni
Microgadus proximus
Gadus macrocephalus
Pholis ornata
Clinocottus acuticeps
Atheresthes evermanni
Lyopsetta exilis
Oncorhynchus mykiss
Merluccius productus
Sebastes nigrocinctus
Orthonopias triacis
Brosmophycis marginata
Amphistichus rhodoterus
Scomber japonicus
Eopsetta jordani
Hypomesus pretiosus
Liparis fucensis
Cryptacanthodes giganteus
Hippoglossus stenolepis
Leptoclinus maculatus
Hippoglossoides elassodon
