species
Clupea pallasii
Salmo salar
Sebastes entomelas
Gadus chalcogrammus
Gadus morhua
Microstomus pacificus
Leuroglossus schmidti
Lycodapus mandibularis
Hydrolagus colliei
Merluccius productus
Xiphister atropurpureus
Sebastes caurinus
Lepidopsetta bilineata
Sebastes baramenuke
Hippoglossoides platessoides
Artedius fenestralis
Ophiodon elongatus
Anarrhichthys ocellatus
Scorpaenichthys marmoratus
Pholis laeta
Sprattus sprattus
Hexagrammos decagrammus
Oncorhynchus tshawytscha
Cymatogaster aggregata
Alburnus alburnus
Liparis fucensis
Cottus asper
Cottus cognatus
Oncorhynchus gorbuscha
Oxylebius pictus
Glyptocephalus cynoglossus
Oligocottus maculosus
Anoplarchus purpurescens
