species
Humilaria kennerleyi
Phascolosoma agassizii
Phoronopsis harmeri
Strongylocentrotus pallidus
Dermasterias imbricata
Lottia paradigitalis
Pholoides asperus
Nanomia bijuga
Eudistylia vancouveri
Synchaeta vorax
Panopea generosa
Mytilus trossulus
Saxidomus gigantea
Pisaster brevispinus
Mesocentrotus franciscanus
Halosydna brevisetosa
Harmothoe extenuata
Metridium senile
Cucumaria miniata
Chone magna
Euchlanis dilatata
Arhynchite pugettensis
Armandia brevis
Strongylocentrotus droebachiensis
Mesochaetopterus taylori
Brisaster latifrons
Ophiura luetkenii
Mytilus californianus
Lottia scutum
Nereis pelagica
Chiridota albatrossii
Littorina plena
Cucumaria pallida
Galathowenia oculata
Psolus chitonoides
Katharina tunicata
Saxidomus nuttalli
