species
Clupea pallasii
Cymatogaster aggregata
Ammodytes personatus
Cottus asper
Gasterosteus aculeatus
Oncorhynchus gorbuscha
Hexagrammos decagrammus
Leptocottus armatus
Artedius harringtoni
Oncorhynchus kisutch
Oncorhynchus tshawytscha
Pholis laeta
Isopsetta isolepis
Sebastes baramenuke
Oncorhynchus keta
Platichthys stellatus
Artedius fenestralis
Apodichthys flavidus
Rhacochilus vacca
Sebastes caurinus
Coryphaenoides acrolepis
Hexagrammos agrammus
Cottus cognatus
Hemilepidotus hemilepidotus
Ophiodon elongatus
Pholis ornata
Myoxocephalus jaok
Scorpaenichthys marmoratus
Ammodytes marinus
Anarrhichthys ocellatus
Xiphister atropurpureus
Embiotoca lateralis
Ascelichthys rhodorus
Cottus hangiongensis
Pseudobathylagus milleri
Jordania zonope
Anoplarchus purpurescens
Citharichthys stigmaeus
Aulorhynchus flavidus
Bathylagus pacificus
Lumpenus sagitta
Artedius lateralis
Bryozoichthys lysimus
Oligocottus maculosus
Sebastes nebulosus
Chitonotus pugetensis
Liparis cyclopus
Brachyistius frenatus
Hippoglossus hippoglossus
Trichodon trichodon
Glyptocephalus zachirus
Poromitra curilensis
Engraulis mordax
Gadus chalcogrammus
Gobiesox maeandricus
Hemilepidotus spinosus
Liparis florae
Gibbonsia montereyensis
Brosmophycis marginata
Stenobrachius leucopsarus
Sebastes entomelas
Microstomus pacificus
Sardinops melanostictus
Atheresthes evermanni
Gadus morhua
Citharichthys sordidus
Salvelinus malma
Phytichthys chirus
Syngnathus leptorhynchus
Sprattus sprattus
Stenobrachius nannochir
Synchirus gilli
Blepsias cirrhosus
Enophrys bison
Melamphaes lugubris
Oncorhynchus nerka
Clupea harengus
Liparis pulchellus
Nautichthys oculofasciatus
Thaleichthys pacificus
Sebastes crameri
Lepidopsetta bilineata
Icosteus aenigmaticus
Cyclothone atraria
Clinocottus globiceps
Cottus rhenanus
Clinocottus acuticeps
Pleuronichthys coenosus
Oxylebius pictus
Rimicola muscarum
Lepidogobius lepidus
Anoplopoma fimbria
Cyclothone acclinidens
Odontopyxis trispinosa
Salvelinus taranetzi
Scomber japonicus
Sebastes paucispinis
Oncorhynchus clarkii lewisi
Amphistichus rhodoterus
Lyopsetta exilis
Oncorhynchus mykiss
Sebastes mystinus
Sebastes auriculatus
Cryptacanthodes giganteus
Gadus ogac
Cottus ricei
Liparis mucosus
Merluccius productus
Microgadus proximus
Pholis crassispina
Gadus macrocephalus
