Latin Name,Common Name,Group,FishBaseURL,,,
Acipenser transmontanus,White sturgeon,Other,https://www.fishbase.ca/summary/2594,,,
Agonopsis vulsa,Northern spearnose poacher,Poachers,https://www.fishbase.ca/summary/Agonopsis-vulsa.html,,,
Allosmerus elongatus,Whitebait smelt,Forage fish,https://www.fishbase.ca/summary/Allosmerus-elongatus.html,,,
Alosa sapidissima,American shad,Forage fish,https://www.fishbase.ca/summary/Alosa-sapidissima.html,,,
Ammodytes personatus,Pacific sandlance,Forage fish,https://www.fishbase.ca/summary/Ammodytes-personatus.html,,,
Amphistichus rhodoterus,Redtail surfperch,Perches,https://www.fishbase.ca/summary/3624,,,
Anarrhichthys ocellatus,Wolf eel,Other,https://www.fishbase.ca/summary/Anarrhichthys-ocellatus.html,,,
Anisarchus medius,Stout eelblenny,,https://www.fishbase.se/summary/3789,,,
Anoplagonus inermis,Smooth alligatorfish,Sculpins,https://www.fishbase.ca/summary/Anoplagonus-inermis.html,,,
Anoplarchus purpurescens,High cockscomb,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/anoplarchus-purpurescens.html,,,
Anoplopoma fimbria,Sablefish,Other,https://www.fishbase.ca/summary/Anoplopoma-fimbria.html,,,
Apodichthys flavidus,Penpoint gunnel,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Apodichthys-flavidus.html,,,
Artedius fenestralis,Padded sculpin,Sculpins,https://www.fishbase.ca/summary/Artedius-fenestralis.html,,,
Artedius harringtoni,Scalyhead sculpin,Sculpins,https://www.fishbase.ca/summary/Artedius-harringtoni.html,,,
Artedius lateralis,Smoothhead sculpin,Sculpins,https://www.fishbase.ca/summary/ARTEDIUS-LATERALIS.html,,,
Ascelichthys rhodorus,Rosylip sculpin,Sculpins,https://www.fishbase.ca/summary/4051,,,
Atheresthes evermanni,Kamchatka flounder,,,,,
Aulorhynchus flavidus,Tube-snout,Other,https://www.fishbase.ca/summary/3270,,,
Bathyagonus infraspinatus,Spinycheek starsnout,,,,,
Bathyagonus nigripinnis,Blackfin poacher,Poachers,https://www.fishbase.ca/summary/Bathyagonus-nigripinnis.html,,,
Bathylagus pacificus,Slender blacksmelt,,https://www.fishbase.se/summary/Bathylagus-pacificus.html,,,
Blepsias cirrhosus,Silverspotted sculpin,Sculpins,https://www.fishbase.ca/summary/4054,,,
Brachyistius frenatus,Kelp perch,Perches,https://www.fishbase.ca/summary/3625,,,
Brosmophycis marginata,Red brotula,,https://www.fishbase.de/summary/Brosmophycis-marginata.html,,,
Bryozoichthys lysimus,Nutcracker prickleback,,,,,
Catostomus macrocheilus,Largescale sucker,,https://www.fishbase.de/summary/Catostomus-macrocheilus.html,,,
Chirolophis nugator,Mosshead warbonnet,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/3781,,,
Chitonotus pugetensis,Roughback sculpin,,,,,
Chitonotus pugetensis,Roughback sculpin,Sculpins,https://www.fishbase.ca/summary/4055,,,
Citharichthys sordidus,Pacific sanddab,Flatfish,https://www.fishbase.ca/summary/Citharichthys-sordidus.html,,,
Citharichthys stigmaeus,Speckled sanddab,Flatfish,https://www.fishbase.ca/summary/Citharichthys-stigmaeus,,,
Clevelandia ios,Arrow goby,Other,https://www.fishbase.ca/summary/3840,,,
Clinocottus acuticeps,Sharpnose sculpin,Sculpins,https://www.fishbase.ca/summary/Clinocottus-acuticeps.html,,,
Clinocottus globiceps,Mosshead sculpin,Sculpins,https://www.fishbase.ca/summary/4059,,,
Clupea pallasii,Pacific herring,Forage fish,https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html,,,
Cololabis saira,Pacific saury,Forage fish,https://www.fishbase.ca/summary/Cololabis-saira.html,,,
Coryphaenoides acrolepis,Pacific grenadier,,https://www.fishbase.se/summary/8467,,,
Cottus asper,Prickly sculpin,Sculpins,https://www.fishbase.ca/summary/Cottus-asper.html,,,
Cottus cognatus,Slimy sculpin,Sculpins,https://www.fishbase.ca/summary/4068,,,
Cryptacanthodes giganteus,Giant wrymouth,Eelpouts and pricklebacks,https://www.fishbase.ca/summary/Cryptacanthodes-giganteus.html,,,
Cymatogaster aggregata,Shiner perch,Perches,https://www.fishbase.ca/summary/Cymatogaster-aggregata.html,,,
Cyprinus carpio,Common carp,Other,https://www.fishbase.ca/summary/cyprinus-carpio.html,,,
Diaphus theta,California headlightfish,,,,,
Embiotoca lateralis,Striped seaperch,Perches,https://www.fishbase.ca/summary/3629,,,
Engraulis mordax,Northern anchovy,Forage fish,https://www.fishbase.ca/summary/Engraulis-mordax.html,,,
Enophrys bison,Buffalo sculpin,Sculpins,https://www.fishbase.ca/summary/Enophrys-bison.html,,,
Entosphenus tridentatus,Pacific lamprey,Other,https://www.fishbase.ca/summary/Entosphenus-tridentatus.html,,,
Eopsetta jordani,Petrale sole,,https://www.fishbase.se/summary/Eopsetta-jordani.html,,,
