common name,species name,biogeographical notes
prickly sculpin,Cottus asper,
Dolly varden,Salvelinus malma,freshewater - north to Washington
Snake prickleback,Lumpenus sagitta,north to San Francisco
Crescent gunnel,Pholis laeta,north to northern California
Starry flounder,Platichthys stellatus,
High cockscomb,Anoplarchus purpurescens,
Scalyhead sculpin,Artedius harringtoni,north to central cali
Sharpnose sculpin,Clinocottus acuticeps,north to central cali
Alaska pollock,Gadus chalcogrammus,"north to Sarmel, CA"
Plain sculpin,Myoxocephalus jaok,Alaska
Chinook salmon,Oncorhynchus tshawytscha,north to Oregon
Pacific sandlance,Ammodytes personatus,
Lingcod,Ophiodon elongatus,
Pacific staghorn sculpin,Leptocottus armatus,
Three-spined stickleback,Gasterosteus aculeatus,
Coho salmon,Oncorhynchus kisutch,
Pacific herring,Clupea pallasii,
Shiner perch,Cymatogaster aggregata,
pink salmon,Oncorhynchus gorbuscha,
Chum salmon,Oncorhynchus keta,
Spotted sand bass,Paralabrax maculatofasciatus,south to Monterey Bay
Topsmelt silverside,Atherinops affinis,south to northern Van Island
Flathead grey mullet,Mugil cephalus,south to cali
Padded sculpin,Artedius fenestralis,
Buffalo sculpin,Enophrys bison,north to Monterrey Bay
Tube-snout,Aulorhynchus flavidus,
Speckled sanddab,Citharichthys stigmaeus,
Tidepool sculpin,Oligocottus maculosus,north to Los Angeles County
Bay pipefish,Syngnathus leptorhynchus,
Red Irish lord,Hemilepidotus hemilepidotus,north to Monterrey Bay
C-O sole,Pleuronichthys coenosus,
Smoothhead sculpin,Artedius lateralis,
Striped seaperch,Embiotoca lateralis,
Penpoint gunnel,Apodichthys flavidus,
Copper rockfish,Sebastes caurinus,
Black prickleback,Xiphister atropurpureus,
Kelp greenling,Hexagrammos decagrammus,
Arrow goby,Clevelandia ios,"South to Rivers Inlet, BC"
Sockeye salmon,Oncorhynchus nerka,north of Columbia River drainage in Oregon
Northern clingfish,Gobiesox maeandricus,
Kelp clingfish,Rimicola muscarum,south to Queen Charlotte Islands
Ribbon prickleback,Phytichthys chirus,
Rosylip sculpin,Ascelichthys rhodorus,north to central CA
Pacific rock sole,Lepidopsetta bilineata,
Butter sole,Isopsetta isolepis,"north to Ventura, CA"
Bay goby,Lepidogobius lepidus,
Cabezon,Scorpaenichthys marmoratus,
Rainbow trout / steelhead,Oncorhynchus mykiss,
Pacific sanddab,Citharichthys sordidus,
Pacific tomcod,Microgadus proximus,borth to central cali
Kelp perch,Brachyistius frenatus,south to northern BC
Saddleback gunnel,Pholis ornata,north to 36°
Barcheek pipefish,Syngnathus exilis,south to Half Moon Bay in central California
Steller's sculpin,Myoxocephalus stelleri,Alaska
Sablefish,Anoplopoma fimbria,
Black perch,Embiotoca jacksoni,"south to Fort Bragg, CA"
Californian anchovy,Engraulis mordax,south to northern Van Island
Crevice kelpfish,Gibbonsia montereyensis,south to BC
Silverspotted sculpin,Blepsias cirrhosus,north to central CA
North Pacific hake,Merluccius productus,south to northern Van Island
Surf smelt,Hypomesus pretiosus,"north to Long Beach, southern California"
Jack silverside,Atherinopsis californiensis,"south to Yaquina Bay, OR"
Barred sand bass,Paralabrax nebulifer,"south to Santa Cruz, CA"
Tidepool snailfish,Liparis florae,north to Point Conception
Spotted ratfish,Hydrolagus colliei,
Painted greenling,Oxylebius pictus,
Redtail surfperch,Amphistichus rhodoterus,"Vancouver Island, British Columbia, Canada to Avila Beach, central California, USA."
Pacific bluefin tuna,Thunnus orientalis,
Cutthroat trout,Oncorhynchus clarkii clarkii,north to Eel River
South American pilchard,Sardinops sagax,
California flounder,Paralichthys californicus,south to WA
Brown rockfish,Sebastes auriculatus,
Dwarf perch,Micrometrus minimus,"south to Bodega Bay, CA"
Bay blenny,Hypsoblennius gentilis,south to Monterey Bay
Diamond turbot,Hypsopsetta guttulata,south to Cape Mendicino
Kelp bass,Paralabrax clathratus,south to WA
Yellowtail amberjack,Seriola lalandi,south to BC
Common dab,Limanda limanda,european
,Salvelinus taranetzi,russia
Slimy sculpin,Cottus cognatus,freshwater
Bleak,Alburnus alburnus,freshwater europe
Atlantic halibut,Hippoglossus hippoglossus,atlantic
Killifish,Fundulus lima,tropical
Atlantic salmon,Salmo salar,maybe from farm or food?
,Sebastes baramenuke,japan
Spotty-bellied greenling,Hexagrammos agrammus,west pacific
,Pholis crassispina,asian species
Yellowfin goby,Acanthogobius flavimanus,japan
Bay anchovy,Anchoa mitchilli,Atlantic
