sample_id,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa,terrestrial,holoplankton
GH001,Animalia,Arthropoda,6925,0.8339354527938343,1,Hexanauplia,6904,0.8314065510597303,1,Calanoida,6904,0.8314065510597303,1,Acartiidae,6783,0.8168352601156069,1,Acartia,6783,0.8168352601156069,1,Acartia longiremis,6783,0.8168352601156069,1,0,1
GH001,Animalia,Cnidaria,636,0.07658959537572255,1,Scyphozoa,0,0,0,Semaeostomeae,0,0,0,Phacellophoridae,0,0,0,Phacellophora,0,0,0,Phacellophora camtschatica,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.07658959537572255,1,Hydrozoa,636,0.07658959537572255,1,Leptothecata,636,0.07658959537572255,1,Campanulariidae,0,0,0,Clytia,0,0,0,Clytia gracilis,0,0,0,0,0
GH001,Animalia,Echinodermata,0,0,0,Echinoidea,0,0,0,Camarodonta,0,0,0,Strongylocentrotidae,0,0,0,Mesocentrotus,0,0,0,Mesocentrotus franciscanus,0,0,0,0,0
GH001,Animalia,Annelida,204,0.03570935741555634,1,Polychaeta,204,0.03570935741555634,1,Phyllodocida,204,0.03570935741555634,1,Nereididae,0,0,0,Platynereis,0,0,0,Platynereis bicanaliculata,0,0,0,0,0
GH001,Animalia,Arthropoda,6925,0.8339354527938343,1,Hexanauplia,6904,0.8314065510597303,1,Calanoida,6904,0.8314065510597303,1,Centropagidae,0,0,0,Centropages,0,0,0,Centropages abdominalis,0,0,0,0,1
GH001,Animalia,Mollusca,539,0.09599622249264779,1,Bivalvia,539,0.12683784613075857,1,Adapedonta,0,0,0,Hiatellidae,0,0,0,Panopea,0,0,0,Panopea generosa,0,0,0,0,0
GH001,Animalia,Arthropoda,6925,0.8339354527938343,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Balanidae,0,0,0,Balanus,0,0,0,Balanus crenatus,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.07658959537572255,1,Hydrozoa,636,0.07658959537572255,1,Siphonophorae,0,0,0,Diphyidae,0,0,0,Muggiaea,0,0,0,Muggiaea atlantica,0,0,0,0,1
GH001,Animalia,Mollusca,539,0.09599622249264779,1,Bivalvia,539,0.12683784613075857,1,Mytilida,0,0,0,Mytilidae,0,0,0,Mytilus,0,0,0,Mytilus trossulus,0,0,0,0,0
