query,lca_rank,lca_taxon,kingdom,phylum,class,order,family,genus,species,method
ASV1,species,Skeletonema japonicum,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum,best hit
ASV7,species,Polaribacter sp. KT 15,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. KT 15,best hit
ASV10,species,Semia brevidilata,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadidae,Semia,Semia brevidilata,best hit
ASV11,species,Desmacella austini,Metazoa,Porifera,Demospongiae,Desmacellida,Desmacellidae,Desmacella,Desmacella austini,best hit
ASV13,species,Aglaophenia harpago,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,Aglaophenia harpago,best hit
ASV16,species,Oecobius machadoi,Metazoa,Arthropoda,Arachnida,Araneae,Oecobiidae,Oecobius,Oecobius machadoi,best hit
ASV20,species,Scepticus uniformis,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,Scepticus,Scepticus uniformis,best hit
ASV21,species,Acanthamoeba comandoni,Eukaryota,Discosea,unknown class,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni,best hit
ASV35,species,Thoracosphaera heimii,Eukaryota,unknown phylum,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Thoracosphaera,Thoracosphaera heimii,best hit
ASV37,species,Formosa sp. Hel3_A1_48,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa,Formosa sp. Hel3_A1_48,best hit
ASV40,species,Cephalothrix sp. 1 TCH-2015,Metazoa,Nemertea,Palaeonemertea,unknown order,Cephalothricidae,Cephalothrix,Cephalothrix sp. 1 TCH-2015,best hit
ASV48,species,uncultured diatom,Eukaryota,Bacillariophyta,unknown class,unknown order,unknown family,unknown genus,uncultured diatom,best hit
ASV54,species,Candidatus Pelagibacter sp. FZCC0015,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. FZCC0015,best hit
ASV70,species,Candidatus Pelagibacter ubique HTCC1062,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique HTCC1062,best hit
ASV72,species,Theridion murarium,Metazoa,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion murarium,best hit
ASV92,species,Protoperidinium cf. depressum,Eukaryota,unknown phylum,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium cf. depressum,best hit
ASV103,species,uncultured Flavobacteriia bacterium,Bacteria,Bacteroidetes,Flavobacteriia,unknown order,unknown family,unknown genus,uncultured Flavobacteriia bacterium,best hit
ASV112,species,Acanthamoeba comandoni,Eukaryota,Discosea,unknown class,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba comandoni,best hit
ASV114,species,Pedospumella sp.,Eukaryota,unknown phylum,Chrysophyceae,Chromulinales,Chromulinaceae,Pedospumella,Pedospumella sp.,best hit
ASV115,species,uncultured Kareniaceae,Eukaryota,unknown phylum,Dinophyceae,Gymnodiniales,Kareniaceae,unknown genus,uncultured Kareniaceae,best hit
ASV122,species,invertebrate environmental sample,Metazoa,unknown phylum,unknown class,unknown order,unknown family,unknown genus,invertebrate environmental sample,best hit
ASV123,species,Amoebozoa sp.,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Amoebozoa sp.,best hit
ASV128,species,Metridia lucens,Metazoa,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens,best hit
ASV131,species,Polycirrus sp. 11BIOAK-1220,Metazoa,Annelida,Polychaeta,Terebellida,Terebellidae,Polycirrus,Polycirrus sp. 11BIOAK-1220,best hit
ASV137,species,Acartia californiensis,Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia californiensis,best hit
ASV142,species,Ceritoturris sp. NP-2008,Metazoa,Mollusca,Gastropoda,Neogastropoda,Drilliidae,Ceritoturris,Ceritoturris sp. NP-2008,best hit
ASV144,species,Tortanus discaudatus,Metazoa,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,Tortanus discaudatus,best hit
ASV145,species,Coccidoxenoides perminutus,Metazoa,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Coccidoxenoides,Coccidoxenoides perminutus,best hit
ASV146,species,Protoperidinium cf. depressum,Eukaryota,unknown phylum,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium cf. depressum,best hit
ASV148,species,Polaribacter vadi,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter vadi,best hit
ASV151,species,Achlya hypogyna,Eukaryota,unknown phylum,Oomycota,Saprolegniales,Saprolegniaceae,Achlya,Achlya hypogyna,best hit
ASV159,species,Thalassiosira punctigera,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera,best hit
ASV161,species,Haptoglossa zoospora,Eukaryota,unknown phylum,Oomycota,unknown order,unknown family,Haptoglossa,Haptoglossa zoospora,best hit
ASV172,species,Rhizaria sp.,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Rhizaria sp.,best hit
ASV176,species,Prasinoderma coloniale,Viridiplantae,Chlorophyta,Palmophyllophyceae,Prasinococcales,Prasinococcaceae,Prasinoderma,Prasinoderma coloniale,best hit
ASV178,species,Casbia adoxa,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Casbia,Casbia adoxa,best hit
ASV180,species,Philisca tripunctata,Metazoa,Arthropoda,Arachnida,Araneae,Anyphaenidae,Philisca,Philisca tripunctata,best hit
ASV191,species,Amoebozoa sp.,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Amoebozoa sp.,best hit
ASV197,species,Amoebozoa sp.,Eukaryota,unknown phylum,unknown class,unknown order,unknown family,unknown genus,Amoebozoa sp.,best hit
ASV198,species,Candidatus Pelagibacter giovannonii,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter giovannonii,best hit
ASV205,species,Chloropidae sp. BOLD:AAU6752,Metazoa,Arthropoda,Insecta,Diptera,Chloropidae,unknown genus,Chloropidae sp. BOLD:AAU6752,best hit
ASV222,species,Chrysops aberrans,Metazoa,Arthropoda,Insecta,Diptera,Tabanidae,Chrysops,Chrysops aberrans,best hit
ASV223,species,Phytophthora acaciivora,Eukaryota,unknown phylum,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora acaciivora,best hit
ASV250,species,uncultured dinoflagellate,Eukaryota,unknown phylum,Dinophyceae,unknown order,unknown family,unknown genus,uncultured dinoflagellate,best hit
ASV253,species,Seonamhaeicola sp. S2-3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,Seonamhaeicola sp. S2-3,best hit
ASV258,species,Scopalina ruetzleri,Metazoa,Porifera,Demospongiae,Bubarida,Dictyonellidae,Scopalina,Scopalina ruetzleri,best hit
ASV259,species,Cunea thuwala,Eukaryota,Discosea,Flabellinia,Dactylopodida,Paramoebidae,Cunea,Cunea thuwala,best hit
