"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"1","Acantholiparis caecus","Acantholiparis caecus Grinols, 1969","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Acantholiparis",1,44,204,590,8627,2336399,2336400,"Actinopterygii"
"2","Acantholiparis opercularis","Acantholiparis opercularis Gilbert & Burke, 1912","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Acantholiparis",1,44,204,590,8627,2336399,2336401,"Actinopterygii"
"3","Acantholumpenus mackayi","Acantholumpenus mackayi (Gilbert, 1896)","species","Animalia","Chordata","Perciformes","Stichaeidae","Acantholumpenus",1,44,204,587,8598,2395000,2395001,"Actinopterygii"
"4","Acanthonus armatus","Acanthonus armatus Günther, 1878","species","Animalia","Chordata","Ophidiiformes","Ophidiidae","Acanthonus",1,44,204,1308,8476,2345631,2345632,"Actinopterygii"
"5","Acanthopsetta nadeshnyi","Acanthopsetta nadeshnyi Schmidt, 1904","species","Animalia","Chordata","Pleuronectiformes","Pleuronectidae","Acanthopsetta",1,44,204,588,8611,2409053,2409054,"Actinopterygii"
"6","Acipenser medirostris","Acipenser medirostris Ayres, 1854","species","Animalia","Chordata","Acipenseriformes","Acipenseridae","Acipenser",1,44,204,1103,2947,2340025,2402118,"Actinopterygii"
"7","Acipenser transmontanus","Acipenser transmontanus Richardson, 1836","species","Animalia","Chordata","Acipenseriformes","Acipenseridae","Acipenser",1,44,204,1103,2947,2340025,2402122,"Actinopterygii"
"8","Agonomalus mozinoi","Agonomalus mozinoi Wilimovsky & Wilson, 1979","species","Animalia","Chordata","Scorpaeniformes","Agonidae","Agonomalus",1,44,204,590,8617,2337147,2337152,"Actinopterygii"
"9","Agonopsis vulsa","Agonopsis vulsa (Jordan & Gilbert, 1880)","species","Animalia","Chordata","Scorpaeniformes","Agonidae","Agonopsis",1,44,204,590,8617,2337232,5201655,"Actinopterygii"
"10","Albatrossia pectoralis","Coryphaenoides pectoralis (Gilbert, 1892)","species","Animalia","Chordata","Gadiformes","Macrouridae","Albatrossia",1,44,204,549,6978,2416516,5215154,"Actinopterygii"
"11","Alectrias alectrolophus","Alectrias alectrolophus (Pallas, 1814)","species","Animalia","Chordata","Perciformes","Stichaeidae","Alectrias",1,44,204,587,8598,2394777,2394781,"Actinopterygii"
"12","Alectridium aurantiacum","Alectridium aurantiacum Gilbert & Burke, 1912","species","Animalia","Chordata","Perciformes","Stichaeidae","Alectridium",1,44,204,587,8598,2394775,2394776,"Actinopterygii"
"13","Alepisaurus ferox","Alepisaurus ferox Lowe, 1833","species","Animalia","Chordata","Aulopiformes","Alepisauridae","Alepisaurus",1,44,204,497,7178,2401689,2401692,"Actinopterygii"
"14","Alepocephalus tenebrosus","Alepocephalus tenebrosus Gilbert, 1892","species","Animalia","Chordata","Osmeriformes","Alepocephalidae","Alepocephalus",1,44,204,1068,8477,3241113,5214405,"Actinopterygii"
"15","Allocareproctus jordani","Allocareproctus jordani (Burke, 1930)","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Allocareproctus",1,44,204,590,8627,2336100,2336105,"Actinopterygii"
