"","species"
"1","Acantholiparis caecus"
"2","Acantholiparis opercularis"
"3","Acantholumpenus mackayi"
"4","Acanthonus armatus"
"5","Acanthopsetta nadeshnyi"
"6","Acipenser medirostris"
"7","Acipenser transmontanus"
"8","Agonomalus mozinoi"
"9","Agonopsis vulsa"
"10","Albatrossia pectoralis"
"11","Alectrias alectrolophus"
"12","Alectridium aurantiacum"
"13","Alepisaurus ferox"
"14","Alepocephalus tenebrosus"
"15","Allocareproctus jordani"
"16","Allocareproctus kallaion"
"17","Allocareproctus tanix"
"18","Allocareproctus unangas"
"19","Allocareproctus ungak"
"20","Allocyttus folletti"
"21","Allosmerus elongatus"
"22","Alopias superciliosus"
"23","Alopias vulpinus"
"24","Alosa sapidissima"
"25","Amblyraja badia"
"26","Ammodytes hexapterus"
"27","Ammodytes personatus"
"28","Amphistichus koelzi"
"29","Amphistichus rhodoterus"
"30","Anarhichas orientalis"
"31","Anarrhichthys ocellatus"
"32","Anisarchus medius"
"33","Anoplagonus inermis"
"34","Anoplarchus insignis"
"35","Anoplarchus purpurescens"
"36","Anoplogaster cornuta"
"37","Anoplopoma fimbria"
"38","Anotopterus nikparini"
"39","Antimora microlepis"
"40","Aphanopus arigato"
"41","Apodichthys flavidus"
"42","Apodichthys fucorum"
"43","Apristurus brunneus"
"44","Aptocyclus ventricosus"
"45","Archistes biseriatus"
"46","Arctoscopus japonicus"
"47","Arctozenus risso"
"48","Argentina sialis"
"49","Argyropelecus affinis"
"50","Argyropelecus hemigymnus"
"51","Argyropelecus lychnus"
"52","Argyropelecus sladeni"
"53","Aristostomias scintillans"
"54","Artediellichthys nigripinnis"
"55","Artediellus miacanthus"
"56","Artediellus pacificus"
"57","Artediellus scaber"
"58","Artedius corallinus"
"59","Artedius fenestralis"
"60","Artedius harringtoni"
"61","Artedius lateralis"
"62","Artedius notospilotus"
"63","Ascelichthys rhodorus"
"64","Asemichthys taylori"
"65","Aspidophoroides monopterygius"
"66","Aspidophoroides olrikii"
"67","Atheresthes evermanni"
"68","Atheresthes stomias"
"69","Atherinops affinis"
"70","Atherinopsis californiensis"
"71","Atractoscion nobilis"
"72","Aulorhynchus flavidus"
"73","Avocettina infans"
"74","Bajacalifornia megalops"
"75","Balistes polylepis"
"76","Barathronus pacificus"
"77","Barbourisia rufa"
"78","Bassozetus zenkevitchi"
"79","Bathophilus brevis"
"80","Bathophilus flemingi"
"81","Bathyagonus alascanus"
"82","Bathyagonus infraspinatus"
"83","Bathyagonus nigripinnis"
"84","Bathyagonus pentacanthus"
"85","Bathycongrus varidens"
"86","Bathylaco nigricans"
"87","Bathylagoides wesethi"
"88","Bathylagus pacificus"
"89","Bathylychnops exilis"
"90","Bathymaster caeruleofasciatus"
"91","Bathymaster leurolepis"
"92","Bathymaster signatus"
"93","Bathyraja abyssicola"
"94","Bathyraja aleutica"
"95","Bathyraja interrupta"
"96","Bathyraja lindbergi"
"97","Bathyraja mariposa"
"98","Bathyraja panthera"
"99","Bathyraja parmifera"
"100","Bathyraja spinosissima"
"101","Bathyraja trachura"
"102","Bathyraja violacea"
"103","Bathysaurus mollis"
"104","Benthalbella dentata"
"105","Benthalbella linguidens"
"106","Benthodesmus pacificus"
"107","Benthodesmus tenuis"
"108","Beringraja binoculata"
"109","Beringraja inornata"
"110","Beringraja rhina"
"111","Beringraja stellulata"
"112","Bertella idiomorpha"
"113","Blepsias bilobus"
"114","Blepsias cirrhosus"
"115","Bolinia euryptera"
"116","Boreogadus saida"
"117","Bothragonus swanii"
"118","Bothrocara brunneum"
"119","Bothrocara molle"
"120","Bothrocara nyx"
"121","Bothrocara pusillum"
"122","Brachyistius frenatus"
"123","Brama japonica"
"124","Brosmophycis marginata"
"125","Bryozoichthys lysimus"
"126","Bryozoichthys marjorius"
"127","Carcharodon carcharias"
"128","Careproctus abbreviatus"
"129","Careproctus ambustus"
"130","Careproctus attenuatus"
"131","Careproctus bowersianus"
"132","Careproctus colletti"
"133","Careproctus comus"
"134","Careproctus cypselurus"
"135","Careproctus ectenes"
"136","Careproctus faunus"
"137","Careproctus filamentosus"
