species_original,other_id,year_noted,Notes
Raja inornata,Beringraja inornata,2021,Love et al 2021
Raja rhina,Beringraja rhina,2021,Love et al 2021
Raja stellulata,Beringraja stellulata,2021,Love et al 2021
Coregonus clupeaformis,Coregonus pidschian,2021,“Can be called Coregonus clupeaformis in Canadian publications” - Love et al 2021. Be aware of this!
Nannobrachium bristori,Lampanychtus bristori,2021,Love et al 2021 lists these as Nannobranchium but notes they are “considered Lampanychtus”. WoRMs does not consider Nannobranchium valid.
Nannobrachium regale,Lampanychtus regale,2021,Love et al 2021 lists these as Nannobranchium but notes they are “considered Lampanychtus”. WoRMs does not consider Nannobranchium valid.
Nannobrachium ritteri,Lampanychtus ritteri,2021,Love et al 2021 lists these as Nannobranchium but notes they are “considered Lampanychtus”. WoRMs does not consider Nannobranchium valid.
Rhacochilus vacca,Phanerodon vacca,2021,Love et al 2021
Icelinus strabo,Icelinus borealis,2021,
Coryphaenoides liocephalus,Coryphaenoides leptolepis,2021,
Urolophus halleri,Urobatis halleri,2021,
Sarda lineolata,Sarda chiliensis lineolata,2021,Usually considered subspecies of chiliensis
