taxa_query,ott_id,genus,worms_genus,terrestrial_only,freshwater_only
Erpobdella microstoma,7486056,Erpobdella,160006,NA,1
Metaphire sieboldi,833400,Metaphire,1062143,1,NA
Metaphire tosaensis,833402,Metaphire,1062143,1,NA
Amynthas vittatus,191497,Amynthas,1062218,1,0
Metaphire hilgendorfi,833406,Metaphire,1062143,1,NA
Metaphire megascolidioides,72069,Metaphire,1062143,1,NA
Amynthas carnosus,370242,Amynthas,1062218,1,0
Amynthas distichus,370248,Amynthas,1062218,1,0
Amynthas fuscatus,370234,Amynthas,1062218,1,0
Amynthas glabrus,370236,Amynthas,1062218,1,0
Amynthas hupeiensis,258760,Amynthas,1062218,1,0
Amynthas micronarius,895388,Amynthas,1062218,1,0
Amynthas minimus,895385,Amynthas,1062218,1,0
Amynthas morrisi,168832,Amynthas,1062218,1,0
Amynthas phaselus,1051640,Amynthas,1062218,1,0
Amynthas purpuratus,593460,Amynthas,1062218,1,0
Amynthas tappensis,593464,Amynthas,1062218,1,0
Amynthas tokioensis,593462,Amynthas,1062218,1,0
Amynthas yambaruensis,593456,Amynthas,1062218,1,0
Amynthas yunoshimensis,593453,Amynthas,1062218,1,0
Metaphire agrestis,593450,Metaphire,1062143,1,NA
Metaphire californica,1044691,Metaphire,1062143,1,NA
Metaphire communissima,72063,Metaphire,1062143,1,NA
Metaphire servina,72054,Metaphire,1062143,1,NA
Metaphire soulensis,1051645,Metaphire,1062143,1,NA
Metaphire vesiculata,72057,Metaphire,1062143,1,NA
Metaphire yamadai,72067,Metaphire,1062143,1,NA
Drawida hattamimizu,60439,Drawida,1027687,1,1
Aporrectodea trapezoides,1042242,Aporrectodea,994659,1,0
Erpobdella japonica,490339,Erpobdella,160006,NA,1
Erpobdella obscura,340135,Erpobdella,160006,NA,1
Helobdella paranensis,1060336,Helobdella,160018,1,1
Helobdella fusca,51293,Helobdella,160018,1,1
Helobdella lineata,51292,Helobdella,160018,1,1
Helobdella papillata,51289,Helobdella,160018,1,1
Helobdella transversa,51286,Helobdella,160018,1,1
Helobdellanunununojensis,51290,Helobdella,160018,1,1
Helobdella sorojchi,51287,Helobdella,160018,1,1
Helobdella ringueleti,51288,Helobdella,160018,1,1
Helobdella bolivianita,51295,Helobdella,160018,1,1
Dero furcata,676633,Dero,993490,NA,1
Lamprodrilus decathecus,769000,Lamprodrilus,1040063,0,1
Haemopis kingi,944488,Haemopis,1382833,1,1
Oxyptychus braziliensis,663523,Oxyptychus,1439623,NA,1
Erpobdella costata,42952,Erpobdella,160006,NA,1
Metaphire yuhsii,518192,Metaphire,1062143,1,NA
Metaphire formosae,518195,Metaphire,1062143,1,NA
Hirudo troctina,536322,Hirudo,370714,0,1
Barbronia gwalagwalensis,756058,Barbronia,1511282,NA,1
Haemopis terrestris,309974,Haemopis,1382833,1,1
Metaphire glareosa,839178,Metaphire,1062143,1,NA
Helobdella pichipanan,779129,Helobdella,160018,1,1
Erpobdella wuttkei,172128,Erpobdella,160006,NA,1
Amynthas lini,786626,Amynthas,1062218,1,0
Amynthas mayshanensis,786624,Amynthas,1062218,1,0
Amynthas polyglandularis,786625,Amynthas,1062218,1,0
Erpobdella mexicana,849665,Erpobdella,160006,NA,1
Erpobdella ochoterenai,849666,Erpobdella,160006,NA,1
Barbronia arcana,224442,Barbronia,1511282,NA,1
Amynthas diffringens,615951,Amynthas,1062218,1,0
Metaphire tschiliensis,619490,Metaphire,1062143,1,NA
Amynthas axillis,21150,Amynthas,1062218,1,0
Amynthas triastriatus,690145,Amynthas,1062218,1,0
Amynthas lautus,21152,Amynthas,1062218,1,0
Amynthas dactilicus,690129,Amynthas,1062218,1,0
Amynthas incongruus,264557,Amynthas,1062218,1,0
Amynthas kiangensis,1071444,Amynthas,1062218,1,0
Amynthas plantoporophoratus,542154,Amynthas,1062218,1,0
Amynthas benignus,1071459,Amynthas,1062218,1,0
Amynthas limellus,258927,Amynthas,1062218,1,0
Amynthas homochaetus,430765,Amynthas,1062218,1,0
Amynthas tuberculatus,690143,Amynthas,1062218,1,0
Amynthas pongchii,168835,Amynthas,1062218,1,0
Amynthas asacceus,1042262,Amynthas,1062218,1,0
Amynthas loti,1042266,Amynthas,1062218,1,0
Diplocardia eiseni,615948,Diplocardia,1062007,1,0
Diplocardia smithi,77653,Diplocardia,1062007,1,0
Diplocardia caroliniana,77648,Diplocardia,1062007,1,0
Hormogaster elisae,368543,Hormogaster,1062083,1,0
Helobdella octatestisaca,321052,Helobdella,160018,1,1
Helobdella melananus,321058,Helobdella,160018,1,1
Aporrectodeacturna,245040,Aporrectodea,994659,1,0
Erpobdella montezuma,780892,Erpobdella,160006,NA,1
Dina lyhnida,903051,Dina,1290570,1,1
Dina krilata,377989,Dina,1290570,1,1
Dina lepinja,378002,Dina,1290570,1,1
Dina ohridana,903049,Dina,1290570,1,1
Dina latestriata,378000,Dina,1290570,1,1
Dina svilesta,1023098,Dina,1290570,1,1
Erpobdella johanssoni,5574,Erpobdella,160006,NA,1
Helobdella atli,50551,Helobdella,160018,1,1
Helobdella virginiae,146400,Helobdella,160018,1,1
Helobdella socimulcensis,50553,Helobdella,160018,1,1
Erpobdella annulata,631087,Erpobdella,160006,NA,1
Hormogaster oroeli,1089443,Hormogaster,1062083,1,0
Hormogaster pretiosaleida,1089449,Hormogaster,1062083,1,0
Hormogaster ireguana,1089447,Hormogaster,1062083,1,0
Helobdella californica,376476,Helobdella,160018,1,1
Martiodrilus tenkatei,5705841,Martiodrilus,1062131,1,0
Aporrectodea molleri,245042,Aporrectodea,994659,1,0
Aporrectodea giardi,973362,Aporrectodea,994659,1,0
Amynthas zhangi,5224435,Amynthas,1062218,1,0
Amynthas lingshuiensis,5224426,Amynthas,1062218,1,0
Amynthas stricosus,5224430,Amynthas,1062218,1,0
Amynthas trapezoides,5224429,Amynthas,1062218,1,0
Amynthas hainanicus,5705710,Amynthas,1062218,1,0
Amynthas mediocus,5705681,Amynthas,1062218,1,0
Metaphire peguana,5224417,Metaphire,1062143,1,NA
Metaphire bahli,5224418,Metaphire,1062143,1,NA
Amynthas longisiphonus,5705747,Amynthas,1062218,1,0
Amynthas szechuanensis,5705702,Amynthas,1062218,1,0
Metaphire exilis,5705679,Metaphire,1062143,1,NA
Amynthas daeari,5224433,Amynthas,1062218,1,0
Helobdella bowermani,5492585,Helobdella,160018,1,1
Helobdella simplex,5492582,Helobdella,160018,1,1
Drawida koreana,5693491,Drawida,1027687,1,1
Metaphire tecta,7487901,Metaphire,1062143,1,NA
Amynthas pectiniferus,5972679,Amynthas,1062218,1,0
Dichogaster modigliani,5972684,Dichogaster,1040124,1,1
Drawida impertusa,5972740,Drawida,1027687,1,1
Metaphire houlleti,2845428,Metaphire,1062143,1,NA
Amynthas jiriensis,5972678,Amynthas,1062218,1,0
Amynthas alexandri,5972675,Amynthas,1062218,1,0
Amynthas papulosus,2845407,Amynthas,1062218,1,0
Amynthas lalashan,7487470,Amynthas,1062218,1,0
Amynthas fusing,7487467,Amynthas,1062218,1,0
Amynthas lioujia,7487471,Amynthas,1062218,1,0
Amynthas majia,7487475,Amynthas,1062218,1,0
Erpobdella adani,7486055,Erpobdella,160006,NA,1
Drawida alishanensis,7488262,Drawida,1027687,1,1
Drawida fenqihuensis,7488264,Drawida,1027687,1,1
Rhipicephalus microplus,621053,Rhipicephalus,1505438,1,NA
Nephila antipodiana,156510,Nephila,1491362,1,NA
Nephila clavata,997305,Nephila,1491362,1,NA
Rhipicephalus evertsi,176530,Rhipicephalus,1505438,1,NA
Rhipicephalus annulatus,493150,Rhipicephalus,1505438,1,NA
Rhipicephalus decoloratus,737616,Rhipicephalus,1505438,1,NA
Rhipicephalus appendiculatus,543035,Rhipicephalus,1505438,1,NA
Rhipicephalus compositus,83652,Rhipicephalus,1505438,1,NA
Rhipicephalus pravus,1001868,Rhipicephalus,1505438,1,NA
Rhipicephalus punctatus,658143,Rhipicephalus,1505438,1,NA
Rhipicephalus simus,658145,Rhipicephalus,1505438,1,NA
Rhipicephalus turanicus,543038,Rhipicephalus,1505438,1,NA
Orconectes jeffersoni,827726,Orconectes,234097,0,1
Orconectes placidus,827729,Orconectes,234097,0,1
Orconectes sanbornii,77974,Orconectes,234097,0,1
Dermanyssus hirundinis,110285,Dermanyssus,1513098,1,NA
Dermanyssus longipes,110275,Dermanyssus,1513098,1,NA
Dermanyssus carpathicus,110279,Dermanyssus,1513098,1,NA
Dermanyssus hirsutus,1065976,Dermanyssus,1513098,1,NA
Dermanyssus quintus,1052927,Dermanyssus,1513098,1,NA
Rhipicephalus geigyi,1057151,Rhipicephalus,1505438,1,NA
Rhipicephalus maculatus,389187,Rhipicephalus,1505438,1,NA
Rhipicephalus pulchellus,83661,Rhipicephalus,1505438,1,NA
Rhipicephalus zambeziensis,176527,Rhipicephalus,1505438,1,NA
Rhipicephalus pumilio,389189,Rhipicephalus,1505438,1,NA
Nephila pilipes,371941,Nephila,1491362,1,NA
Aegla schmitti,70048,Aegla,366970,0,1
Orconectes harrisoni,665180,Orconectes,234097,0,1
Orconectes sloanii,665179,Orconectes,234097,0,1
Orconectes maletae,90907,Orconectes,234097,0,1
Orconectes palmeri,716944,Orconectes,234097,0,1
Orconectes alabamensis,716935,Orconectes,234097,0,1
Orconectes compressus,142687,Orconectes,234097,0,1
Orconectes mississippiensis,142685,Orconectes,234097,0,1
Orconectes acares,559788,Orconectes,234097,0,1
Orconectes barrenensis,559789,Orconectes,234097,0,1
Orconectes forceps,559792,Orconectes,234097,0,1
Orconectes hylas,559793,Orconectes,234097,0,1
Orconectes longidigitus,1057925,Orconectes,234097,0,1
Orconectes luteus,1057924,Orconectes,234097,0,1
Orconectes macrus,1057917,Orconectes,234097,0,1
Orconectes medius,1042373,Orconectes,234097,0,1
Orconectes menae,97039,Orconectes,234097,0,1
Orconectes mirus,516034,Orconectes,234097,0,1
Orconectes peruncus,828547,Orconectes,234097,0,1
Orconectes punctimanus,1057913,Orconectes,234097,0,1
Orconectes putnami,516038,Orconectes,234097,0,1
