species_verbatim,query,domain,kingdom,phylum,class,subclass,order,family,genus,species,ottid_species,rank
Aaptosyax grypus,Aaptosyax grypus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Aaptosyax,Aaptosyax grypus,879633,NA
Abalistes filamentosus,Abalistes filamentosus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Balistidae,Abalistes,Abalistes filamentosus,3631258,NA
Abalistes stellaris,Abalistes stellaris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Balistidae,Abalistes,Abalistes stellaris,85767,NA
Abalistes stellatus,Abalistes stellatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Balistidae,Abalistes,Abalistes stellatus,383030,NA
Abbottina binhi,Abbottina binhi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi,3626666,NA
Abbottina lalinensis,Abbottina lalinensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina lalinensis,3626667,NA
Abbottina liaoningensis,Abbottina liaoningensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina liaoningensis,401084,NA
Abbottina obtusirostris,Abbottina obtusirostris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris,3626669,NA
Abbottina rivularis,Abbottina rivularis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,924237,NA
Ablabys binotatus,Ablabys binotatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetrarogidae,Ablabys,Ablabys binotatus,775381,NA
Ablabys macracanthus,Ablabys macracanthus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetrarogidae,Ablabys,Ablabys macracanthus,3632268,NA
Ablabys taenianotus,Ablabys taenianotus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetrarogidae,Ablabys,Ablabys taenianotus,728025,NA
Ablennes hians,Ablennes hians,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Belonidae,Ablennes,Ablennes hians,42223,NA
Aboma etheostoma,Aboma etheostoma,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Aboma,Aboma etheostoma,793100,NA
Aborichthys elongatus,Aborichthys elongatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Aborichthys,Aborichthys elongatus,3628386,NA
Abramis brama x Blicca bjoerkna,Abramis brama x Blicca bjoerkna,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,NA,Abramis brama x Blicca bjoerkna,4949329,NA
Abramis brama,Abramis brama,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis brama,103921,NA
Abramites hypselonotus,Abramites hypselonotus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Anostomidae,Abramites,Abramites hypselonotus,3625691,NA
