"","rank","found_taxa","ncbi_sp","genus","family","order","class","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","freshwater_only","hybrid"
"1","species","Lates japonicus","Lates japonicus","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates japonicus","Lates japonicus",278958,278958,"accepted",NA,0,NA
"2","species","Lates calcarifer","Lates calcarifer","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates calcarifer","Lates calcarifer",278957,278957,"accepted",NA,0,NA
"3","species","Lates niloticus","Lates niloticus","Lates","Latidae","Carangaria incertae sedis","Teleostei","Lates niloticus","Lates niloticus",218165,218165,"accepted",NA,1,NA
"4","species","Psammoperca waigiensis","Psammoperca waigiensis","Psammoperca","Latidae","Carangaria incertae sedis","Teleostei","Psammoperca waigiensis","Psammoperca waigiensis",282395,282395,"accepted",NA,0,NA
"5","species","Squatina squatina","Squatina squatina","Squatina","Squatinidae","Squatiniformes","Elasmobranchii","Squatina squatina","Squatina squatina",105928,105928,"accepted",NA,0,NA
"6","species","Microphysogobio amurensis","Microphysogobio amurensis","Microphysogobio","Cyprinidae","Cypriniformes","Teleostei","Microphysogobio amurensis","Microphysogobio amurensis",1026961,1026961,"accepted",NA,1,NA
"7","species","Scomberomorus niphonius","Scomberomorus niphonius","Scomberomorus","Scombridae","Scombriformes","Teleostei","Scomberomorus niphonius","Scomberomorus niphonius",273817,273817,"accepted",NA,0,NA
"8","species","Glyptothorax cavia","Glyptothorax cavia","Glyptothorax","Sisoridae","Siluriformes","Teleostei","Glyptothorax cavia","Glyptothorax cavia",1022777,1022777,"accepted",NA,1,NA
"9","genus","Acipenser","Acipenser gueldenstaedtii x Acipenser baerii","Acipenser","Acipenseridae","Acipenseriformes","Chondrostei","Acipenser","Acipenser",125618,125618,"accepted",NA,0,"yes"
"10","species","Bolbometopon muricatum","Bolbometopon muricatum","Bolbometopon","Scaridae","Eupercaria incertae sedis","Teleostei","Bolbometopon muricatum","Bolbometopon muricatum",219074,219074,"accepted",NA,0,NA
"11","family","Liparidae","Liparidae",NA,"Liparidae","Perciformes","Teleostei","Liparidae","Liparidae",234519,234519,"accepted",NA,0,NA
"12","family","Serranidae","Cromileptes altivelis x Epinephelus lanceolatus",NA,"Serranidae","Perciformes","Teleostei","Serranidae","Serranidae",125561,125561,"accepted",NA,0,"yes"
"13","species","Isurus oxyrinchus","Isurus oxyrinchus","Isurus","Lamnidae","Lamniformes","Elasmobranchii","Isurus oxyrinchus","Isurus oxyrinchus",105839,105839,"accepted",NA,0,NA
"14","species","Paramisgurnus dabryanus","Paramisgurnus dabryanus","Paramisgurnus","Cobitidae","Cypriniformes","Teleostei","Paramisgurnus dabryanus","Paramisgurnus dabryanus",1020151,1020151,"accepted",NA,0,NA
"15","species","Gadus macrocephalus","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Teleostei","Gadus macrocephalus","Gadus macrocephalus",254538,254538,"accepted",NA,0,NA
"16","species","Prochilodus vimboides","Prochilodus vimboides","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus vimboides","Prochilodus vimboides",1018422,1018422,"accepted",NA,1,NA
"17","species","Barbodes binotatus","Barbodes binotatus","Barbodes","Cyprinidae","Cypriniformes","Teleostei","Barbodes binotatus","Barbodes binotatus",1014769,1014769,"accepted",NA,1,NA
"18","species","Gyrinocheilus aymonieri","Gyrinocheilus aymonieri","Gyrinocheilus","Gyrinocheilidae","Cypriniformes","Teleostei","Gyrinocheilus aymonieri","Gyrinocheilus aymonieri",1026903,1026903,"accepted",NA,1,NA
"19","species","Leptobotia elongata","Leptobotia elongata","Leptobotia","Cobitidae","Cypriniformes","Teleostei","Leptobotia elongata","Leptobotia elongata",1016331,1016331,"accepted",NA,1,NA
"20","species","Leptobotia microphthalma","Leptobotia microphthalma","Leptobotia","Cobitidae","Cypriniformes","Teleostei","Leptobotia microphthalma","Leptobotia microphthalma",1012116,1012116,"accepted",NA,1,NA
"21","species","Leptobotia rubrilabris","Leptobotia rubrilabris","Leptobotia","Cobitidae","Cypriniformes","Teleostei","Leptobotia rubrilabris","Leptobotia rubrilabris",1026855,1026855,"accepted",NA,1,NA
"22","species","Sinibotia superciliaris","Sinibotia superciliaris","Sinibotia","Cobitidae","Cypriniformes","Teleostei","Sinibotia superciliaris","Sinibotia superciliaris",1019560,1019560,"accepted",NA,1,NA
"23","species","Amphilophus amarillo","Amphilophus amarillo","Amphilophus","Cichlidae","Cichliformes","Teleostei","Amphilophus amarillo","Amphilophus amarillo",1009775,1009775,"accepted",NA,1,NA
"24","species","Oncorhynchus keta","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Teleostei","Oncorhynchus keta","Oncorhynchus keta",127183,127183,"accepted",NA,0,NA
"25","species","Leiognathus ruconius","Leiognathus ruconius","Leiognathus","Leiognathidae","Acanthuriformes","Teleostei","Leiognathus ruconius","Leiognathus ruconius",303772,303772,"accepted",NA,0,NA
"26",NA,NA,"Beautia kweichowensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","species","Erromyzon kalotaenia","Erromyzon kalotaenia","Erromyzon","Balitoridae","Cypriniformes","Teleostei","Erromyzon kalotaenia","Erromyzon kalotaenia",1007499,1007499,"accepted",NA,1,NA
"28","species","Pseudogastromyzon fangi","Pseudogastromyzon fangi","Pseudogastromyzon","Balitoridae","Cypriniformes","Teleostei","Pseudogastromyzon fangi","Pseudogastromyzon fangi",1015801,1015801,"accepted",NA,1,NA
"29","species","Sinogastromyzon hsiashiensis","Sinogastromyzon hsiashiensis","Sinogastromyzon","Balitoridae","Cypriniformes","Teleostei","Sinogastromyzon hsiashiensis","Sinogastromyzon hsiashiensis",1015756,1015756,"accepted",NA,1,NA
"30","species","Sinogastromyzon szechuanensis","Sinogastromyzon szechuanensis","Sinogastromyzon","Balitoridae","Cypriniformes","Teleostei","Sinogastromyzon szechuanensis","Sinogastromyzon szechuanensis",1014842,1014842,"accepted",NA,1,NA
"31","species","Sinogastromyzon tonkinensis","Sinogastromyzon tonkinensis","Sinogastromyzon","Balitoridae","Cypriniformes","Teleostei","Sinogastromyzon tonkinensis","Sinogastromyzon tonkinensis",1015248,1015248,"accepted",NA,1,NA
"32","species","Vanmanenia lineata","Vanmanenia lineata","Vanmanenia","Balitoridae","Cypriniformes","Teleostei","Vanmanenia lineata","Vanmanenia lineata",1015335,1015335,"accepted",NA,1,NA
"33","species","Yaoshania pachychilus","Yaoshania pachychilus","Yaoshania","Balitoridae","Cypriniformes","Teleostei","Yaoshania pachychilus","Yaoshania pachychilus",1524240,1524240,"accepted",NA,1,NA
"34","species","Prochilodus argenteus","Prochilodus argenteus","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus argenteus","Prochilodus argenteus",1022670,1022670,"accepted",NA,1,NA
"35","species","Prochilodus costatus","Prochilodus costatus","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus costatus","Prochilodus costatus",1020354,1020354,"accepted",NA,1,NA
"36","species","Prochilodus lineatus","Prochilodus lineatus","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus lineatus","Prochilodus lineatus",1016626,1016626,"accepted",NA,1,NA
"37","species","Prochilodus harttii","Prochilodus harttii","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus harttii","Prochilodus harttii",1020334,1020334,"accepted",NA,1,NA
"38","species","Oryzias curvinotus","Oryzias curvinotus","Oryzias","Adrianichthyidae","Beloniformes","Teleostei","Oryzias curvinotus","Oryzias curvinotus",281937,281937,"accepted",NA,0,NA
"39","species","Schistura reticulofasciata","Schistura reticulofasciata","Schistura","Nemacheilidae","Cypriniformes","Teleostei","Schistura reticulofasciata","Schistura reticulofasciata",1012278,1012278,"accepted",NA,1,NA
