"","found_taxa","common_name","biogeographical_notes","group","fish_base_url","n_dups","remove"
"1","Agonomalus mozinoi","Kelp poacher",NA,NA,NA,1,NA
"2","Ammodytes","Pacific sandlance species",NA,NA,NA,1,NA
"3","Ammodytes personatus","Pacific sandlance",NA,"Forage fish","https://www.fishbase.ca/summary/Ammodytes-personatus.html",1,NA
"4","Anarrhichthys ocellatus","Wolf eel",NA,NA,NA,1,NA
"5","Anoplarchus","Cockscomb species",NA,NA,NA,1,NA
"6","Anoplopoma fimbria","Sablefish",NA,"Other","https://www.fishbase.ca/summary/Anoplopoma-fimbria.html",1,NA
"7","Apodichthys flavidus","Penpoint gunnel",NA,"Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Apodichthys-flavidus.html",1,NA
"8","Artedius fenestralis","Padded sculpin",NA,"Sculpins","https://www.fishbase.ca/summary/Artedius-fenestralis.html",1,NA
"9","Artedius harringtoni","Scalyhead sculpin","north to central cali","Sculpins","https://www.fishbase.ca/summary/Artedius-harringtoni.html",1,NA
"10","Artedius lateralis","Smoothhead sculpin",NA,"Sculpins","https://www.fishbase.ca/summary/ARTEDIUS-LATERALIS.html",1,NA
"11","Artedius notospilotus","Bonehead sculpin",NA,NA,NA,1,NA
"12","Ascelichthys rhodorus","Rosylip sculpin","north to central CA","Sculpins","https://www.fishbase.ca/summary/4051",1,NA
"13","Aulorhynchus flavidus","Tube-snout",NA,"Other","https://www.fishbase.ca/summary/3270",1,NA
"14","Blepsias cirrhosus","Silverspotted sculpin","north to central CA","Sculpins","https://www.fishbase.ca/summary/4054",1,NA
"15","Brachyistius frenatus","Kelp perch","south to northern BC","Perches","https://www.fishbase.ca/summary/3625",1,NA
"16","Brosmophycis marginata","Red brotula",NA,NA,NA,1,NA
"17","Chirolophis","Warbonnet species",NA,NA,NA,1,NA
"18","Chitonotus pugetensis","Roughback sculpin",NA,NA,NA,1,NA
"19","Citharichthys sordidus","Pacific sanddab",NA,"Flatfish","https://www.fishbase.ca/summary/Citharichthys-sordidus.html",1,NA
"20","Citharichthys stigmaeus","Speckled sanddab",NA,"Flatfish","https://www.fishbase.ca/summary/Citharichthys-stigmaeus",1,NA
"21","Clevelandia ios","Arrow goby","South to Rivers Inlet, BC","Other","https://www.fishbase.ca/summary/3840",1,NA
"22","Clinocottus","Clinoottus sculpin species",NA,NA,NA,1,NA
"23","Clinocottus acuticeps","Sharpnose sculpin","north to central cali","Sculpins","https://www.fishbase.ca/summary/Clinocottus-acuticeps.html",1,NA
"24","Clinocottus globiceps","Mosshead sculpin",NA,NA,NA,1,NA
"25","Clupea pallasii","Pacific herring",NA,"Forage fish","https://www.fishbase.ca/summary/Clupea-pallasii+pallasii.html",1,NA
"26","Cottidae","Sculpin family",NA,NA,NA,1,NA
"27","Cottus","Cottus sculpin species",NA,NA,NA,1,NA
"28","Cryptacanthodes","Wrymouth species",NA,NA,NA,1,NA
"29","Cymatogaster aggregata","Shiner perch",NA,"Perches","https://www.fishbase.ca/summary/Cymatogaster-aggregata.html",1,NA
"30","Embiotoca lateralis","Striped seaperch",NA,"Perches","https://www.fishbase.ca/summary/3629",1,NA
"31","Embiotocidae","Surfperch family",NA,NA,NA,1,NA
"32","Enophrys bison","Buffalo sculpin","north to Monterrey Bay","Sculpins","https://www.fishbase.ca/summary/Enophrys-bison.html",1,NA
"33","Eopsetta jordani","Petrale sole",NA,NA,NA,1,NA
"34","Gadidae","True cod family",NA,NA,NA,1,NA
"35","Gadus","Cod species",NA,NA,NA,1,NA
"36","Gadus chalcogrammus","Alaska pollock","north to Sarmel, CA","Other","https://www.fishbase.ca/summary/Gadus-chalcogrammus.html",1,NA
"37","Gadus macrocephalus","Pacific cod",NA,NA,NA,1,NA
"38","Gasterosteus","Three-spined stickleback species",NA,NA,NA,1,NA
"39","Gasterosteus aculeatus","Three-spined stickleback",NA,"Other","https://www.fishbase.ca/summary/Gasterosteus-aculeatus.html",1,NA
"40","Gibbonsia montereyensis","Crevice kelpfish","south to BC","Other","https://www.fishbase.ca/summary/Gibbonsia-montereyensis.html",1,NA
"41","Gobiesox maeandricus","Northern clingfish",NA,"Other","https://www.fishbase.ca/summary/Gobiesox-maeandricus.html",1,NA
"42","Hemilepidotus","Hemilepidotus sculpin species",NA,NA,NA,1,NA
"43","Hemilepidotus hemilepidotus","Red Irish lord","north to Monterrey Bay","Sculpins","https://www.fishbase.ca/summary/Hemilepidotus-jordani.html",1,NA
"44","Hexagrammos","Greenling species",NA,NA,NA,1,NA
"45","Hexagrammos decagrammus","Kelp greenling",NA,"Other","https://www.fishbase.ca/summary/Hexagrammos-decagrammus.html",1,NA
"46","Hippoglossus stenolepis","Pacific halibut",NA,NA,NA,1,NA
"47","Hydrolagus colliei","Spotted ratfish",NA,"Cartilaginous fishes","https://www.fishbase.ca/summary/Hydrolagus-colliei.html",1,NA
"48","Hyperprosopon argenteum","Walleye surfperch",NA,NA,NA,1,NA
"49","Hypomesus pretiosus","Surf smelt","north to Long Beach, southern California","Forage fish","https://www.fishbase.ca/summary/Hypomesus-pretiosus.html",1,NA
"50","Icelinus","Icelinus sculpin species",NA,NA,NA,1,NA
"51","Icelinus borealis","Northern sculpin",NA,NA,NA,1,NA
"52","Icosteus aenigmaticus","Ragfish",NA,NA,NA,1,NA
"53","Jordania zonope","Longfin sculpin",NA,NA,NA,1,NA
"54","Leiocottus","Leiocottus sculpin species?",NA,NA,NA,1,NA
"55","Lepidogobius lepidus","Bay goby",NA,"Other","https://www.fishbase.ca/summary/Lepidogobius-lepidus.html",1,NA
"56","Lepidopsetta","Sole species",NA,NA,NA,1,NA
"57","Leptoclinus maculatus","Spotted snakeblenny",NA,NA,NA,1,NA
"58","Leptocottus armatus","Pacific staghorn sculpin",NA,"Sculpins","https://www.fishbase.ca/summary/4112",1,NA
"59","Liparis","Liparis snailfish species",NA,NA,NA,1,NA
"60","Liparis cyclopus","Ribbon snailfish",NA,NA,NA,1,NA
"61","Liparis florae","Tidepool snailfish","north to Point Conception","Snailfish","https://www.fishbase.ca/summary/Liparis-florae",1,NA
"62","Liparis fuscensis","Slipskin snailfish",NA,NA,NA,1,NA
"63","Liparis mucosus","Slimy snailfish",NA,NA,NA,1,NA
"64","Liparis pulchellus","Showy snailfish",NA,NA,NA,1,NA
"65","Lumpenus sagitta","Snake prickleback","north to San Francisco","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Lumpenus-sagitta.html",1,NA
"66","Lyopsetta exilis","Slender sole",NA,NA,NA,1,NA
"67","Malacocottus","Malacocottus sculpin species",NA,NA,NA,1,NA
"68","Microgadus proximus","Pacific tomcod","borth to central cali","Other","https://www.fishbase.ca/summary/Microgadus-proximus.html",1,NA
"69","Microstomus pacificus","Pacific Dover sole",NA,NA,NA,1,NA
"70","Mola","Sunfish species",NA,NA,NA,1,NA
"71","Myoxocephalus","Myoxocephalus sculpin species",NA,NA,NA,1,NA
"72","Nautichthys oculofasciatus","Sailfin sculpin",NA,NA,NA,1,NA
"73","Odontopyxis trispinosa","Pygmy poacher",NA,NA,NA,1,NA
"74","Oligocottus","Oligocottus sculpin species",NA,NA,NA,1,NA
"75","Oligocottus snyderi","Fluffy sculpin",NA,NA,NA,1,NA
"76","Oncorhynchus","Salmon species",NA,NA,NA,1,NA
"77","Oncorhynchus keta","Chum salmon",NA,"Salmon","https://www.fishbase.ca/summary/Oncorhynchus-keta.html",1,NA
"78","Oncorhynchus kisutch","Coho salmon",NA,"Salmon","https://www.fishbase.ca/summary/Oncorhynchus-kisutch.html",1,NA
"79","Oncorhynchus nerka","Sockeye salmon","north of Columbia River drainage in Oregon","Salmon","https://www.fishbase.ca/summary/oncorhynchus-nerka.html",1,NA
"80","Oncorhynchus tshawytscha","Chinook salmon","north to Oregon","Salmon","https://www.fishbase.ca/summary/244",1,NA
