species_old,accession,new_id,new_accession,new_worms_aphiaid,id_note,replacement_note
Hexagrammos agrammus,,Hexagrammos,,,Could be Hexagrammos octogrammus or H. lagocephalus. ,Spotty bellied greenling. Native to Japan/Korea
Hexagrammos otakii,,Hexagrammos,,,Hits for both H. octogrammos & lagocephalus,Fat greenling. Native to Japan/Korea
Ammodytes marinus,,Ammodytes personatus,,,"Hits for both A. personatus & hexapterus, hits for personatus stronger",Lesser sand eel. Native to Europe
Gadus morhua,,Gadus chalcogrammus,,,,Atlantic cod. Native to north Atlantic
Hippoglossus hippoglossus,,Hippoglossus stenolepis,,,,Atlantic halibut. Native to North Atlantic
Pholis crassispina,,Pholis,,,"Could be P. ornata, laeta, clemensi.",Native to Japan/Korea
Pleuronectes platessa,,Pleuronectidae,,,"Could be: Isopsetta isolepis, Parophrys vetulus, or Psettichthys melanostictus",European plaice. Native to Europe
Salvelinus levanidovi,,Salvelinus malma,,,,Native to Sea of Okhotsk (Russia)
Sebastes trivittatus,,Sebastes,,,,Native to Northwest Pacific
Amphisticus argenteus,,Embiotocidae,,,Could be Amphisticus rhodoterus or Hyperproson ellipticum,"Barred surfperch, native to California"
Myoxocephalus jaok,,Myoxocephalus,,,Cold be M. Stelleri or M. polyacanthocephalus,
Salmo salar,,Salvelinus malma,,,,Atlantic salmon; native to North Atlantic
Sebastolobus macrochir,,Sebastes,,,,"Broadbanded thornyhead; native to northwest Pacific, but a few occurrences in Southeast Alaska"
