species_original,other_id,year_noted,Notes
Raja inornata,Beringraja inornata,2021,Love et al 2021
Raja rhina,Beringraja rhina,2021,Love et al 2021
Raja stellulata,Beringraja stellulata,2021,Love et al 2021
Coregonus clupeaformis,Coregonus pidschian,2021,“Can be called Coregonus clupeaformis in Canadian publications” - Love et al 2021. Be aware of this!
Nannobrachium bristori,Lampanychtus bristori,2021,Love et al 2021 lists these as Nannobranchium but notes they are “considered Lampanychtus”. WoRMs does not consider Nannobranchium valid.
Nannobrachium regale,Lampanychtus regale,2021,Love et al 2021 lists these as Nannobranchium but notes they are “considered Lampanychtus”. WoRMs does not consider Nannobranchium valid.
Nannobrachium ritteri,Lampanychtus ritteri,2021,Love et al 2021 lists these as Nannobranchium but notes they are “considered Lampanychtus”. WoRMs does not consider Nannobranchium valid.
Rhacochilus vacca,Phanerodon vacca,2021,Love et al 2021
Icelinus strabo,Icelinus borealis,2021,
Coryphaenoides liocephalus,Coryphaenoides leptolepis,2021,
Urolophus halleri,Urobatis halleri,2021,
Sarda lineolata,Sarda chiliensis lineolata,2021,Usually considered subspecies of chiliensis
Antennarius reticularis,Antennarius,2023,"Not in WoRMS, EOL: Unresolved name. Original paper: https://doi.org/10.5479/si.00963801.14-880.539"
Artedius asperulus,Artedius fenestralis,2023,Placed into A fenestralis by Bolin 1944 as explained in: https://doi.org/10.2307/1445491
Bathytroctes alveatus,Narcetes erimelas,2023,"Reference: Sazonov, Y.I., 1998. A brief review of the genus Narcetes (Alepocephalidae) with a description of the genus type N. erimelas. J. Ichthyol. 38(7):491-500.
"
Catostomus mnioltiltus,Catostomus occidentali,2023,Catostomus occidentalis mnioltiltus subspecies
Centropomus grandoculatus,Centropomus medius,2023,reference: https://doi.org/10.2307/1444940
Leptocephalus holti,Neocyema erythrosoma,2023,Reference: https://doi.org/10.1656/045.016.n308
