Representative Sample ID,Phylum,Class,Order,Family,Genus,Species,string,N
ZOO_046,Arthropoda,Copepoda,Calanoida,Aetideidae,Chirundina,Chirundina streetsii,Arthropoda_Copepoda_Calanoida_Aetideidae_Chirundina_Chirundina streetsii,1
ZOO_144,Arthropoda,Copepoda,Calanoida,Aetideidae,Undeuchaeta,Undeuchaeta plumosa,Arthropoda_Copepoda_Calanoida_Aetideidae_Undeuchaeta_Undeuchaeta plumosa,1
ZOO_006,Arthropoda,Copepoda,Calanoida,Arietellidae,Arietellus,Arietellus plumifer,Arthropoda_Copepoda_Calanoida_Arietellidae_Arietellus_Arietellus plumifer,1
ZOO18S_112,Arthropoda,Copepoda,Monstrilloida,Monstrillidae,Monstrilla,Monstrilla wandelii,Arthropoda_Copepoda_Monstrilloida_Monstrillidae_Monstrilla_Monstrilla wandelii,1
ZOO18S_021,Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,,Arthropoda_Malacostraca_Amphipoda_Calliopiidae_Calliopius_,1
ZOO18S_126,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa longipes,Arthropoda_Malacostraca_Euphausiacea_Euphausiidae_Thysanoessa_Thysanoessa longipes,1
ZOO_211,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa raschii,Arthropoda_Malacostraca_Euphausiacea_Euphausiidae_Thysanoessa_Thysanoessa raschii,1
ZOO18S_061,Arthropoda,Malacostraca,Isopoda,,,,Arthropoda_Malacostraca_Isopoda___,1
ZOO_831,Arthropoda,,,,,,Arthropoda_____,1
ZOO18S_111,Arthropoda,Copepoda,Monstrilloida,Monstrillidae,Monstrilla,Monstrilla spinosa,Arthropoda_Copepoda_Monstrilloida_Monstrillidae_Monstrilla_Monstrilla spinosa,2
ZOO_036,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Arthropoda_Malacostraca_Decapoda_Cancridae_Metacarcinus_Metacarcinus magister,2
ZOO18S_062,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Fabia,Fabia subquadrata,Arthropoda_Malacostraca_Decapoda_Pinnotheridae_Fabia_Fabia subquadrata,2
ZOO_093,Arthropoda,Copepoda,Calanoida,Aetideidae,Gaetanus,Gaetanus minutus,Arthropoda_Copepoda_Calanoida_Aetideidae_Gaetanus_Gaetanus minutus,3
ZOO_212,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa spinifera,Arthropoda_Malacostraca_Euphausiacea_Euphausiidae_Thysanoessa_Thysanoessa spinifera,3
ZOO18S_122,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella minor,Arthropoda_Copepoda_Calanoida_Scolecitrichidae_Scolecithricella_Scolecithricella minor,4
ZOO18S_134,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Pseudobradya,,Arthropoda_Copepoda_Harpacticoida_Ectinosomatidae_Pseudobradya_,4
ZOO18S_113,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida quadrispina,Arthropoda_Malacostraca_Decapoda_Munididae_Munida_Munida quadrispina,4
ZOO_224,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia,Alacia major,Arthropoda_Ostracoda_Halocyprida_Halocyprididae_Alacia_Alacia major,4
