"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"219","Eubosmina huaronensis",2234699,"Eubosmina huaronensis (Delachaux, 1918)","species","SYNONYM","EXACT","Eubosmina huaronensis",98,"Animalia","Arthropoda","Diplostraca","Bosminidae","Bosmina","Bosmina huaronensis",1,54,281,545,3680,2234689,5179987,TRUE,"Branchiopoda",5179987,NA
"235","Daphnia tenebrosa",2234829,"Daphnia tenebrosa Sars, 1899","species","SYNONYM","EXACT","Daphnia tenebrosa",98,"Animalia","Arthropoda","Diplostraca","Daphniidae","Daphnia","Daphnia middendorffiana",1,54,281,545,7513,2234785,2234809,TRUE,"Branchiopoda",2234809,NA
"291","Ishizakiella novaezealandica",5862778,"Ishizakiella McKenzie & Sudijono, 1981","genus","ACCEPTED","HIGHERRANK","Ishizakiella",94,"Animalia","Arthropoda","Podocopida","Leptocytheridae","Ishizakiella",NA,1,54,353,1438,9264,5862778,NA,FALSE,"Ostracoda",NA,NA
"316","Deiratonotus japonicus",10046734,"Deiratonotus japonicum (T.Sakai, 1934)","species","SYNONYM","FUZZY","Deiratonotus japonicum",95,"Animalia","Arthropoda","Decapoda","Camptandriidae","Paracleistostoma","Paracleistostoma japonicum",1,54,229,637,3254326,4382480,5971938,TRUE,"Malacostraca",5971938,NA
"317","Deiratonotus cristatus",5971939,"Deiratonotus cristatum (de Man, 1895)","species","ACCEPTED","FUZZY","Deiratonotus cristatum",96,"Animalia","Arthropoda","Decapoda","Camptandriidae","Deiratonotus","Deiratonotus cristatum",1,54,229,637,3254326,4646530,5971939,FALSE,"Malacostraca",NA,NA
"329","Sacculina yatsui",5862387,"Sacculina yatsui Boschma, 1936","species","SYNONYM","EXACT","Sacculina yatsui",98,"Animalia","Arthropoda",NA,"Polyascidae","Parasacculina","Parasacculina yatsui",1,54,9421786,NA,10856344,10680850,10860261,TRUE,"Hexanauplia",10860261,NA
"398","Macrobrachium meridionalis",2224642,"Macrobrachium meridionalis Liang & Yan, 1983","species","SYNONYM","EXACT","Macrobrachium meridionalis",98,"Animalia","Arthropoda","Decapoda","Palaemonidae","Macrobrachium","Macrobrachium meridionale",1,54,229,637,8654,2224508,6457048,TRUE,"Malacostraca",6457048,NA
"399","Macrobrachium meridionalis",6457048,"Macrobrachium meridionale Liang & Yan, 1983","species","ACCEPTED","FUZZY","Macrobrachium meridionale",90,"Animalia","Arthropoda","Decapoda","Palaemonidae","Macrobrachium","Macrobrachium meridionale",1,54,229,637,8654,2224508,6457048,FALSE,"Malacostraca",NA,"Similarity: name=90; authorship=0; classification=-2; rank=5; status=1"
"403","Macrobrachium pinguis",2224557,"Macrobrachium pinguis Dai, 1984","species","SYNONYM","EXACT","Macrobrachium pinguis",98,"Animalia","Arthropoda","Decapoda","Palaemonidae","Macrobrachium","Macrobrachium asperulum",1,54,229,637,8654,2224508,2224578,TRUE,"Malacostraca",2224578,NA
"470","Pandalopsis coccinata",5863249,"Pandalopsis coccinata Urita, 1941","species","SYNONYM","EXACT","Pandalopsis coccinata",98,"Animalia","Arthropoda","Decapoda","Pandalidae","Pandalus","Pandalus coccinatus",1,54,229,637,8658,2222352,10150695,TRUE,"Malacostraca",10150695,NA
"572","Metridia lucens",2114808,"Metridia lucens Lubbock, 1865","species","SYNONYM","EXACT","Metridia lucens",97,"Animalia","Arthropoda","Calanoida","Metridinidae","Metridia","Metridia lucens",1,54,9421786,679,9044,2114807,11082687,TRUE,"Hexanauplia",11082687,NA
"573","Metridia lucens",11082687,"Metridia lucens Boeck, 1865","species","DOUBTFUL","EXACT","Metridia lucens",95,"Animalia","Arthropoda","Calanoida","Metridinidae","Metridia","Metridia lucens",1,54,9421786,679,9044,2114807,11082687,FALSE,"Hexanauplia",NA,"Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5"
"574","Euaugaptilus palumbii",4334860,"Euaugaptilus palumbii (Giesbrecht, 1889)","species","SYNONYM","EXACT","Euaugaptilus palumbii",98,"Animalia","Arthropoda","Calanoida","Augaptilidae","Euaugaptilus","Euaugaptilus palumboi",1,54,9421786,679,4901,2115051,2115064,TRUE,"Hexanauplia",2115064,NA
"575","Euaugaptilus palumbii",2115064,"Euaugaptilus palumboi (Giesbrecht, 1889)","species","ACCEPTED","FUZZY","Euaugaptilus palumboi",92,"Animalia","Arthropoda","Calanoida","Augaptilidae","Euaugaptilus","Euaugaptilus palumboi",1,54,9421786,679,4901,2115051,2115064,FALSE,"Hexanauplia",NA,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=1"
"593","Yarepotamon gracilipa",5790393,"Yarepotamon gracillipa (Dai, Song, Li & Liang, 1980)","species","ACCEPTED","FUZZY","Yarepotamon gracillipa",96,"Animalia","Arthropoda","Decapoda","Potamidae","Yarepotamon","Yarepotamon gracillipa",1,54,229,637,8674,4645199,5790393,FALSE,"Malacostraca",NA,NA
