species,not_east_pacific,not_nearshore,freshwater,not_bc,other_problem
Rondeletia bicolor,1,0,0,1,0
Harengula jaguana,1,0,0,1,0
Leptocephalus giganteus,NA,1,0,NA,0
Mentodus eubranchus,NA,1,0,NA,0
Coregonus autumnalis,1,NA,0,1,0
Neoclinus bryope,0,0,0,1,0
Coryphaenoides spinulosus,NA,1,0,NA,0
Dicrolene gregoryi,NA,1,0,NA,0
Dicrolene pullata,NA,1,0,NA,0
Regalecus russelii,0,1,0,1,0
Osmerus eperlanus,1,NA,0,1,0
Oligocottus borealis,0,0,0,,1
Icelinus strabo,0,0,0,,1
Artedius asperulus,0,0,0,,1
Sebastes fuscescens,0,0,0,,1
