"","x"
"1","bathycongrusdens"
"2","lipariscusnus"
"3","fowleriaegata"
"4","coiliasus"
"5","allocyttusger"
"6","xenomystusgri"
"7","brevimyrusger"
"8","odonusger"
"9","rinoctessutus"
"10","lefuakkonis"
"11","rexeakamurai"
"12","esoxger"
"13","labeosus"
"14","monacoager"
"15","plesiopskaharae"
"16","nandusndus"
"17","acaroniassa"
"18","xenotocaata"
"19","kribiana"
"20","latesloticus"
"21","verasperegatus"
"22","oreochromis aureus xreochromisloticus"
"23","oreochromisloticus xreochromis mossambicus"
"24","nangrangra"
"25","chrosomus eos xhrosomusogaeus"
"26","petroscirtesabilis"
"27","cynoscionthus"
"28","synodusegatus"
"29","aetomylaeuschofii"
"30","ameiurustalis"
"31","coregonussus"
"32","fundulustatus"
"33","ictiobusger"
"34","cobitis hugowolfeldi"
"35","lycodeskamurae"
"36","astyanaxsutus"
"37","ctenopsbilis"
"38","distomusolosus"
"39","echidnabulosa"
"40","macolorger"
"41","melichthysger"
"42","ostracionsus"
"43","oxydorasger"
"44","cyprinodonegatus"
"45","scorpaenatata"
"46","aculeolagra"
"47","conodonbilis"
"48","kalirmani"
"49","scarusger"
"50","bryconttereri"
"51","xiphophorusatus"
"52","cyprinodonzas"
"53","etiauti"
"54","kuhliatabunda"
"55","acanthurusgricauda"
"56","leucorajaevus"
"57","pholisbulosa"
"58","tatiaivai"
"59","sauridabulosa"
"60","brycinusrse"
"61","starksianodes"
"62","gilagrescens"
"63","bolinichthyskolayi"
"64","chiasmodonger"
"65","notropisbilus"
"66","trimmasa"
"67","chondrostomaarense"
"68","cheimeriusfar"
"69","sebastesabilis"
"70","oneirodestius"
"71","trematomus lepidorhinus/loennbergi"
"72","askoldiaegata"
"73","gobiusger"
"74","plotosusunga"
"75","scorpaenodespinnis"
"76","pegusasuta"
"77","tosanawae"
"78","cyprinellavea"
"79","etheostomaatum"
"80","notropiszas"
"81","triacanthuseuhofii"
"82","stegastesabilis"
"83","paraliparis longipectoralis"
"84","ecseniuslolo"
"85","cirripectesolosus"
"86","pristigenysphonia"
"87","microchirusegatus"
"88","homatulaegata"
"89","sauridarmani"
"90","mystusasep"
"91","stichaeuszawae"
"92","pseudocalliurichthysegatus"
"93","bariliusawa"
"94","calamusdosus"
"95","arcosdus"
"96","pavorajatida"
"97","oreochromisabilis"
"98","eviotabulosa"
"99","lophiodesresi"
"100","tatiagra"
"101","clariallabesabilis"
"102","gobiosomadum"
"103","mystusgriceps"
"104","ambassislua"
"105","phallusiagra"
"106","salvelinusiva"
"107","cambeva diatropoporos"
"108","oryziasgrimas"
"109","dipturussutus"
"110","anthiascholsi"
"111","cynoscionnnus"
"112","lestidiopsles"
"113","bovichtusegatus"
"114","acnodonrmani"
"115","gilagra"
"116","crossoloricariaegata"
"117","labeogrescens"
"118","Hexagrammos octogrammus x Hexagrammos agrammus"
"119","Nematobramis steindachneri"
"120","Hypoptopomatinae"
"121","Acipenser ruthenus x Acipenser baerii"
"122","Melanostomiinae"
"123","Sicydiinae"
"124","Astrophorina"
"125","Scorpaeninae"
"126","unidentified shark fin"
"127","Cichlasomatinae"
"128","Synodontinae"
"129","Gobiinae"
"130","Hypselobarbus canarensis"
"131","Capoeta heratensis"
"132","Gonorhynchus adiscus"
"133","Epinephelus coioides x Epinephelus akaara"
"134","Diplosoma swamiensis"
"135","Garra tibetana"
"136","Lampetra tridentata"
"137","Myzopsetta proboscidea"
"138","Sardinops melanostictus"
"139","Balaenoptera brydei"
"140","Ariomma lurida"
"141","Ariomma brevimanus"
"142","Cubiceps squamiceps"
"143","Acantopsis choirorhynchos"
