species
Clevelandia ios
Lepidogobius lepidus
Alos sapidissima
Syngnathus leptorhynchus
Coryphopterus nicholsi
Sebastes melanops
Sebastes paucispinis
Enophrys bison
Scorpaenichthys marmoratus
Sebastes nebulosus
Oncorhynchus tshawytscha
Oncorhynchus kisutch
Sebastes caurinus
Pleuronichthys coenosus
Pleuronichthys decurrens
Pholis laeta
Sebastes diaconus
Chirolophis decoratus
Salvelinus malma
Sebastes ciliatus
Parophrys vetulus
Myoxocephalus polyacanthocephalus
Rhamphocottus richardsonii
Clupea pallasi
Anoplarchus purpurescens
Rimicola muscarum
Hexagrammos decagrammus
Brachyistius frenatus
Ophiodon elongatus
Synchirus gilli
Engraulis mordax
Gobiesox maeandricus
Gadus macrocephalus
Oxylebius pictus
Citharichthys sordidus
Artedius fenestralis
Trichodon trichodon
Apodichthys flavidus
Rhacochilus vacca
Oncorhynchus gorbuscha
Cottus asper
Odontopyxis trispinosa
Sebastes maliger
Ptilichthys goodei
Hydrolagus colliei
Chitonotus pugetensis
Hemilepidotus hemilepidotus
Amphistichus rhodoterus
Hexagrammos lagocephalus
Xiphister mucosus
Lepidopsetta bilineata
Ammodytes hexapterus
Sardinops sagax
Oligocottus rimensis
Psettichthys melanostictus
Nautichthys oculofasciatus
Cymatogaster aggregata
Clinocottus acuticeps
Blepsias cirrhosus
Anoplarchus insignis
Artedius lateralis
Lumpenus sagitta
Citharichthys stigmaeus
Sebastes brevispinis
Oncorhynchus mykiss
Platichthys stellatus
Gibbonsia metzi
Embiotoca lateralis
Leptocottus armatus
Hypomesus pretiosus
Gasterosteus aculeatus
Oligocottus maculosus
Sebastes nigrocintus
Microgadus proximus
Aulorhynchus flavidus
Pallasina barbata
Sebastes miniatus
Theragra chalcogramma
Hexagrammos stelleri
Anarrhichthys ocellatus
Sebastes flavidus
Oncorhynchus nerka
Clupea pallasii
Rhinogobiops nicholsii
Sebastes pinniger
Liparis mucosus
Artedius harringtoni
Gibbonsia montereyensis
Orthonopias triacis
Ascelichthys rhodorus
Gadus chalcogrammus
Beringraja binoculata
Oncorhynchus keta
Jordania zonope
Cololabis saira
Podothecus accipenserinus
Liparis cyclopus
