"query","species"
"Eptatretus deani","Eptatretus deani"
"Eptatretus fritzi","Eptatretus fritzi"
"Eptatretus mcconnaugheyi","Eptatretus mcconnaugheyi"
"Eptatretus stoutii","Eptatretus stoutii"
"Myxine circifrons","Myxine circifrons"
"Myxine hubbsi","Myxine hubbsi"
"Entosphenus tridentatus","Entosphenus tridentatus"
"Lampetra tridentata","Entosphenus tridentatus"
"Lampetra ayresii","Lampetra ayresii"
"Lethenteron camtschaticum","Lethenteron camtschaticum"
"Lampetra camtschatica","Lethenteron camtschaticum"
"Lethenteron kessleri","Lethenteron kessleri"
"Harriotta raleighana","Harriotta raleighana"
"Harriotta haeckeli","Harriotta haeckeli"
"Hydrolagus colliei","Hydrolagus colliei"
"Hydrolagus melanophasma","Hydrolagus melanophasma"
"Hydrolagus trolli","Hydrolagus trolli"
"Heterodontus francisci","Heterodontus francisci"
"Heterodontus mexicanus","Heterodontus mexicanus"
"Ginglymostoma unami","Ginglymostoma unami"
"Ginglymostoma cirratum","Ginglymostoma cirratum"
"Rhincodon typus","Rhincodon typus"
"Odontaspis ferox","Odontaspis ferox"
"Mitsukurina owstoni","Mitsukurina owstoni"
"Pseudocarcharias kamoharai","Pseudocarcharias kamoharai"
"Megachasma pelagios","Megachasma pelagios"
"Alopias pelagicus","Alopias pelagicus"
"Alopias superciliosus","Alopias superciliosus"
"Alopias vulpinus","Alopias vulpinus"
"Cetorhinus maximus","Cetorhinus maximus"
"Carcharodon carcharias","Carcharodon carcharias"
"Isurus oxyrinchus","Isurus oxyrinchus"
"Isurus paucus","Isurus paucus"
"Lamna ditropis","Lamna ditropis"
"Apristurus brunneus","Apristurus brunneus"
"Apristurus kampae","Apristurus kampae"
"Cephaloscyllium ventriosum","Cephaloscyllium ventriosum"
"Cephalurus cephalus","Cephalurus cephalus"
"Parmaturus xaniurus","Parmaturus xaniurus"
"Galeorhinus galeus","Galeorhinus galeus"
"Galeorhinus zyopterus","Galeorhinus galeus"
"Mustelus albipinnis","Mustelus albipinnis"
"Mustelus hacat","Mustelus albipinnis"
