"","species"
"1","Eptatretus deani"
"2","Eptatretus fritzi"
"3","Eptatretus mcconnaugheyi"
"4","Eptatretus stoutii"
"5","Myxine circifrons"
"6","Myxine hubbsi"
"7","Entosphenus tridentatus"
"8","Lampetra ayresii"
"9","Lethenteron camtschaticum"
"10","Lethenteron kessleri"
"11","Harriotta raleighana"
"12","Harriotta haeckeli"
"13","Hydrolagus colliei"
"14","Hydrolagus melanophasma"
"15","Hydrolagus trolli"
"16","Heterodontus francisci"
"17","Heterodontus mexicanus"
"18","Ginglymostoma unami"
"19","Ginglymostoma cirratum"
"20","Rhincodon typus"
"21","Odontaspis ferox"
"22","Mitsukurina owstoni"
"23","Pseudocarcharias kamoharai"
"24","Megachasma pelagios"
"25","Alopias pelagicus"
"26","Alopias superciliosus"
"27","Alopias vulpinus"
"28","Cetorhinus maximus"
"29","Carcharodon carcharias"
"30","Isurus oxyrinchus"
"31","Isurus paucus"
"32","Lamna ditropis"
"33","Apristurus brunneus"
"34","Apristurus kampae"
"35","Cephaloscyllium ventriosum"
"36","Cephalurus cephalus"
"37","Parmaturus xaniurus"
"38","Galeorhinus galeus"
"39","Mustelus albipinnis"
"40","Mustelus californicus"
"41","Mustelus henlei"
"42","Mustelus lunulatus"
"43","Triakis semifasciata"
"44","Carcharhinus albimarginatus"
"45","Carcharhinus altimus"
"46","Carcharhinus brachyurus"
"47","Carcharhinus cerdale"
"48","Carcharhinus falciformis"
"49","Carcharhinus galapagensis"
"50","Carcharhinus obscurus"
"51","Carcharhinus leucas"
"52","Carcharhinus limbatus"
"53","Carcharhinus longimanus"
"54","Galeocerdo cuvier"
"55","Nasolamia velox"
"56","Negaprion brevirostris"
"57","Prionace glauca"
"58","Rhizoprionodon longurio"
"59","Triaenodon obesus"
"60","Sphyrna corona"
"61","Sphyrna lewini"
"62","Sphyrna media"
"63","Sphyrna mokarran"
"64","Sphyrna tiburo"
"65","Sphyrna zygaena"
"66","Chlamydoselachus anguineus"
"67","Hexanchus griseus"
"68","Notorynchus cepedianus"
"69","Echinorhinus cookei"
"70","Squalus suckleyi"
"71","Squalus acanthias"
"72","Centroscyllium nigrum"
"73","Etmopterus benchleyi"
"74","Somniosus pacificus"
"75","Somniosus microcephalus"
"76","Somniosus antarcticus"
"77","Zameus squamulosus"
"78","Euprotomicrus bispinatus"
"79","Isistius brasiliensis"
"80","Squatina californica"
"81","Squatina armata"
"82","Tetronarce californica"
"83","Diplobatis ommata"
"84","Narcine entemedor"
"85","Pristis pristis"
"86","Pristis microdon"
"87","Pseudobatos glaucostigmus"
"88","Pseudobatos productus"
"89","Pseudobatos prahli"
"90","Pseudobatos leucorhynchus"
"91","Zapteryx exasperata"
"92","Bathyraja abyssicola"
"93","Bathyraja aleutica"
"94","Bathyraja interrupta"
"95","Bathyraja lindbergi"
"96","Bathyraja matsubarai"
"97","Bathyraja maculata"
"98","Bathyraja mariposa"
"99","Bathyraja trachura"
"100","Bathyraja minispinosa"
"101","Bathyraja panthera"
"102","Bathyraja parmifera"
"103","Bathyraja simoterus"
"104","Bathyraja spinosissima"
"105","Bathyraja taranetzi"
"106","Bathyraja violacea"
"107","Amblyraja hyperborea"
"108","Amblyraja badia"
"109","Beringraja binoculata"
"110","Beringraja inornata"
"111","Raja inornata"
"112","Beringraja rhina"
"113","Beringraja stellulata"
"114","Beringraja pulchra"
"115","Raja rhina"
"116","Raja stellulata"
"117","Raja equatorialis"
"118","Raja velezi"
"119","Platyrhinoidis triseriata"
"120","Urobatis concentricus"
"121","Urolophus halleri"
"122","Urobatis maculatus"
"123","Urotrygon aspidura"
"124","Urotrygon chilensis"
"125","Urotrygon munda"
"126","Urotrygon rogersi"
"127","Hypanus dipterurus"
"128","Hypanus longus"
"129","Pteroplatytrygon violacea"
"130","Gymnura marmorata"
"131","Gymnura crebripunctata"
"132","Aetobatus laticeps"
"133","Aetobatus narinari"
"134","Aetomylaeus asperrimus"
"135","Myliobatis californica"
"136","Myliobatis longirostris"
"137","Mobula birostris"
"138","Mobula mobular"
"139","Mobula japanica"
"140","Mobula thurstoni"
"141","Mobula munkiana"
"142","Mobula tarapacana"
"143","Rhinoptera steindachneri"
"144","Acipenser medirostris"
"145","Acipenser transmontanus"
"146","Elops affinis"
"147","Albula gilberti"
"148","Albula vulpes"
"149","Albula pacifica"
"150","Aldrovandia oleosa"
"151","Halosaurus attenuatus"
"152","Notacanthus chemnitzii"
"153","Polyacanthonotus challengeri"
"154","Thalassenchelys coheni"
"155","Congriscus megastomus"
"156","Chlopsis apterus"
"157","Chlopsis kazuko"
"158","Anarchias galapagensis"
"159","Echidna nebulosa"
"160","Echidna nocturna"
"161","Enchelycore octaviana"
"162","Gymnothorax castaneus"
"163","Gymnothorax dovii"
"164","Gymnothorax equatorialis"
"165","Gymnothorax flavimarginatus"
"166","Gymnothorax mordax"
"167","Gymnothorax panamensis"
"168","Gymnothorax phalarus"
"169","Gymnothorax verrilli"
"170","Muraena argus"
"171","Muraena clepsydra"
"172","Muraena lentiginosa"
"173","Scuticaria tigrina"
"174","Uropterygius macrocephalus"
"175","Uropterygius polystictus"
"176","Uropterygius versutus"
"177","Histiobranchus bathybius"
"178","Synaphobranchus affinis"
"179","Synaphobranchus brevidorsalis"
"180","Bascanichthys bascanoides"
"181","Callechelys cliffi"
"182","Callechelys eristigma"
"183","Ethadophis merenda"
"184","Atractoscion nobilis"
"185","Herpetoichthys fossatus"
"186","Ichthyapus selachops"
"187","Letharchus rosenblatti"
"188","Myrichthys tigrinus"
"189","Myrophis vafer"
"190","Ophichthus triserialis"
"191","Ophichthus zophochir"
"192","Paraletharchus pacificus"
"193","Phaenomonas pinnata"
"194","Quassiremus nothochir"
"195","Scytalichthys miurus"
"196","Derichthys serpentinus"
"197","Cynoponticus coniceps"
"198","Avocettina bowersii"
"199","Avocettina infans"
"200","Nemichthys larseni"
"201","Nemichthys scolopaceus"
"202","Ariosoma gilberti"
"203","Bathycongrus macrurus"
"204","Bathycongrus varidens"
"205","Chiloconger dentatus"
"206","Gnathophis cinctus"
"207","Gorgasia punctata"
"208","Heteroconger canabus"
"209","Heteroconger digueti"
"210","Heteroconger pellegrini"
"211","Paraconger californiensis"
"212","Paraconger similis"
"213","Rhynchoconger nitens"
"214","Xenomystax atrarius"
"215","Facciolella equatorialis"
"216","Facciolella gilbertii"
"217","Venefica ocella"
"218","Venefica procera"
"219","Venefica tentaculata"
"220","Serrivomer jesperseni"
"221","Serrivomer sector"
"222","Stemonidium hypomelas"
"223","Cyema atrum"
"224","Saccopharynx lavenbergi"
"225","Eurypharynx pelecanoides"
"226","Monognathus ahlstromi"
"227","Anchoa argentivittata"
"228","Anchoa compressa"
"229","Anchoa curta"
"230","Anchoa delicatissima"
"231","Anchoa exigua"
"232","Anchoa helleri"
"233","Anchoa ischana"
"234","Anchoa lucida"
"235","Anchoa mundeoloides"
"236","Anchoa nasus"
"237","Anchoa scofieldi"
"238","Anchovia macrolepidota"
"239","Cetengraulis mysticetus"
"240","Engraulis japonicus"
"241","Engraulis mordax"
"242","Opisthopterus dovii"
"243","Pliosteostoma lutipinnis"
"244","Alosa sapidissima"
"245","Clupea pallasii"
"246","Clupea harengus"
"247","Dorosoma petenense"
"248","Etrumeus acuminatus"
"249","Etrumeus sadina"
"250","Harengula thrissina"
"251","Lile nigrofasciata"
"252","Lile stolifera"
"253","Opisthonema bulleri"
"254","Opisthonema libertate"
"255","Opisthonema medirastre"
"256","Sardinops sagax"
"257","Chanos chanos"
"258","Cyprinus carpio"
"259","Mylocheilus caurinus"
"260","Pogonichthys macrolepidotus"
"261","Ariopsis guatemalensis"
"262","Bagre panamensis"
"263","Notarius planiceps"
"264","Occidentarius platypogon"
"265","Argentina sialis"
"266","Bathylychnops exilis"
"267","Dolichopteryx longipes"
"268","Dolichopteryx parini"
"269","Dolichopteryx pseudolongipes"
"270","Ioichthys kashkini"
"271","Bathylychnops brachyrhynchus"
"272","Macropinna microstoma"
"273","Opisthoproctus soleatus"
"274","Rhynchohyalus natalensis"
"275","Bathylagoides nigrigenys"
"276","Bathylagoides wesethi"
"277","Bathylagus pacificus"
"278","Leuroglossus schmidti"
"279","Leuroglossus stilbius"
"280","Lipolagus ochotensis"
"281","Melanolagus bericoides"
"282","Pseudobathylagus milleri"
"283","Microstoma microstoma"
"284","Nansenia candida"
"285","Nansenia crassa"
"286","Nansenia pelagica"
"287","Alepocephalus tenebrosus"
"288","Asquamiceps caeruleus"
"289","Asquamiceps pacificus"
"290","Asquamiceps velaris"
"291","Bajacalifornia burragei"
"292","Bajacalifornia megalops"
