"","species"
"9","Megaleporinus elongatus"
"13","Labracinus cyclophthalmus"
"17","Oreonectes platycephalus"
"21","Variola louti"
"25","Oxyeleotris marmorata"
"29","Sparus aurata"
"32","Ictiobus cyprinellus"
"35","Ctenopharyngodon idella"
"38","Chrysochir aureus"
"43","Sphyrna lewini"
"47","Sirembo imberbis"
"49","Spinibarbus sinensis"
"53","Xiphias gladius"
"57","Paraluteres prionurus"
"60","Odontobutis platycephala"
"62","Rhinichthys obtusus"
"66","Chaunax pictus"
"69","Auriglobus modestus"
"73","Psenes cyanophrys"
"75","Opsariichthys uncirostris"
"78","Amphiprion perideraion"
"80","Barbatula toni"
"83","Sebastiscus marmoratus"
"86","Scomber australasicus"
"89","Centropyge venusta"
"93","Thymallus mertensii"
"97","Labichthys carinatus"
"100","Odonus niger"
"104","Liobagrus nigricauda"
"106","Paedocypris progenetica"
"110","Decapterus maruadsi"
"112","Chuanchia labiosa"
"114","Ptychobarbus chungtienensis"
"118","Pseudomyxus capensis"
"120","Schizothorax lissolabiata"
"124","Dipturus trachyderma"
"127","Aulichthys japonicus"
"131","Zebrasoma flavescens"
"134","Grundulus bogotensis"
"138","Astronotus ocellatus"
"140","Epinephelus corallicola"
"143","Clinocottus analis"
"145","Takifugu chrysops"
"148","Oneirodes thompsoni"
"151","Pseudoplatystoma corruscans"
"154","Pseudobagrus koreanus"
"156","Opsaridium ubangiense"
"160","Brachyhypopomus occidentalis"
"162","Thamnaconus hypargyreus"
"163","Thymallus pallasii"
"165","Parasinilabeo assimilis"
"167","Loxodon macrorhinus"
"171","Tenualosa thibaudeaui"
"172","Amphiprion ephippium"
"175","Congriscus sp. Tht2"
"178","Cobitis takatsuensis"
"182","Peltorhamphus novaezeelandiae"
"184","Oreochromis variabilis"
"186","Pseudotolithus senegallus"
"189","Tetrapturus pfluegeri"
"191","Ancherythroculter lini"
"194","Engraulis japonicus"
"196","Hyperlophus vittatus"
"198","Crossocheilus reticulatus"
"199","Cobitis elongatoides"
"201","Distoechodon tumirostris"
"205","Exocoetus volitans"
"208","Vaillantella maassi"
"211","Oryzias javanicus"
"213","Notropis heterolepis"
"216","Rachycentron canadum"
"220","Dallia pectoralis"
"222","Alosa mediocris"
"226","Siniperca scherzeri x Siniperca chuatsi"
"229","Hippoglossus stenolepis"
"231","Hemigrammocypris rasborella"
"235","Lutjanus carponotatus"
"239","Iso hawaiiensis"
"242","Pungitius tymensis"
"244","Potamalosa richmondia"
"246","Capoeta aculeata"
"248","Cyprinidae intergeneric hybrids"
"250","Chaetodermis penicilligerus"
"252","Acanthopagrus schlegelii x Pagrus major"
"254","Sebastes aleutianus"
"257","Acheilognathus rhombeus"
"259","Schistura jarutanini"
"261","Istiophorus albicans"
"262","Pungitius laevis"
"265","Scophthalmus maximus"
"268","Scartelaos gigas"
"271","Oplegnathus fasciatus"
"274","Lethrinus obsoletus"
"278","Huso dauricus x Acipenser schrenckii"
"280","Glossogobius circumspectus"
"282","Paretroplus maculatus"
