"","species"
"1","Cymatogaster aggregata"
"2","Aulorhynchus flavidus"
"3","Parophrys vetulus"
"4","Citharichthys sordidus"
"5","Psettichthys melanostictus"
"6","Ammodytes hexapterus"
"7","Scorpaenichthys marmoratus"
"8","Platichthys stellatus"
"9","Hypomesus pretiosus"
"10","Oncorhynchus nerka"
"11","Oncorhynchus kisutch"
"12","Oncorhynchus gorbuscha"
"13","Leptocottus armatus"
"14","Salvelinus malma"
"15","Sebastes melanops"
"16","Syngnathus leptorhynchus"
"17","Rimicola muscarum"
"18","Clupea pallasii"
"19","Gasterosteus aculeatus"
"20","Apodichthys flavidus"
"21","Oligocottus maculosus"
"22","Hexagrammos decagrammus"
"23","Enophrys bison"
"24","Hemilepidotus hemilepidotus"
"25","Pleuronichthys coenosus"
"26","Blepsias cirrhosus"
"27","Clinocottus acuticeps"
"28","Oligocottus rimensis"
"29","Synchirus gilli"
"30","Sebastes caurinus"
"31","Artedius lateralis"
"32","Rhinogobiops nicholsii"
"33","Embiotoca lateralis"
"34","Sebastes pinniger"
"35","Ophiodon elongatus"
"36","Gobiesox maeandricus"
"37","Pholis laeta"
"38","Brachyistius frenatus"
"39","Liparis mucosus"
"40","Artedius fenestralis"
"41","Hexagrammos lagocephalus"
"42","Sebastes maliger"
"43","Gibbonsia metzi"
"44","Artedius harringtoni"
"45","Myoxocephalus polyacanthocephalus"
"46","Oxylebius pictus"
"47","Hexagrammos stelleri"
"48","Gibbonsia montereyensis"
"49","Anoplarchus insignis"
"50","Orthonopias triacis"
"51","Anoplarchus purpurescens"
"52","Trichodon trichodon"
"53","Xiphister mucosus"
"54","Ascelichthys rhodorus"
"55","Nautichthys oculofasciatus"
"56","Lepidopsetta bilineata"
"57","Chitonotus pugetensis"
"58","Microgadus proximus"
"59","Lepidogobius lepidus"
"60","Clevelandia ios"
"61","Cottus asper"
"62","Rhacochilus vacca"
"63","Engraulis mordax"
"64","Lumpenus sagitta"
"65","Citharichthys stigmaeus"
"66","Sebastes paucispinis"
"67","Oncorhynchus tshawytscha"
"68","Pallasina barbata"
"69","Gadus chalcogrammus"
"70","Gadus macrocephalus"
"71","Beringraja binoculata"
"72","Amphistichus rhodoterus"
"73","Odontopyxis trispinosa"
"74","Oncorhynchus keta"
"75","Jordania zonope"
"76","Cololabis saira"
"77","Oncorhynchus mykiss"
"78","Ptilichthys goodei"
"79","Sebastes flavidus"
"80","Podothecus accipenserinus"
"81","Sebastes miniatus"
"82","Liparis cyclopus"
"83","Sardinops sagax"
"84","Pleuronichthys decurrens"
