Representative Sample ID,Phylum,Class,Order,Family,Genus,Species,string,N
SCL15612,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Prasiola,Prasiola borealis,Chlorophyta_Trebouxiophyceae_Prasiolales_Prasiolaceae_Prasiola_Prasiola borealis,1
SCL15625,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Prasiola,Prasiola meridionalis,Chlorophyta_Trebouxiophyceae_Prasiolales_Prasiolaceae_Prasiola_Prasiola meridionalis,1
SCL13082,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,Codium ritteri,Chlorophyta_Ulvophyceae_Bryopsidales_Codiaceae_Codium_Codium ritteri,1
PTM-1605,Chlorophyta,Ulvophyceae,Bryopsidales,Derbesiaceae,Derbesia,Derbesia sp.,Chlorophyta_Ulvophyceae_Bryopsidales_Derbesiaceae_Derbesia_Derbesia sp.,1
SCL17369,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,,Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae__,1
SCL17023,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,,Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Cladophora_,1
SCL14246,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,Rhizoclonium riparium,Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Rhizoclonium_Rhizoclonium riparium,1
PTM1728,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,Rhizoclonium tortuosum,Chlorophyta_Ulvophyceae_Cladophorales_Cladophoraceae_Rhizoclonium_Rhizoclonium tortuosum,1
PTM-1535,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohliaceae,Trentepohlia,,Chlorophyta_Ulvophyceae_Trentepohliales_Trentepohliaceae_Trentepohlia_,1
PTM 1543,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohliaceae,Trentepohlia,Trentepohlia flava,Chlorophyta_Ulvophyceae_Trentepohliales_Trentepohliaceae_Trentepohlia_Trentepohlia flava,1
SCL17343,Chlorophyta,Ulvophyceae,Ulotrichales,Gomontiaceae,Eugomontia,,Chlorophyta_Ulvophyceae_Ulotrichales_Gomontiaceae_Eugomontia_,1
SCL17354,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix,Ulothrix flacca,Chlorophyta_Ulvophyceae_Ulotrichales_Ulotrichaceae_Ulothrix_Ulothrix flacca,1
SCL17365,Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia,Blidingia dawsonii,Chlorophyta_Ulvophyceae_Ulvales_Kornmanniaceae_Blidingia_Blidingia dawsonii,1
SCL13568,Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Kornmannia,Kornmannia leptoderma,Chlorophyta_Ulvophyceae_Ulvales_Kornmanniaceae_Kornmannia_Kornmannia leptoderma,1
SCL17339,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva compressa,Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulva_Ulva compressa,1
SCL17318,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva lactuca,Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulva_Ulva lactuca,1
SCL17377,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva lobata,Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulva_Ulva lobata,1
PTM-1670,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva stenophylla,Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulva_Ulva stenophylla,1
SCL17139,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulvaria,Ulvaria obscura,Chlorophyta_Ulvophyceae_Ulvales_Ulvaceae_Ulvaria_Ulvaria obscura,1
PTM 1578,Ochrophyta,,,,,,Ochrophyta_____,1
SCL17393,Ochrophyta,Phaeophyceae,,,,,Ochrophyta_Phaeophyceae____,1
SCL17373,Ochrophyta,Phaeophyceae,Ectocarpales,Acinetosporaceae,,,Ochrophyta_Phaeophyceae_Ectocarpales_Acinetosporaceae__,1
