Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Myxiniformes,Myxiniformes,352,364,2.50,1,NO_ANNOT,,,Exact,0,Myxiniformes,Myxiniformes,3M5,1,Catalogue of Life,
1,Eptatretus deani,Eptatretus deani,394,410,10.86,2,NO_ANNOT,,,Exact,0,"Eptatretus deani (Evermann & Goldsborough, 1907)",Eptatretus deani,6FZ3T,1,Catalogue of Life,
2,Eptatretus fritzi,Eptatretus fritzi,881,898,10.86,2,NO_ANNOT,,,Exact,0,"Eptatretus fritzi Wisner & McMillan, 1990",Eptatretus fritzi,6FZ42,1,Catalogue of Life,
3,Isla,Isla,966,970,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
4,Eptatretus mcconnaugheyi,Eptatretus mcconnaugheyi,1087,1111,12.47,2,NO_ANNOT,,,Exact,0,"Eptatretus mcconnaugheyi Wisner & McMillan, 1990",Eptatretus mcconnaugheyi,6FZ49,1,Catalogue of Life,
5,Eptatretus stoutii,Eptatretus stoutii,1436,1454,12.08,2,NO_ANNOT,,,Exact,0,"Eptatretus stoutii (Lockington, 1878)",Eptatretus stoutii,6FZ3N,1,Catalogue of Life,
6,Myxine circifrons,Myxine circifrons,1828,1845,6.71,2,NO_ANNOT,,,Exact,0,"Myxine circifrons Garman, 1899",Myxine circifrons,45H8B,1,Catalogue of Life,
7,Myxine hubbsi,Myxine hubbsi,2281,2294,6.93,2,NO_ANNOT,,,Exact,0,"Myxine hubbsi Wisner & McMillan, 1995",Myxine hubbsi,45H8L,1,Catalogue of Life,
8,Petromyzontiformes,Petromyzontiformes,2588,2606,2.62,1,NO_ANNOT,,,Exact,0,Petromyzontiformes,Petromyzontiformes,3SP,1,Catalogue of Life,
9,Entosphenus tridentatus,Entosphenus tridentatus,2641,2664,14.20,2,NO_ANNOT,,,Exact,0,"Entosphenus tridentatus (Richardson, 1836)",Entosphenus tridentatus,6FFWG,1,Catalogue of Life,
10,Isla,Isla,2961,2965,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
11,Eschmeyer,Eschmeyer,3193,3202,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
12,Lampetra tridentata,Lampetra tridentata,3337,3356,12.75,2,NO_ANNOT,,,Exact,0,"Lampetra tridentata (Richardson, 1836)",Lampetra tridentata,3S3B4,1,Catalogue of Life,
13,(Eschmeyer,Eschmeyer,3553,3563,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
14,Lampetra ayresii,Lampetra ayresii,3607,3623,11.29,2,NO_ANNOT,,,Exact,0,"Lampetra ayresii (Günther, 1870)",Lampetra ayresii,3S39T,1,Catalogue of Life,
15,Lethenteron camtschaticum,Lethenteron camtschaticum,4021,4046,12.14,2,NO_ANNOT,,,Exact,0,"Lethenteron camtschaticum (Tilesius, 1811)",Lethenteron camtschaticum,6Q2LL,1,Catalogue of Life,
16,Lampetra camtschatica,Lampetra camtschatica,4575,4596,12.48,2,NO_ANNOT,,,Exact,0,"Lampetra camtschatica (Tilesius, 1811)",Lampetra camtschatica,3S39W,1,Catalogue of Life,
17,Lethenteron kessleri,Lethenteron kessleri,4666,4686,11.96,2,NO_ANNOT,,,Exact,0,"Lethenteron kessleri (Anikin, 1905)",Lethenteron kessleri,6PQLJ,1,Catalogue of Life,
18,Chimaeriformes,Chimaeriformes,4738,4752,2.82,1,NO_ANNOT,,,Exact,0,Chimaeriformes,Chimaeriformes,X9,1,Catalogue of Life,
19,Harriotta raleighana,Harriotta raleighana,4831,4851,12.07,2,NO_ANNOT,,,Exact,0,"Harriotta raleighana Goode & Bean, 1895",Harriotta raleighana,6LFS7,1,Catalogue of Life,
20,(Eschmeyer,Eschmeyer,5189,5199,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
21,Rica,Rica,5282,5286,1.99,1,NO_ANNOT,,,NoMatch,,,,,,,
22,Harriota haeckeli,Harriota haeckeli,5565,5582,3.10,2,NO_ANNOT,,,Fuzzy,1,"Harriotta haeckeli Karrer, 1972",Harriotta haeckeli,6LFQD,1,Catalogue of Life,
23,Hydrolagus colliei,Hydrolagus colliei,5817,5835,11.35,2,NO_ANNOT,,,Exact,0,"Hydrolagus colliei (Lay & Bennett, 1839)",Hydrolagus colliei,6MK28,1,Catalogue of Life,
24,Rica,Rica,6097,6101,1.99,1,NO_ANNOT,,,NoMatch,,,,,,,
25,Isla,Isla,6224,6228,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
26,Hydrolagus melanophasma,Hydrolagus melanophasma,6473,6496,11.18,2,NO_ANNOT,,,Exact,0,"Hydrolagus melanophasma James, Ebert, Long & Didier, 2009",Hydrolagus melanophasma,3N7F6,1,Catalogue of Life,
27,Hydrolagus trolli,Hydrolagus trolli,6851,6868,11.50,2,NO_ANNOT,,,Exact,0,"Hydrolagus trolli Didier & Séret, 2002",Hydrolagus trolli,6MJPS,1,Catalogue of Life,
28,Hydrolagus trolli,Hydrolagus trolli,7352,7369,11.50,2,NO_ANNOT,,,Exact,0,"Hydrolagus trolli Didier & Séret, 2002",Hydrolagus trolli,6MJPS,1,Catalogue of Life,
29,Heterodontiformes,Heterodontiformes,7503,7520,2.94,1,NO_ANNOT,,,Exact,0,Heterodontiformes,Heterodontiformes,3C5,1,Catalogue of Life,
30,Heterodontus francisci,Heterodontus francisci,7609,7631,11.39,2,NO_ANNOT,,,Exact,0,"Heterodontus francisci (Girard, 1855)",Heterodontus francisci,6M53J,1,Catalogue of Life,
31,Eschmeyer,Eschmeyer,8344,8353,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
32,Heterodontus mexicanus,Heterodontus mexicanus,8478,8500,13.22,2,NO_ANNOT,,,Exact,0,"Heterodontus mexicanus Taylor & Castro-Aguirre, 1972",Heterodontus mexicanus,6M4RK,1,Catalogue of Life,
33,Orectolobiformes,Orectolobiformes,9144,9160,3.10,1,NO_ANNOT,,,Exact,0,Orectolobiformes,Orectolobiformes,3Q8,1,Catalogue of Life,
34,*Ginglymostoma unami,Ginglymostoma unami,9235,9255,10.37,2,NO_ANNOT,,,Exact,0,"Ginglymostoma unami Del Moral-Flores, Ramíz-Antonio, Angulo & Pérez-Ponce de León, 2015",Ginglymostoma unami,6KFDW,1,Catalogue of Life,
35,Ginglymostoma cirratum,Ginglymostoma cirratum,9748,9770,12.96,2,NO_ANNOT,,,Exact,0,"Ginglymostoma cirratum (Bonnaterre, 1788)",Ginglymostoma cirratum,6KFCS,1,Catalogue of Life,
36,Ginglymostoma cirratum,Ginglymostoma cirratum,9930,9952,12.96,2,NO_ANNOT,,,Exact,0,"Ginglymostoma cirratum (Bonnaterre, 1788)",Ginglymostoma cirratum,6KFCS,1,Catalogue of Life,
37,Rhincodon typus,Rhincodon typus,10070,10085,9.43,2,NO_ANNOT,,,Exact,0,"Rhincodon typus Smith, 1828",Rhincodon typus,4S7H3,1,Catalogue of Life,
38,Lamniformes,Lamniformes,10544,10555,2.27,1,NO_ANNOT,,,Exact,0,Lamniformes,Lamniformes,3F5,1,Catalogue of Life,
39,Odontaspis ferox,Odontaspis ferox,10625,10641,9.81,2,NO_ANNOT,,,Exact,0,"Odontaspis ferox (Risso, 1810)",Odontaspis ferox,74HN7,1,Catalogue of Life,
40,(Eschmeyer,Eschmeyer,10988,10998,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
41,Mitsukurina owstoni,Mitsukurina owstoni,11297,11316,10.83,2,NO_ANNOT,,,Exact,0,"Mitsukurina owstoni Jordan, 1898",Mitsukurina owstoni,43RPG,1,Catalogue of Life,
42,*Pseudocarcharias kamoharai,Pseudocarcharias kamoharai,11832,11859,12.22,2,NO_ANNOT,,,Exact,0,"Pseudocarcharias kamoharai (Matsubara, 1936)",Pseudocarcharias kamoharai,4NQQW,1,Catalogue of Life,
43,"Eugenia,",Eugenia,12097,12105,3.62,1,NO_ANNOT,,,Exact,0,Eugenia L.,Eugenia,4FLN,1,Catalogue of Life,
44,Megachasma pelagios,Megachasma pelagios,12442,12461,10.58,2,NO_ANNOT,,,Exact,0,"Megachasma pelagios Taylor, Compagno & Struhsaker, 1983",Megachasma pelagios,3YR3B,1,Catalogue of Life,
45,"Eugenia,",Eugenia,12756,12764,3.62,1,NO_ANNOT,,,Exact,0,Eugenia L.,Eugenia,4FLN,1,Catalogue of Life,
46,Alopias pelagicus,Alopias pelagicus,13062,13079,12.25,2,NO_ANNOT,,,Exact,0,"Alopias pelagicus Nakamura, 1935",Alopias pelagicus,C5K6,1,Catalogue of Life,
47,Alopias superciliosus,Alopias superciliosus,13616,13637,12.54,2,NO_ANNOT,,,Exact,0,"Alopias superciliosus Lowe, 1841",Alopias superciliosus,65WK9,1,Catalogue of Life,
