Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,,A. abbreviata,701790,701803,7.68,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
1,,A. acanthostoma,1175584,1175599,6.40,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
2,,A. actis,697353,697361,5.26,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
3,,A. alaskensis shinadae,700471,700505,10.89,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
4,,A. aomoriensis,702355,702369,7.60,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
5,,A. apollinis,142435,142447,6.85,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
6,,A. arctica broweri,697388,697406,11.66,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
7,,A. beringiana,659472,659500,6.88,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
8,,A. borealis,698622,698633,6.80,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
9,,A. borealis crassa,698336,698355,10.29,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
10,,A. borealis ovata,698574,698591,11.80,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
11,,A. borealis sericea,698370,698389,11.26,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
12,,A. borealis sibirica,698488,698508,12.32,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
13,,A. brachiata,1175443,1175455,7.57,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
14,,A. californiensis chosenica,675285,675312,13.35,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
15,,A. compressa crassa,701865,701886,9.56,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
16,,A. compressa depressa,701899,701920,6.79,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
17,,A. crebricosta,699431,699445,6.68,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
18,,A. crebrilirata,699473,699488,7.89,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
19,,A. crenata incostata,699659,699679,13.24,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
20,,A. crenata inflata,699628,699647,12.84,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
21,,A. crenata quadrata,699723,699742,12.99,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
22,,A. crenata sulcatoides,699874,699897,12.05,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
23,,A. crenata typica,699691,699709,12.31,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
24,,A. culcitella,623972,623985,6.90,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
25,,A. debruyni orientalis,901171,901193,9.95,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
26,,A. derjungini,699845,699858,6.23,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
27,,A. digitale var. rosea,226264,226288,11.42,3,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
28,,A. ecostata,699772,699783,7.41,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
29,,A. epichlora,1175470,1175497,6.58,2,,,,NoMatch,,,,,,,"Post ""https://verifier.globalnames.org/api/v1/verifications"": context deadline exceeded"
