"","species","hakai2020","hart","hakaiseine","hakaisample","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"1","Clevelandia ios",1,1,1,0,"0","0","Clevelandia ios","Actinopteri","Gobiiformes","Gobiidae","Clevelandia","accepted",NA,FALSE,280215,76486,5209085,1014036
"2","Lepidogobius lepidus",1,1,1,1,"0","0","Lepidogobius lepidus","Actinopteri","Gobiiformes","Gobiidae","Lepidogobius","accepted",NA,FALSE,281292,125624,2379182,387080
"3","Alos sapidissima",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Syngnathus leptorhynchus",1,0,1,1,"0","0","Syngnathus leptorhynchus","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","accepted",NA,FALSE,275226,78133,2332938,774443
"5","Coryphopterus nicholsi",1,1,0,0,"0","0","Rhinogobiops nicholsii","Actinopteri","Gobiiformes","Gobiidae","Coryphopterus","unaccepted","misspelling",TRUE,282580,NA,2376639,494025
"6","Sebastes melanops",1,1,1,0,"0","0","Sebastes melanops","Actinopteri","Perciformes","Sebastidae","Sebastes","accepted",NA,FALSE,274817,10711,2335569,9604
"7","Sebastes paucispinis",1,1,1,1,"0","0","Sebastes paucispinis","Actinopteri","Perciformes","Sebastidae","Sebastes","accepted",NA,FALSE,274833,10777,2335466,582321
"8","Enophrys bison",1,1,1,1,"0","0","Enophrys bison","Actinopteri","Perciformes","Cottidae","Enophrys","accepted",NA,FALSE,275355,125570,5201188,290389
"9","Scorpaenichthys marmoratus",1,1,1,1,"0","0","Scorpaenichthys marmoratus","Actinopteri","Perciformes","Cottidae","Scorpaenichthys","accepted",NA,FALSE,282726,76463,5201222,786351
"10","Scorpaenichthys marmoratus",1,1,1,1,"0","0","Scorpaenichthys marmoratus","Actinopteri","Perciformes","Cottidae","Scorpaenichthys","unaccepted",NA,FALSE,282726,76463,5201222,786351
"11","Sebastes nebulosus",1,1,0,0,"0","0","Sebastes nebulosus","Actinopteri","Perciformes","Sebastidae","Sebastes","accepted",NA,FALSE,274824,1017160,2335508,1088444
"12","Oncorhynchus tshawytscha",1,1,1,1,"0","0","Oncorhynchus tshawytscha","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","accepted",NA,FALSE,158075,10566,5204024,730762
"13","Oncorhynchus kisutch",1,1,1,1,"0","0","Oncorhynchus kisutch","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","accepted",NA,FALSE,127184,23772,5204034,739917
"14","Sebastes caurinus",1,1,1,1,"0","0","Sebastes caurinus","Actinopteri","Perciformes","Sebastidae","Sebastes","accepted",NA,FALSE,274780,33903,2335455,1057078
"15","Pleuronichthys coenosus",1,0,1,1,"0","0","Pleuronichthys coenosus","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys","accepted",NA,FALSE,282290,33921,2409249,1091692
"16","Pleuronichthys decurrens",1,0,1,0,"0","0","Pleuronichthys decurrens","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronichthys","accepted",NA,FALSE,282292,34549,2409246,1077979
"17","Pholis laeta",1,1,1,1,"0","0","Pholis laeta","Actinopteri","Perciformes","Pholidae","Pholis","accepted",NA,FALSE,273689,125636,5210424,106653
"18","Sebastes diaconus",1,0,0,0,"0","0","Sebastes diaconus","Actinopteri","Perciformes","Sebastidae","Sebastes","accepted",NA,FALSE,1384909,NA,8957040,7650657
"19","Chirolophis decoratus",1,1,0,0,"0","0","Chirolophis decoratus","Actinopteri","Perciformes","Stichaeidae","Chirolophis","accepted",NA,FALSE,254576,125569,2394964,290384
"20","Salvelinus malma",1,1,1,1,"0","0","Salvelinus malma","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","accepted",NA,FALSE,254570,88751,4284020,688336
