"","species","obisgbif","love2021","hakai2020","hart","hakaiseine","hakaisample","caution","verifiedbc","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"1","Lycodes pacificus",1,1,0,0,0,0,1,0,"0","0","Lycodes pacificus","Actinopteri","Perciformes","Zoarcidae","Lycodes","accepted",NA,TRUE,274116,11376,NA,780344
"2","Bathymaster caeruleofasciatus",1,1,0,0,0,0,1,0,"0","0","Bathymaster caeruleofasciatus","Actinopteri","Perciformes","Bathymasteridae","Bathymaster","accepted",NA,FALSE,279415,NA,NA,417899
"3","Oncorhynchus clarkii",1,1,0,0,0,0,1,0,"0","0","Oncorhynchus clarkii","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","accepted",NA,FALSE,274347,26334,NA,800432
"4","Ammodytes personatus",1,1,0,0,0,0,1,0,"0","0","Ammodytes personatus","Actinopteri","Perciformes","Ammodytidae","Ammodytes","accepted",NA,FALSE,272967,201830,NA,408403
"5","Hippoglossus stenolepis",1,1,0,0,0,0,1,0,"0","0","Hippoglossus stenolepis","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus","accepted",NA,FALSE,274290,60118,NA,831503
"6","Bathyraja interrupta",1,1,0,0,0,0,1,0,"0","0","Bathyraja interrupta","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","accepted",NA,FALSE,271515,33927,NA,147198
"7","Eopsetta jordani",1,1,0,0,0,0,1,0,"0","0","Eopsetta jordani","Actinopteri","Pleuronectiformes","Pleuronectidae","Eopsetta","accepted",NA,FALSE,280690,11822,NA,257073
"8","Hippoglossoides elassodon",1,1,0,0,0,0,1,0,"0","0","Hippoglossoides elassodon","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","accepted",NA,FALSE,274289,15397,NA,749773
"9","Lyopsetta exilis",1,1,0,0,0,0,1,0,"0","0","Lyopsetta exilis","Actinopteri","Pleuronectiformes","Pleuronectidae","Lyopsetta","accepted",NA,FALSE,281452,15399,NA,206093
"10","Apristurus brunneus",1,1,0,0,0,0,1,0,"0","0","Apristurus brunneus","Elasmobranchii","Carcharhiniformes","Pentanchidae","Apristurus","accepted",NA,FALSE,158512,33928,NA,786098
"11","Pseudobathylagus milleri",1,1,0,0,0,0,1,0,"0","0","Pseudobathylagus milleri","Actinopteri","Argentiniformes","Bathylagidae","Pseudobathylagus","accepted",NA,FALSE,282406,34556,NA,197413
"12","Lycodes brevipes",1,1,0,0,0,0,1,0,"0","0","Lycodes brevipes","Actinopteri","Perciformes","Zoarcidae","Lycodes","accepted",NA,FALSE,254595,34010,NA,1095237
"13","Paraliparis paucidens",1,1,0,0,0,0,1,0,"0","0","Paraliparis paucidens","Actinopteri","Perciformes","Liparidae","Paraliparis","accepted",NA,FALSE,274603,78114,NA,529020
