species,hakai2020,hart,hakaiseine,hakaisample
Clevelandia ios,1,1,1,0
Lepidogobius lepidus,1,1,1,1
Alos sapidissima,1,0,0,0
Syngnathus leptorhynchus,1,0,1,1
Coryphopterus nicholsi,1,1,0,0
Sebastes melanops,1,1,1,0
Sebastes paucispinis,1,1,1,1
Enophrys bison,1,1,1,1
Scorpaenichthys marmoratus,1,1,1,1
Sebastes nebulosus,1,1,0,0
Oncorhynchus tshawytscha,1,1,1,1
Oncorhynchus kisutch,1,1,1,1
Sebastes caurinus,1,1,1,1
Pleuronichthys coenosus,1,0,1,1
Pleuronichthys decurrens,1,0,1,0
Pholis laeta,1,1,1,1
Sebastes diaconus,1,0,0,0
Chirolophis decoratus,1,1,0,0
Salvelinus malma,1,1,1,1
Sebastes ciliatus,1,1,0,0
Parophrys vetulus,1,0,1,1
Myoxocephalus polyacanthocephalus,1,1,1,0
Rhamphocottus richardsonii,1,0,0,1
Clupea pallasi,1,0,0,0
Anoplarchus purpurescens,1,1,1,0
Rimicola muscarum,1,1,1,1
Hexagrammos decagrammus,1,1,1,1
Brachyistius frenatus,1,1,1,1
Ophiodon elongatus,1,1,1,1
Synchirus gilli,1,1,1,0
Engraulis mordax,1,0,1,1
Gobiesox maeandricus,1,1,1,1
Gadus macrocephalus,1,1,1,1
Oxylebius pictus,1,1,1,1
Citharichthys sordidus,1,0,1,0
Artedius fenestralis,1,1,1,1
Trichodon trichodon,1,1,1,1
Apodichthys flavidus,1,1,1,1
Rhacochilus vacca,1,1,1,0
Oncorhynchus gorbuscha,1,1,1,1
Cottus asper,1,0,1,0
Odontopyxis trispinosa,1,1,1,0
Sebastes maliger,1,1,1,0
Ptilichthys goodei,1,0,1,0
Hydrolagus colliei,1,0,0,0
Chitonotus pugetensis,1,1,1,1
Hemilepidotus hemilepidotus,1,1,1,1
Amphistichus rhodoterus,1,1,1,1
Hexagrammos lagocephalus,1,1,1,0
Xiphister mucosus,1,0,1,0
Lepidopsetta bilineata,1,0,1,1
Ammodytes hexapterus,1,1,1,0
Sardinops sagax,1,1,1,0
Oligocottus rimensis,1,1,1,0
Psettichthys melanostictus,1,0,1,1
Nautichthys oculofasciatus,1,1,1,1
Cymatogaster aggregata,1,1,1,1
Clinocottus acuticeps,1,1,1,0
Blepsias cirrhosus,1,1,1,1
Anoplarchus insignis,1,1,1,0
Artedius lateralis,1,1,1,1
Lumpenus sagitta,1,1,1,1
Citharichthys stigmaeus,1,0,1,0
Sebastes brevispinis,1,1,0,0
Oncorhynchus mykiss,1,0,1,0
Platichthys stellatus,1,0,1,1
Gibbonsia metzi,1,1,1,0
Embiotoca lateralis,1,1,1,1
Leptocottus armatus,1,1,1,1
Hypomesus pretiosus,1,0,1,1
Gasterosteus aculeatus,1,1,1,0
Oligocottus maculosus,1,1,1,1
Sebastes nigrocintus,1,0,0,0
Microgadus proximus,1,1,1,1
Aulorhynchus flavidus,1,1,1,1
Pallasina barbata,1,0,1,1
Sebastes miniatus,1,1,1,0
Theragra chalcogramma,1,1,0,0
Hexagrammos stelleri,1,1,1,1
Anarrhichthys ocellatus,1,0,0,0
Sebastes flavidus,1,1,1,1
Agonopsis emmelane,0,1,0,0
Agonus acipenserinus,0,1,0,0
Alepisaurus ferox,0,1,0,0
Allolumpenus hypochromus,0,1,0,0
Allosmerus elongatus,0,1,0,0
Alopias vulpinus,0,1,0,0
Alosa sapidissima,0,1,0,0
Amphistichus koelzi,0,1,0,0
Anoplagonus inermis,0,1,0,0
Anoplopoma fimbria,0,1,0,1
Anotopterus pharao,0,1,0,0
Antimora microlepis,0,1,0,0
Aptocyclus ventricosus,0,1,0,0
Argyropelecus lychnus lychnus,0,1,0,0
Aristostomias scintillans,0,1,0,0
Artedius harringtoni,0,1,1,0
Artedius meanyi,0,1,0,0
Ascelichthys rhodorus,0,1,1,1
Asemichthys taylori,0,1,0,1
Asterotheca alascana,0,1,0,0
Asterotheca infraspinata,0,1,0,0
Asterotheca pentacanthus,0,1,0,0
Atherinops affinis affinis,0,1,0,0
Bathyagonus nigripinnis,0,1,0,0
Bathylagus milleri,0,1,0,0
Bathylagus ochotensis,0,1,0,0
Bathylagus pacificus,0,1,0,0
Bathymaster signatus,0,1,0,0
Benthalbella dentata,0,1,0,0
Benthodesmus simonyi,0,1,0,0
Blepsias bilobus,0,1,0,0
Bothragonus swani,0,1,0,0
Brama japonica,0,1,0,0
Brosmophycis marginata,0,1,0,0
Bryozoichthys marjorius,0,1,0,0
Carcharodon carcharias,0,1,0,0
Careproctus ovigerum,0,1,0,0
Caristius macropus,0,1,0,0
Caulolatilus princeps,0,1,0,0
Ceratoscopelus townsendi,0,1,0,0
Cetorhinus maximus,0,1,0,0
Chaenophryne parviconus,0,1,0,0
Chauliodus macouni,0,1,0,0
Chirolophis nugator,0,1,0,0
Clinocottus embryum,0,1,0,0
Clinocottus globiceps,0,1,0,0
Clupea harengus pallasi,0,1,0,0
Cololabis saira,0,1,1,0
Cyclothone microdon,0,1,0,0
Cynoscion nobilis,0,1,0,0
Cyprinus carpio,0,1,0,0
Dasycottus setiger,0,1,0,0
Delolepis gigantea,0,1,0,0
Diaphus theta,0,1,0,0
Engraulis mordax mordax,0,1,0,0
Erilepis zonifer,0,1,0,0
Eumicrotremus orbis,0,1,0,0
Euthynnus pelamis,0,1,0,0
Galeorhinus zyopterus,0,1,0,0
Genyonemus lineatus,0,1,0,0
Gibbonsia montereyensis,0,1,1,0
Gilbertidia sigalutes,0,1,0,0
Hemilepidotus spinosus,0,1,0,0
Hemitripterus bolini,0,1,0,0
Hexagrammos octogrammus,0,1,0,0
Hexanchus griseus,0,1,0,0
Hyperprosopon argenteum,0,1,0,0
Hyperprosopon ellipticum,0,1,0,0
Hypomesus pretiosus pretiosus,0,1,0,0
Hypsagonus quadricornis,0,1,0,0
Icelinus borealis,0,1,0,0
Icelinus burchami,0,1,0,0
Icelinus filamentosus,0,1,0,0
Icelinus oculatus,0,1,0,0
Icelinus tenuis,0,1,0,0
Icelus spiniger,0,1,0,0
Icichthys lockingtoni,0,1,0,0
Icosteus aenigmaticus,0,1,0,0
Jordania zonope,0,1,1,0
Lamna ditropis,0,1,0,0
Lampanyctus regalis,0,1,0,0
Lampanyctus ritteri,0,1,0,0
Lampris regius,0,1,0,0
Lestidium ringens,0,1,0,0
Leuroglossus stilbius schmidti,0,1,0,0
Liparis callyodon,0,1,0,0
Liparis cyclopus,0,1,1,1
Liparis dennyi,0,1,0,0
Liparis florae,0,1,0,0
Liparis fucensis,0,1,0,0
Liparis mucosus,0,1,1,0
Liparis pulchellus,0,1,0,0
Liparis rutteri,0,1,0,0
Lumpenella longirostris,0,1,0,0
Lumpenus maculatus,0,1,0,0
Lyconectes aleutensis,0,1,0,0
Macropinna microstoma,0,1,0,0
Malacocottus kincaidi,0,1,0,0
Mallotus villosus,0,1,0,0
Melamphaes lugubris,0,1,0,0
Merluccius productus,0,1,0,1
Nansenia candida,0,1,0,0
Nautichthys robustus,0,1,0,0
Nectoliparis pelagicus,0,1,0,0
Notolepis rissoi rissoi,0,1,0,0
Notorynchus maculatus,0,1,0,0
Notoscopelus resplendens,0,1,0,0
Occella impi,0,1,0,0
Occella verrucosa,0,1,0,0
Oligocottus snyderi,0,1,0,0
Oncorhynchus nerka,0,1,1,1
Oncorhynchus keta,0,1,1,1
Oncorhynchus nerka,0,1,1,1
Oneirodes acanthias,0,1,0,0
Oneirodes eschrichti,0,1,0,0
Osmerus mordax dentex,0,1,0,0
Pallasina barbata aix,0,1,0,0
Paricelinus hopliticus,0,1,0,0
Pentaceros richardsoni,0,1,0,0
Peprilus simillimus,0,1,0,0
Phanerodon furcatus,0,1,0,0
Pholis clemensi,0,1,0,0
Pholis ornata,0,1,0,0
Pholis schultzi,0,1,0,0
Phytichthys chirus,0,1,0,0
Plectobranchus evides,0,1,0,0
Polypera greeni,0,1,0,0
Porichthys notatus,0,1,0,0
Poroclinus rothrocki,0,1,0,0
Poromitra crassiceps,0,1,0,0
Prionace glauca,0,1,0,0
Protomyctophum thompsoni,0,1,0,0
Psychrolutes paradoxus,0,1,0,0
Radulinus asprellus,0,1,0,0
Radulinus boleoides,0,1,0,0
Remora australis,0,1,0,0
Rhamphocottus richardsoni,0,1,0,0
Roccus saxatilis,0,1,0,0
Ronquilus jordani,0,1,0,0
Sebastes zacentrus,0,1,0,0
Sagamichthys abei,0,1,0,0
Salmo clarki clarki,0,1,0,0
Salmo gairdneri,0,1,0,0
Salmo trutta,0,1,0,0
Sarda chiliensis,0,1,0,0
Scomber japonicus,0,1,0,0
Scopelosaurus harryi,0,1,0,0
Sebastes aleutianus,0,1,0,0
Sebastes alutus,0,1,0,0
Sebastes auriculatus,0,1,0,0
Sebastes aurora,0,1,0,0
Sebastes babcocki,0,1,0,0
Sebastes borealis,0,1,0,0
Sebastes crameri,0,1,0,0
Sebastes diploproa,0,1,0,0
Sebastes elongatus,0,1,0,0
Sebastes emphaeus,0,1,0,0
Sebastes entomelas,0,1,0,1
Sebastes goodei,0,1,0,0
Sebastes helvomaculatus,0,1,0,0
Sebastes jordani,0,1,0,0
Sebastes mystinus,0,1,0,0
Sebastes nigrocinctus,0,1,0,0
Sebastes pinniger,0,1,1,0
Sebastes proriger,0,1,0,0
Sebastes reedi,0,1,0,0
Sebastes ruberrimus,0,1,0,0
Sebastes saxicola,0,1,0,0
Sebastes variegatus,0,1,0,0
Sebastes wilsoni,0,1,0,0
Sebastolobus alascanus,0,1,0,0
Sebastolobus altivelis,0,1,0,0
Somniosus pacificus,0,1,0,0
Sphyraena argentea,0,1,0,0
Spirinchus starksi,0,1,0,0
Spirinchus thaleichthys,0,1,0,0
Squalus acanthias,0,1,0,0
Stenobrachius leucopsarus,0,1,0,0
Symbolophorus californiense,0,1,0,0
Syngnathus griseolineatus,0,1,0,0
Tarletonbeania crenularis,0,1,0,0
Tetragonurus cuvieri,0,1,0,0
Thaleichthys pacificus,0,1,0,1
Thunnus alalunga,0,1,0,0
Thunnus thynnus,0,1,0,0
Trachipterus altivelis,0,1,0,0
Trachurus symmetricus,0,1,0,0
Triglops macellus,0,1,0,0
Triglops pingeli,0,1,0,0
Xeneretmus latifrons,0,1,0,0
Xeneretmus triacanthus,0,1,0,0
Xererpes fucorum,0,1,0,0
Xiphister atropurpureus,0,1,0,0
Zaniolepis latipinnis,0,1,0,0
Zaprora silenus,0,1,0,0
Clupea pallasii,0,0,1,1
Rhinogobiops nicholsii,0,0,1,1
Orthonopias triacis,0,0,1,0
Gadus chalcogrammus,0,0,1,1
Beringraja binoculata,0,0,1,0
Podothecus accipenserinus,0,0,1,0
Damalichthys vacca,0,0,0,1
Atheresthes stomias,0,0,0,1
Bothragonus swanii,0,0,0,1
Entosphenus tridentatus,0,0,0,1
Squalus suckleyi,0,0,0,1
