species,phylum,class,obisgbif,hakaisample,verifiedbc
Leptasterias hexactis,Echinodermata,Asteroidea,1,0,0
Rhizodrilus pacificus,Annelida,Clitellata,1,0,0
Decamastus gracilis,Annelida,Polychaeta,1,0,0
Phronima sedentaria,Arthropoda,Malacostraca,1,0,0
Malmgreniella nigralba,Annelida,Polychaeta,1,0,0
Goodingius subadhaerens,Arthropoda,Copepoda,1,0,0
Chlamys hastata,Mollusca,Bivalvia,1,0,0
Halosydna brevisetosa,Annelida,Polychaeta,1,1,1
Leptasterias aequalis,Echinodermata,Asteroidea,1,0,0
Haplostomella dubia,Arthropoda,Copepoda,1,0,0
Saccoglossus bromophenolosus,Hemichordata,Enteropneusta,1,0,0
Paragorgia stephencairnsi,Cnidaria,Anthozoa,1,0,0
Pholoe minuta,Annelida,Polychaeta,1,0,0
Mooreonuphis stigmatis,Annelida,Polychaeta,1,0,0
Nootkadrilus hamatus,Annelida,Clitellata,1,0,0
Sternaspis scutata,Annelida,Polychaeta,1,0,0
Littorina keenae,Mollusca,Gastropoda,1,0,0
Lillipathes wingi,Cnidaria,Anthozoa,1,0,0
Owenia fusiformis,Annelida,Polychaeta,1,0,0
Ptilosarcoma athyrmata,Arthropoda,Copepoda,1,0,0
Gattyana cirrhosa,Annelida,Polychaeta,1,0,0
Pagurus beringanus,Arthropoda,Malacostraca,1,1,1
Schizobranchia insignis,Annelida,Polychaeta,1,0,0
Frontonemertes serpentina,Nemertea,Hoplonemertea,1,0,0
Scleroplax schmitti,Arthropoda,Malacostraca,1,0,0
Heteropora pacifica,Bryozoa,Stenolaemata,1,1,1
Amphicteis gunneri,Annelida,Polychaeta,1,0,0
Bathydrilus litoreus,Annelida,Clitellata,1,0,0
Marionina subterranea,Annelida,Clitellata,1,0,0
Parastenella pacifica,Cnidaria,Anthozoa,1,0,0
Haplostomella distincta,Arthropoda,Copepoda,1,0,0
Epiactis fernaldi,Cnidaria,Anthozoa,1,0,0
Deontostoma washingtonense,Nematoda,Enoplea,1,0,0
Calanus marshallae,Arthropoda,Copepoda,1,1,1
Discorsopagurus schmitti,Arthropoda,Malacostraca,1,1,1
Tubificoides wasselli,Annelida,Clitellata,1,0,0
Armandia brevis,Annelida,Polychaeta,1,1,1
Amathia gracilis,Bryozoa,Gymnolaemata,1,0,0
Eleutherolaimus obtusicaudatus,Nematoda,Chromadorea,1,0,0
Gnorimosphaeroma oregonense,Arthropoda,Malacostraca,1,0,0
Doropygopsis longicauda,Arthropoda,Copepoda,1,0,0
Gaetanus kruppii,Arthropoda,Copepoda,1,0,0
Lepidonotus spiculus,Annelida,Polychaeta,1,0,0
Leodice valens,Annelida,Polychaeta,1,0,0
Syllis heterochaeta,Annelida,Polychaeta,1,0,0
Cystisoma fabricii,Arthropoda,Malacostraca,1,0,0
Brania brevipharyngea,Annelida,Polychaeta,1,0,0
Araeolaimus boomerangifer,Nematoda,Chromadorea,1,0,0
Aporocotyle macfarlani,Platyhelminthes,Trematoda,1,0,0
Tigriopus californicus,Arthropoda,Copepoda,1,0,0
Heptacarpus brevirostris,Arthropoda,Malacostraca,1,0,0
Anoplodium hymanae,Platyhelminthes,0,1,0,0
Nephtys caeca,Annelida,Polychaeta,1,0,0
Chlamys rubida,Mollusca,Bivalvia,1,0,0
Limnodriloides victoriensis,Annelida,Clitellata,1,0,0
Stylantheca papillosa,Cnidaria,Hydrozoa,1,0,0
Terebellides stroemii,Annelida,Polychaeta,1,0,0
Syndesmis neglecta,Platyhelminthes,0,1,0,0
Henricia leviuscula,Echinodermata,Asteroidea,1,0,0
Arctonoe pulchra,Annelida,Polychaeta,1,1,1
Nootkadrilus compressus,Annelida,Clitellata,1,0,0
Pagurus aleuticus,Arthropoda,Malacostraca,1,0,0
Myxicola aesthetica,Annelida,Polychaeta,1,0,0
Dipolydora quadrilobata,Annelida,Polychaeta,1,0,0
Nootkadrilus gracilisetosus,Annelida,Clitellata,1,0,0
Notodelphys affinis,Arthropoda,Copepoda,1,0,0
Anisakis simplex,Nematoda,Chromadorea,1,0,0
Desmophyllum dianthus,Cnidaria,Anthozoa,1,0,0
Phyllodoce williamsi,Annelida,Polychaeta,1,0,0
Paramoera bucki,Arthropoda,Malacostraca,1,0,0
Oncaea rimula,Arthropoda,Copepoda,1,0,0
Primnoa pacifica,Cnidaria,Anthozoa,1,0,0
Echinostoma revolutum,Platyhelminthes,Trematoda,1,0,0
Pectinodrilus tempestatis,Annelida,Clitellata,1,0,0
Magelona longicornis,Annelida,Polychaeta,1,0,0
Nephtys ferruginea,Annelida,Polychaeta,1,0,0
Chrysopathes speciosa,Cnidaria,Anthozoa,1,0,0
Lumbrineris luti,Annelida,Polychaeta,1,0,0
Littorina scutulata,Mollusca,Gastropoda,1,1,1
Velella velella,Cnidaria,Hydrozoa,1,0,0
Strongylocentrotus droebachiensis,Echinodermata,Echinoidea,1,1,1
Hemigrapsus oregonensis,Arthropoda,Malacostraca,1,1,1
Doris montereyensis,Mollusca,Gastropoda,1,1,1
Cadlina luteomarginata,Mollusca,Gastropoda,1,1,1
Similiclava nivea,Cnidaria,Hydrozoa,1,0,0
Anthopleura artemisia,Cnidaria,Anthozoa,1,1,1
Tegula funebralis,Mollusca,Gastropoda,1,0,0
