"","name","rank","phylum","class","subclass","order","family","genus","species"
"1","Isopoda","order","Arthropoda","Malacostraca","Eumalacostraca","Isopoda",NA,NA,NA
"2","Fusitriton","genus","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Cymatiidae","Fusitriton",NA
"3","Amphissa","genus","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Columbellidae","Amphissa",NA
"4","Janiridae","family","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Janiridae",NA,NA
"5","Asteriidae","family","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae",NA,NA
"6","Columbellidae","family","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Columbellidae",NA,NA
"7","Munna","genus","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Munnidae","Munna",NA
"8","Haminoea","genus","Mollusca","Gastropoda","Heterobranchia","Cephalaspidea","Haminoeidae","Haminoea",NA
"9","Muricidae","family","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Muricidae",NA,NA
"10","Pleurogonium","genus","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Paramunnidae","Pleurogonium",NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Eusiridae","family","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Eusiridae",NA,NA
"13","Lycodes pacificus","species","Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes pacificus"
"14","Lumpenus sagitta","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta"
"15","Engraulis mordax","species","Chordata","Actinopteri","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"16","Phytichthys chirus","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Phytichthys","Phytichthys chirus"
"17","Artedius lateralis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius","Artedius lateralis"
"18","Orcinus orca","species","Chordata","Mammalia","Theria","Cetartiodactyla","Delphinidae","Orcinus","Orcinus orca"
"19","Leptasterias hexactis","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Leptasterias","Leptasterias hexactis"
"20","Ziphius cavirostris","species","Chordata","Mammalia","Theria","Cetartiodactyla","Ziphiidae","Ziphius","Ziphius cavirostris"
