species,value
Aaptosyax grypus,143610
Abalistes filamentosus,2012903
Abalistes stellaris,392897
Abalistes stellatus,303703
Abbottina binhi,2745886
Abbottina lalinensis,1964569
Abbottina liaoningensis,585232
Abbottina obtusirostris,1463498
Abbottina rivularis,75332
Ablabys binotatus,1003680
Ablabys gymnothorax,2748614
Ablabys macracanthus,1923884
Ablabys taenianotus,1604563
Ablennes hians,129035
Aboma etheostoma,203277
Aborichthys elongatus,643435
Abramis brama x Blicca bjoerkna,502747
Abramis brama,38527
Abramites hypselonotus,1396860
Abramites sp,_42618
Abudefduf abdominalis,229087
Abudefduf bengalensis,229088
Abudefduf caudobimaculatus,2066086
Abudefduf concolor,36214
Abudefduf conformis,1567454
Abudefduf declivifrons,36215
Abudefduf hoefleri,646011
Abudefduf lorenzi,229089
Abudefduf luridus,142648
Abudefduf margariteus,229090
Abudefduf natalensis,2830204
Abudefduf nigrimargo,2066132
Abudefduf notatus,229091
Abudefduf saxatilis,50731
Abudefduf septemfasciatus,229092
Abudefduf sexfasciatus,80948
Abudefduf sordidus,192870
Abudefduf sparoides,229093
Abudefduf taurus,36216
Abudefduf troschelii,36217
Abudefduf vaigiensis,192871
Abudefduf whitleyi,229094
Abyssocottus gibbosus,200669
Abyssocottus korotneffi,61637
Acanthaluteres brownii,392908
Acanthaluteres spilomelanurus,1357720
Acanthaluteres vittiger,548160
Acanthaphritis barbata,2057056
Acanthaphritis unoorum,270607
Acantharchus pomotis,201699
Acanthemblemaria aspera,57776
Acanthemblemaria betinensis,642416
Acanthemblemaria castroi,642417
Acanthemblemaria chaplini,642418
Acanthemblemaria crockeri,57777
Acanthemblemaria exilispinus,642419
Acanthemblemaria greenfieldi,642420
Acanthemblemaria hancocki,642421
Acanthemblemaria macrospilus,545070
Acanthemblemaria maria,1110371
Acanthemblemaria paula,862236
Acanthemblemaria rivasi,642422
Acanthemblemaria spinosa,642423
Acanthicus adonis,337732
Acanthicus hystrix,1633021
Acanthistius brasilianus,458545
Acanthistius cinctus,1672024
Acanthistius joanae,990551
Acanthistius ocellatus,327816
Acanthistius patachonicus,1053711
Acanthistius pictus,1379451
Acanthistius serratus,2609486
Acanthobrama lissneri,882964
Acanthobrama marmid,155076
Acanthobrama microlepis,155072
Acanthobrama orontis,1482965
Acanthobrama persidis,643423
Acanthobrama telavivensis,1482966
Acanthobunocephalus nicoi,2175998
Acanthocepola abbreviata,2042708
Acanthocepola indica,1508074
Acanthocepola krusensternii,270597
Acanthocepola limbata,979544
Acanthochaenus luetkenii,473344
Acanthochromis polyacanthus,80966
Acanthocleithron chapini,1677044
Acanthoclinus fuscus,2696578
Acanthocobitis botia,425510
Acanthocobitis pavonacea,425508
Acanthocobitis urophthalmus,1001932
Acanthocobitis zonalternans,425497
Acanthocybium solandri,13323
Acanthodoras cataphractus,238645
Acanthodoras spinosissimus,238643
Acanthodraco dewitti,202053
Acanthogobio guentheri,328534
Acanthogobius flavimanus,86203
Acanthogobius hasta,267130
Acanthogobius insularis,2768273
Acanthogobius lactipes,1231916
Acanthogobius luridus,1231917
Acanthogobius stigmothonus,2747431
Acantholabrus palloni,202583
Acantholatris monodactylus,76919
Acantholiparis opercularis,557403
Acantholumpenus mackayi,1049575
Acanthonus armatus,1843782
Acanthopagrus arabicus,2204292
Acanthopagrus australis,160963
Acanthopagrus berda,119680
Acanthopagrus bifasciatus,767411
Acanthopagrus butcheri,8179
Acanthopagrus catenula,1311410
Acanthopagrus chinshira,561091
Acanthopagrus datnia,2751510
Acanthopagrus latus,8177
Acanthopagrus pacificus,1129777
Acanthopagrus palmaris,1529694
Acanthopagrus schlegelii x Pagrus major,1678904
Acanthopagrus schlegelii,72011
Acanthopagrus sheim,2710630
Acanthopagrus sivicolus,561090
Acanthopagrus taiwanensis,509893
Acanthopagrus vagus,1003681
Acanthoplesiops psilogaster,1609618
Acanthopoma annectens,648127
Acanthopsetta nadeshnyi,352243
Acanthostracion polygonius,303729
Acanthostracion quadricornis,587042
Acanthurus achilles,753643
Acanthurus albimento,1962508
Acanthurus auranticavus,1316011
Acanthurus bahianus,157584
Acanthurus bariene,670521
Acanthurus blochii,238050
Acanthurus chirurgus,51758
Acanthurus coeruleus,157585
Acanthurus dussumieri,238051
Acanthurus gahhm,1484166
Acanthurus grammoptilus,2609487
Acanthurus guttatus,75013
Acanthurus japonicus,390296
Acanthurus leucocheilus,1316012
Acanthurus leucopareius,1828454
Acanthurus leucosternon,459747
Acanthurus lineatus x Acanthurus sohal,1702346
Acanthurus lineatus,483362
Acanthurus maculiceps,2080250
Acanthurus mata,175430
Acanthurus monroviae,927808
Acanthurus nigricans x Acanthurus achilles,1544325
Acanthurus nigricans x Acanthurus japonicus,1544326
Acanthurus nigricans x Acanthurus leucosternon,881633
Acanthurus nigricans,175431
Acanthurus nigricauda,753644
Acanthurus nigrofuscus,12913
Acanthurus nigroris,175432
Acanthurus nigros,2745939
Acanthurus nubilus,238052
Acanthurus olivaceus,238053
Acanthurus polyzona,1146949
Acanthurus pyroferus,175433
Acanthurus reversus,1567455
Acanthurus sohal,1484167
Acanthurus tennentii,586769
Acanthurus thompsoni,175434
Acanthurus tractus,1316013
Acanthurus triostegus,175435
Acanthurus tristis,1510433
Acanthurus xanthopterus,75014
Acantopsis choirorhynchos,357281
Acantopsis dialuzona,743463
Acantopsis dinema,2021657
Acantopsis ioa,2021658
Acantopsis rungthipae,2021659
Acantopsis spectabilis,1890215
Acantopsis thiemmedhi,2021660
Acapoeta tanganicae x Labeobarbus sp,_2033373
Acapoeta tanganicae,2033369
Acarichthys heckelii,81343
Acaronia nassa,74119
Acaronia vultuosa,762740
Acentrogobius audax,1297157
Acentrogobius caninus,376894
Acentrogobius chlorostigmatoides,1285428
Acentrogobius dayi,2527884
Acentrogobius janthinopterus,376739
Acentrogobius moloanus,2608407
Acentrogobius multifasciatus,2507731
Acentrogobius pflaumii,376893
Acentrogobius viganensis,508005
Acentrogobius virgatulus,1765757
Acentrogobius viridipunctatus,508006
Acentronichthys leptos,1281316
Acentronura breviperula,1914711
Acentronura tentaculata,1914712
Acentrophryne dolichonema,412651
Acestridium discus,571734
Acestridium gymnogaster,510799
Acestridium martini,510785
Acestridium scutatum,510800
Acestrocephalus sardina,930278
Acestrorhynchus abbreviatus,642540
Acestrorhynchus altus,639287
Acestrorhynchus britskii,639288
Acestrorhynchus falcatus,639289
Acestrorhynchus falcirostris,639290
Acestrorhynchus grandoculis,639291
Acestrorhynchus heterolepis,639292
Acestrorhynchus lacustris,639293
Acestrorhynchus microlepis,639294
Acestrorhynchus minimus,639295
Acestrorhynchus nasutus,303969
Acestrorhynchus pantaneiro,639296
Acestrorhynchus sp,_42577
Acheilognathus argenteus,481692
Acheilognathus asmussii,1367278
Acheilognathus barbatulus,80779
Acheilognathus barbatus,881187
Acheilognathus chankaensis,75334
Acheilognathus cyanostigma,80780
Acheilognathus deignani,1367282
Acheilognathus gracilis,881188
Acheilognathus hypselonotus,994856
Acheilognathus imberbis,154350
Acheilognathus intermedia,430564
Acheilognathus lanchiensis,481693
Acheilognathus longibarbatus,327689
Acheilognathus longipinnis,80782
Acheilognathus macropterus,80791
Acheilognathus majusculus,481687
Acheilognathus melanogaster,80783
Acheilognathus meridianus,481688
Acheilognathus omeiensis,881190
Acheilognathus peihoensis,481694
Acheilognathus polylepis,881191
Acheilognathus rhombeus,80784
Acheilognathus signifer,80807
Acheilognathus somjinensis,481701
Acheilognathus tabira,78079
Acheilognathus tonkinensis,80788
Acheilognathus typus,80789
Acheilognathus yamatsutae,80790
Achiroides leucorhynchos,366938
Achiropsetta tricholepis,1091414
Achirus achirus,1662737
Achirus declivis,329467
Achirus lineatus,253938
Achoerodus viridis,241261
Achondrostoma arcasii,236539
Achondrostoma occidentale,335926
Achondrostoma oligolepis,236538
Achondrostoma salmantinum,1482967
Acinocheirodon melanogramma,930280
Acipenser baerii x Acipenser schrenckii,1358430
Acipenser baerii x Huso dauricus,1358431
Acipenser baerii,27689
Acipenser brevirostrum,7907
Acipenser dabryanus x Acipenser schrenckii,2054245
Acipenser dabryanus,62061
Acipenser fulvescens,41871
Acipenser gueldenstaedtii x Acipenser baerii,1358432
Acipenser gueldenstaedtii x Huso dauricus,1358433
Acipenser gueldenstaedtii,7902
Acipenser medirostris,7908
Acipenser mikadoi,61966
Acipenser naccarii,42330
Acipenser nudiventris,61967
Acipenser oxyrinchus,36177
Acipenser persicus,61968
Acipenser ruthenus x Acipenser baerii,2563604
Acipenser ruthenus x Huso dauricus,1358434
Acipenser ruthenus,7906
Acipenser schrenckii x Acipenser baerii,1150732
Acipenser schrenckii x Huso dauricus,228914
Acipenser schrenckii,111304
Acipenser sinensis x Acipenser schrenckii,1358435
Acipenser sinensis,61970
Acipenser stellatus,7903
Acipenser sturio,61674
Acipenser transmontanus,7904
Acnodon normani,42541
