identification,sample_id,bin,phylum,class,order,family,genus,species,state_province,region,sector,exact_site,lat,lon
Polygordius,BHAK-3098,BOLD:ADU0647,Annelida,Polychaeta,Canalipalpata,Polygordiidae,Polygordius,NA,British Columbia,Central Coast,Choked Pass,Flat Islands,51.676,-128.124
Polygordius,BHAK-3097,NA,Annelida,Polychaeta,Canalipalpata,Polygordiidae,Polygordius,NA,British Columbia,Central Coast,Choked Pass,Flat Islands,51.676,-128.124
Saccocirrus,BHAK-3094,BOLD:AAI0983,Annelida,Polychaeta,Canalipalpata,Saccocirridae,Saccocirrus,NA,British Columbia,Central Coast,Choked Pass,Flat Islands,51.676,-128.124
Saccocirrus,BHAK2710,BOLD:AAI0983,Annelida,Polychaeta,Canalipalpata,Saccocirridae,Saccocirrus,NA,British Columbia,Central Coast,Choked Pass,NA,51.6783,-128.127
Dorvillea,BHAK3391,BOLD:AAC4589,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,North Beach,51.6648,-128.135
Dorvillea,BHAK3392,BOLD:AAC4589,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,North Beach,51.6648,-128.135
Dorvillea,BHAK33,BOLD:AAH7715,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,North Beach,51.6647,-128.135
Dorvillea,BHAK-06831,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,Surge Cove,51.657,-128.148
Dorvillea,BHAK-07719,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,Pruth Bay E1,51.679,-128.115
Dorvillea,BHAK-06832,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,Surge Cove,51.657,-128.148
Dorvillea,BHAK-07720,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,Pruth Bay E1,51.679,-128.115
Dorvillea,BHAK-06826,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,Surge Cove,51.657,-128.148
Dorvillea,BHAK-06818,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Dorvillea,BHAK-06817,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Dorvillea,BHAK-06816,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Dorvillea,BHAK-06815,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,NA,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Lumbrineris californiensis,BHAK2578,BOLD:AAX5906,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris californiensis,British Columbia,Central Coast,Choked Pass,Starfish Island,51.6804,-128.127
Lumbrineris californiensis,BHAK1543,BOLD:AAX5906,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris californiensis,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.6546,-128.129
Lumbrineris californiensis,BHAK2580,BOLD:AAX5906,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris californiensis,British Columbia,Central Coast,Choked Pass,Starfish Island,51.6804,-128.127
Lumbrineris inflata,BHAK-2922,BOLD:AAO4122,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris inflata,British Columbia,Central Coast,NA,NA,NA,NA
Lumbrineris inflata,BHAK-3061,BOLD:ADO8509,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris inflata,British Columbia,Central Coast,Rattenbury Island NE,NA,51.701,-128.074
Lumbrineris japonica,BHAK-2730,BOLD:AAJ2131,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris japonica,British Columbia,Central Coast,Calvert Island,Crazy Town,51.6671,-128.134
Lumbrineris,BHAK241,BOLD:AAJ2131,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,NA,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Scoletoma zonata,BHAK9,BOLD:AAO4127,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma zonata,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144
Scoletoma zonata,BHAK10,BOLD:AAO4127,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma zonata,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144
Scoletoma zonata,BHAK6,BOLD:ADM8238,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma zonata,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144
Scoletoma zonata,BHAK7,BOLD:ADM8238,Annelida,Polychaeta,Eunicida,Lumbrineridae,Scoletoma,Scoletoma zonata,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144
Lumbrineridae,BHAK-0278,BOLD:AAJ2131,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA,NA,British Columbia,Central Coast,Calvert Island,West Beach,51.652,-128.143
Arabella,BHAK947,BOLD:ADM9198,Annelida,Polychaeta,Eunicida,Oenonidae,Arabella,NA,British Columbia,Central Coast,Calvert Island,Seventh Beach,51.6408,-128.155
Armandia brevis,BHAK38,BOLD:AAY5175,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia,Armandia brevis,British Columbia,Central Coast,Calvert Island,North Beach,51.6647,-128.135
Armandia brevis,BHAK2883,BOLD:AAY5175,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia,Armandia brevis,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.655,-127.96
Armandia brevis,BHAK-0245,BOLD:AAY5175,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia,Armandia brevis,British Columbia,Central Coast,Hecate Island,Martin Beach,51.666,-128.079
Armandia brevis,BHAK-0246,BOLD:AAY5175,Annelida,Polychaeta,Opheliida,Opheliidae,Armandia,Armandia brevis,British Columbia,Central Coast,Hecate Island,Martin Beach,51.666,-128.079
Thoracophelia mucronata,BHAK271,BOLD:ACT3072,Annelida,Polychaeta,Opheliida,Opheliidae,Thoracophelia,Thoracophelia mucronata,British Columbia,Central Coast,Calvert Island,West Beach,51.6577,-128.145
Paleanotus bellis,BHAK-0902,BOLD:AAN6738,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,Paleanotus bellis,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Paleanotus bellis,BHAK248,BOLD:AAN6738,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,Paleanotus bellis,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Paleanotus bellis,BHAK249,BOLD:AAN6738,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,Paleanotus bellis,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079
Paleanotus,BHAK-05835,BOLD:AAN6738,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Paleanotus,NA,British Columbia,Central Coast,Calvert Island,North Beach,51.667,-128.14
Glycera americana,BHAK440,BOLD:AAY0661,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera americana,British Columbia,Central Coast,Calvert Island,HCGR Beach,51.6426,-128.078
Glycera americana,BHAK433,BOLD:AAY0668,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera americana,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.644,-128.119
Glycera nana,BHAK453,BOLD:AAY0661,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,Glycera nana,British Columbia,Central Coast,Calvert Island,West Beach,51.6519,-128.143
Glycera,BHAK-0277,BOLD:AAI7326,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,NA,British Columbia,Central Coast,Calvert Island,West Beach,51.6519,-128.143
Hemipodia,BHAK-05934,NA,Annelida,Polychaeta,Phyllodocida,Glyceridae,Hemipodia,NA,British Columbia,Central Coast,Calvert Island,"Choked Pass, Transect I4",51.675,-128.118
Glycinde picta,BHAK260,BOLD:AAN8624,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,Glycinde picta,British Columbia,Central Coast,Calvert Island,Piles Beach,51.6431,-128.086
Glycinde,BHAK-07715,BOLD:AAN8624,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,NA,British Columbia,Central Coast,Calvert Island,Hakai Boat Ramp,51.654,-128.13
Micropodarke dubia,BHAK1373,BOLD:AAE0300,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,British Columbia,Central Coast,Hakai Pass,Meay Channel,51.7436,-128.071
Micropodarke dubia,BHAK-2565,BOLD:AAE0300,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,British Columbia,Central Coast,Calvert Island,West Beach,51.6495,-128.155
Micropodarke dubia,BHAK-2882,BOLD:AAE0300,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.6552,-127.96
Micropodarke dubia,BHAK-2909,BOLD:AAE0300,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,British Columbia,Central Coast,Hakai Pass,Port Reef,51.6967,-128.105
Oxydromus pugettensis,BHAK-05856,BOLD:AAB5868,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.645,-128.119
Oxydromus pugettensis,BHAK-05854,BOLD:AAB5868,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.645,-128.119
Oxydromus pugettensis,BHAK-06820,BOLD:AAB5868,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Oxydromus pugettensis,BHAK-06814,BOLD:AAB5868,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Oxydromus pugettensis,BHAK-06813,BOLD:AAB5868,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Oxydromus pugettensis,BHAK-06812,BOLD:AAB5868,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,Oxydromus pugettensis,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872
Hesionidae,QHAK-00179,BOLD:AAE0300,Annelida,Polychaeta,Phyllodocida,Hesionidae,NA,NA,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223
Alitta brandti,BHAK-0231,BOLD:AAJ2786,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta brandti,British Columbia,Central Coast,Calvert Island,Piles Beach,51.6431,-128.086
Cheilonereis cyclurus,BHAK2116,BOLD:AAW3611,Annelida,Polychaeta,Phyllodocida,Nereididae,Cheilonereis,Cheilonereis cyclurus,British Columbia,Central Coast,Calvert Island,Pruth Dock,51.6546,-128.129
Micronereis,BHAK-06984,BOLD:AAH0516,Annelida,Polychaeta,Phyllodocida,Nereididae,Micronereis,NA,British Columbia,Central Coast,Rattenbury Island,Rattenbury pinnacle,51.69,-128.089
