Sample ID,Field ID,Museum ID,Institution Storing,Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,tufA Seq. Length,PSBA Seq. Length,COI-5P Seq. Length,COI-5P Trace Count,ITS Seq. Length,28S Seq. Length,rbcL Seq. Length,18S Seq. Length,Image Count,Barcode Compliant,Collection Date,Identification,Institution,Notes,Phylum,Class,Order,Family,Subfamily,Genus,Species,Identifier,Identifier Email,Identification Method,Taxonomy Notes,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,Sampling Protocol,Collection Notes,Site Code,Collection Event ID
BHAK-3098,BHAK-3098,,Hakai Institute,BHAK,BHAK1629-19,BHAK-3098,BHAK-3098,BOLD:ADU0647,,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,04-Aug-2017,Polygordius,Hakai Institute,,Annelida,Polychaeta,Canalipalpata,Polygordiidae,,Polygordius,,Leslie Harris,lharris@nhm.org,morphology,,Hakai Institute,04-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,Flat Islands,51.676,-128.124,,2,,,iPad (collector),,,,shell hash beach,sediment sample,,IHAK45,
BHAK-3097,BHAK-3097,,Hakai Institute,BHAK,BHAK1638-19,BHAK-3097,BHAK-3097,,,0[n],0[n],657[0n],2,0[n],0[n],0[n],0[n],1,Yes,04-Aug-2017,Polygordius,Hakai Institute,,Annelida,Polychaeta,Canalipalpata,Polygordiidae,,Polygordius,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Hakai Institute,04-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,Flat Islands,51.676,-128.124,,2,,,iPad (collector),,,,shell hash beach,sediment sample,,IHAK45,
BHAK-3094,BHAK-3094,,Hakai Institute,BHAK,BHAK1631-19,BHAK-3094,BHAK-3094,BOLD:AAI0983,,0[n],0[n],635[0n],2,0[n],0[n],0[n],0[n],1,Yes,04-Aug-2017,Saccocirrus,Hakai Institute,,Annelida,Polychaeta,Canalipalpata,Saccocirridae,,Saccocirrus,,Vasily Radashevsky,,morphology,Polychaeta incertae sedis??(Subclass),Hakai Institute,04-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,Flat Islands,51.676,-128.124,,2,,,iPad (collector),,,,shell hash beach,sediment sample,,IHAK45,
BHAK2710,BHAK2710,BHAK2710,Hakai Institute,BHAK,BHAK1281-18,BHAK2710,BHAK2710,BOLD:AAI0983,BHAK2710,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,04-Aug-2017,Saccocirrus,Hakai Institute,,Annelida,Polychaeta,Canalipalpata,Saccocirridae,,Saccocirrus,,Leslie Harris,lharris@nhm.org,morphology,,Hakai Institute,04-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,,51.6783,-128.127,,8,,,IPAD (collector),,,,seagrass bed,"Hand collecting, SCUBA",sediment collection,IHAK47A,
BHAK3391,BHAK3391,BHAK3391,Natural History Museum of Los Angeles County,BHAK,BHAK1282-18,BHAK3391,BHAK3391,BOLD:AAC4589,BHAK3391,0[n],0[n],536[0n],2,0[n],0[n],0[n],0[n],2,No,08-Aug-2017,Dorvillea,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6648,-128.135,,,,,GPS,,,,Boulder field,Hand collected,"East boulders, exposed rocky intertidal",IHAK65,
BHAK3392,BHAK3392,BHAK3392,Natural History Museum of Los Angeles County,BHAK,BHAK932-18,BHAK3392,BHAK3392,BOLD:AAC4589,BHAK3392,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,08-Aug-2017,Dorvillea,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6648,-128.135,,,,,GPS,,,,Boulder field,Hand collecting,"East boulders, exposed rocky intertidal",IHAK65,
BHAK33,BHAK33,BHAK33,Natural History Museum of Los Angeles County,BHAK,BHAK995-18,BHAK33,BHAK33,BOLD:AAH7715,BHAK33,0[n],0[n],621[1n],2,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Dorvillea,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,22-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6647,-128.135,,,,,,,morning,,boulder field,hand collected,low intertidal,IHAK02,
BHAK-06831,BHAK-6831,Annelida_008562,Florida Museum of Natural History,BHAK,BHAK2849-20,BHAK-06831,BHAK-6831,,Annelida_008562,0[n],0[n],612[0n],2,0[n],0[n],0[n],0[n],1,No,27-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,27-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,Surge Cove,51.657,-128.148,,1,,1,,,,,intertidal rock and seagrass,Hand collected,,,EHAK56
BHAK-07719,BHAK-7719,Annelida_008677,Florida Museum of Natural History,BHAK,BHAK2882-20,BHAK-07719,BHAK-7719,,Annelida_008677,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,28-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Sheila Byers,,Morphology,,Hakai Institute,28-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay E1,51.679,-128.115,,3,,,,,,,Seagrass Bed,"Vacuum, SCUBA",,,EHAK72
BHAK-06832,BHAK-6832,Annelida_008563,Florida Museum of Natural History,BHAK,BHAK2850-20,BHAK-06832,BHAK-6832,,Annelida_008563,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,27-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,27-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,Surge Cove,51.657,-128.148,,1,,1,,,,,intertidal rock and seagrass,Hand collected,,,EHAK56
BHAK-07720,BHAK-7720,Annelida_008678,Florida Museum of Natural History,BHAK,BHAK2883-20,BHAK-07720,BHAK-7720,,Annelida_008678,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,28-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Sheila Byers,,Morphology,,Hakai Institute,28-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay E1,51.679,-128.115,,3,,,,,,,Seagrass Bed,"Vacuum, SCUBA",,,EHAK72
BHAK-06826,BHAK-6826,Annelida_008558,Florida Museum of Natural History,BHAK,BHAK2839-20,BHAK-06826,BHAK-6826,,Annelida_008558,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,27-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,27-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,Surge Cove,51.657,-128.148,,1,,1,,,,,intertidal rock and seagrass,Hand collected,,,EHAK56
BHAK-06818,BHAK-6818,Annelida_008550,Florida Museum of Natural History,BHAK,BHAK2925-20,BHAK-06818,BHAK-6818,,Annelida_008550,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,24-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,24-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872,,,,,,,,,Seagrass Bed,"Hand collecting, SCUBA",,,EHAK-39c
BHAK-06817,BHAK-6817,Annelida_008549,Florida Museum of Natural History,BHAK,BHAK2924-20,BHAK-06817,BHAK-6817,,Annelida_008549,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,24-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,24-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872,,,,,,,,,Seagrass Bed,"Hand collecting, SCUBA",,,EHAK-39c
BHAK-06816,BHAK-6816,Annelida_008548,Florida Museum of Natural History,BHAK,BHAK2923-20,BHAK-06816,BHAK-6816,,Annelida_008548,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,24-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,24-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872,,,,,,,,,Seagrass Bed,"Hand collecting, SCUBA",,,EHAK-39c
BHAK-06815,BHAK-6815,Annelida_008547,Florida Museum of Natural History,BHAK,BHAK2922-20,BHAK-06815,BHAK-6815,,Annelida_008547,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,24-Jun-2018,Dorvillea,Florida Museum of Natural History,,Annelida,Polychaeta,Eunicida,Dorvilleidae,,Dorvillea,,Tara Macdonald,,Morphology,Sheila Byers,Hakai Institute,24-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,"Pruth Bay, Transect I6",51.779,-127.872,,,,,,,,,Seagrass Bed,"Hand collecting, SCUBA",,,EHAK-39c
BHAK2578,BHAK2578,BHAK2578,Natural History Museum of Los Angeles County,BHAK,BHAK1272-18,BHAK2578,BHAK2578,BOLD:AAX5906,BHAK2578,0[n],0[n],583[0n],2,0[n],0[n],0[n],0[n],2,No,03-Aug-2017,Lumbrineris californiensis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,Lumbrineris californiensis,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,03-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,Starfish Island,51.6804,-128.127,,9,,,IPAD (collector),,,,rocky outcrop,hand collected by SCUBA,"in sediment sample, biotic habitat=benthic macroalgae",IHAK42A,
BHAK1543,BHAK1543,BHAK1543,Natural History Museum of Los Angeles County,BHAK,BHAK1112-18,BHAK1543,BHAK1543,BOLD:AAX5906,BHAK1543,0[n],0[n],629[0n],4,0[n],0[n],0[n],0[n],2,Yes,29-Jul-2017,Lumbrineris californiensis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,Lumbrineris californiensis,Tara Macdonald,,morphology,,Vasily Radashevsky,29-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.6546,-128.129,,6,,,iPad (Collector),,,,sheltered bay,hand collected by SCUBA,"Sediment from under dock, mud",IHAK19,
BHAK2580,BHAK2580,BHAK2580,Natural History Museum of Los Angeles County,BHAK,BHAK1252-18,BHAK2580,BHAK2580,BOLD:AAX5906,BHAK2580,0[n],0[n],633[0n],2,0[n],0[n],0[n],0[n],2,No,03-Aug-2017,Lumbrineris californiensis,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,Lumbrineris californiensis,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,03-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,Starfish Island,51.6804,-128.127,,9,,,IPAD (collector),,,,rocky outcrop,hand collected by SCUBA,"in sediment sample, biotic habitat=benthic macroalgae",IHAK42A,
BHAK-2922,BHAK-2922,,Natural History Museum of Los Angeles County,BHAK,BHAK1361-18,BHAK-2922,BHAK-2922,BOLD:AAO4122,,0[n],0[n],595[0n],2,0[n],0[n],0[n],0[n],2,Yes,,Lumbrineris inflata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,Lumbrineris inflata,Leslie Harris,lharris@nhm.org,morphology,,Hakai Institute,,Canada,British Columbia,Central Coast,,,,,,,,,,,,,,,,XHAK52,
BHAK-3061,BHAK-3061,,Natural History Museum of Los Angeles County,BHAK,BHAK1435-18,BHAK-3061,BHAK-3061,BOLD:ADO8509,,0[n],0[n],610[0n],2,0[n],0[n],0[n],0[n],1,Yes,02-Aug-2017,Lumbrineris inflata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,Lumbrineris inflata,Leslie Harris,lharris@nhm.org,morphology,,Hakai Institute,02-Aug-2017,Canada,British Columbia,Central Coast,Rattenbury Island NE,,51.701,-128.074,,12,,,iPad (collector),,,,urchin barren,Hand collected by SCUBA,,IHAK39,
BHAK-2730,BHAK-2730,,Natural History Museum of Los Angeles County,BHAK,BHAK1364-18,BHAK-2730,BHAK-2730,BOLD:AAJ2131,,0[n],0[n],602[0n],2,0[n],0[n],0[n],0[n],2,Yes,23-Jul-2017,Lumbrineris japonica,Natural History Museum of Los Angeles County,"golden, black acicula, composite hooks",Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,Lumbrineris japonica,Leslie Harris,lharris@nhm.org,morphology,,"Gustav Paulay, Emmett Duffy",23-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Crazy Town,51.6671,-128.134,,,,,,,morning,,rocky scarp/wall,Hand collected,low intertidal crevice,IHAK05a,
BHAK241,BHAK241,BHAK241,Natural History Museum of Los Angeles County,BHAK,BHAK1003-18,BHAK241,BHAK241,BOLD:AAJ2131,BHAK241,0[n],0[n],643[0n],2,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Lumbrineris,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Lumbrineris,,Leslie Harris,lharris@nhm.org,morphology,,Vasily Radashevsky,22-Jul-2017,Canada,British Columbia,Central Coast,Hecate island,Meay Channel,51.6655,-128.079,,,,,,,,,sheltered bay,Hand collecting,soft sediment,IHAK04,
BHAK9,BHAK9,BHAK9,Natural History Museum of Los Angeles County,BHAK,BHAK1139-18,BHAK9,BHAK9,BOLD:AAO4127,BHAK9,0[n],0[n],620[0n],4,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Scoletoma zonata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Scoletoma,Scoletoma zonata,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,22-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144,,,,,,,,,boulder field,Hand collecting,"boulder on sand, low intertidal",IHAK01,
BHAK10,BHAK10,BHAK10,Natural History Museum of Los Angeles County,BHAK,BHAK1129-18,BHAK10,BHAK10,BOLD:AAO4127,BHAK10,0[n],0[n],631[0n],4,0[n],0[n],0[n],0[n],2,Yes,22-Jul-2017,Scoletoma zonata,Natural History Museum of Los Angeles County,,Annelida,Polychaeta,Eunicida,Lumbrineridae,,Scoletoma,Scoletoma zonata,Leslie Harris,lharris@nhm.org,morphology,,Gustav Paulay,22-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6634,-128.144,,,,,,,,,boulder field,Hand collecting,"boulder on sand, low intertidal",IHAK01,
