"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Rhinogobiopscholsii","Rhinogobiops nicholsii",NA,NA,NA,NA,494025,NA,"Rhinogobiops nicholsii",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"2","Oncorhynchusrka","Oncorhynchus nerka",NA,NA,NA,NA,165375,NA,"Oncorhynchus nerka",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","Myctophumtidulum","Myctophum nitidulum",NA,NA,NA,NA,159745,NA,"Myctophum nitidulum",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4","Triphoturusgrescens","Triphoturus nigrescens",NA,NA,NA,NA,341493,NA,"Triphoturus nigrescens",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","Coryphaenoidessutus","Coryphaenoides nasutus",NA,NA,NA,NA,547991,NA,"Coryphaenoides nasutus",NA,NA,"Chordata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"6","Tachysurus tokiensis","Tachysurus tokiensis",NA,NA,NA,NA,804531,NA,"Tachysurus tokiensis",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"7","Doliolumtionalis","Doliolum nationalis",NA,NA,NA,NA,326075,NA,"Doliolum nationalis",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"8","Lampetra tridentata","Lampetra tridentata",NA,NA,NA,NA,243579,NA,"Lampetra tridentata",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","Centrolophusger","Centrolophus niger",NA,NA,NA,NA,118674,NA,"Centrolophus niger",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"10","Hypenteliumgricans","Hypentelium nigricans",NA,NA,NA,NA,584073,NA,"Hypentelium nigricans",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"11","Misgurnuskolskyi","Misgurnus nikolskyi",NA,NA,NA,NA,155534,NA,"Misgurnus nikolskyi",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"12","Echeneisucrates","Echeneis naucrates",NA,NA,NA,NA,776562,NA,"Echeneis naucrates",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"13","Hexanchuskamurai","Hexanchus nakamurai",NA,NA,NA,NA,147241,NA,"Hexanchus nakamurai",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"14","Emmelichthystidus","Emmelichthys nitidus",NA,NA,NA,NA,618726,NA,"Emmelichthys nitidus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"15","Rhabdosargusger","Rhabdosargus",NA,NA,NA,NA,321037,NA,"Rhabdosargus",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"16","Hexagrammos octogrammus xexagrammos agrammus","Hexagrammos octogrammus x Hexagrammos agrammus",NA,NA,NA,NA,4949194,NA,"Hexagrammos octogrammus x Hexagrammos agrammus",NA,NA,"Chordata",NA,NA,FALSE,"hybrid",NA,NA,NA,NA,NA,NA,NA,NA
"17","Hasemaniana","Hasemania",NA,NA,NA,NA,53084,NA,"Hasemania",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"18","Apogonichthyoidesger","Apogonichthyoides",NA,NA,NA,NA,303299,NA,"Apogonichthyoides",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"19","Brephamia parvula","Brephamia parvula",NA,NA,NA,NA,3634885,NA,"Brephamia parvula",NA,NA,"Chordata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
