"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"1","Pholoe","Pholoe",NA,NA,NA,NA,398717,NA,"Pholoe",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Pholoidae",NA,NA,NA
"2","Pholoides asperus","Pholoides asperus",NA,NA,NA,NA,961522,NA,"Pholoides asperus",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Pholoidae",NA,NA,NA
"3","Eteone fauchaldi","Hypereteone fauchaldi",NA,NA,NA,NA,4983723,NA,"Hypereteone fauchaldi",NA,NA,"Annelida","Polychaeta",NA,NA,TRUE,"",NA,NA,NA,"Phyllodocidae",NA,NA,NA
"4","Aricidea antennata","Aricidea antennata",NA,NA,NA,NA,4978085,NA,"Aricidea antennata",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Paraonidae",NA,NA,NA
"5","Owenia is","Owenavis",NA,NA,NA,NA,3602369,NA,"Owenavis",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"hidden",NA,NA,NA,"Oweniidae",NA,NA,NA
"6","Paradexiospira violaceus","Paradexiospira violacea",NA,NA,NA,NA,4985914,NA,"Paradexiospira violacea",NA,NA,"Annelida","Polychaeta",NA,NA,TRUE,"",NA,NA,NA,"Serpulidae",NA,NA,NA
"7","Paradexiospira vitrea","Paradexiospira vitrea",NA,NA,NA,NA,617643,NA,"Paradexiospira vitrea",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Serpulidae",NA,NA,NA
"8","Dipolydora magna","Polydora magna",NA,NA,NA,NA,4976456,NA,"Polydora magna",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Spionidae",NA,NA,NA
"9","Minuspio","Prionospio",NA,NA,NA,NA,275106,NA,"Prionospio",NA,NA,"Annelida","Polychaeta",NA,NA,TRUE,"",NA,NA,NA,"Spionidae",NA,NA,NA
"10","Prionospio multibranchiatus","Prionospio multibranchiata",NA,NA,NA,NA,4976054,NA,"Prionospio multibranchiata",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Spionidae",NA,NA,NA
"11","Dodecaceria fewkesi","Dodecaceria fewkesi",NA,NA,NA,NA,4976959,NA,"Dodecaceria fewkesi",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Cirratulidae",NA,NA,NA
"12","Sipuncula","Sipuncula",NA,NA,NA,NA,377817,NA,"Sipuncula",NA,NA,"Sipuncula",NA,NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA
"13","Metaphire sieboldi","Metaphire sieboldi",NA,NA,NA,NA,833400,NA,"Metaphire sieboldi",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"14","Metaphire tosaensis","Metaphire tosaensis",NA,NA,NA,NA,833402,NA,"Metaphire tosaensis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"15","Metaphire hilgendorfi","Metaphire hilgendorfi",NA,NA,NA,NA,833406,NA,"Metaphire hilgendorfi",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"16","Amynthas robustus","Amynthas robustus",NA,NA,NA,NA,264553,NA,"Amynthas robustus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Megascolecidae",NA,NA,NA
"17","Duplodicodrilus schmardae","Duplodicodrilus schmardae",NA,NA,NA,NA,839170,NA,"Duplodicodrilus schmardae",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"18","Lumbricidae","Lumbricidae",NA,NA,NA,NA,316446,NA,"Lumbricidae",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Lumbricidae",NA,NA,NA
"19","Microscolex phosphoreus","Microscolex phosphoreus",NA,NA,NA,NA,657256,NA,"Microscolex phosphoreus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"20","Orobdella octonaria","Orobdella octonaria",NA,NA,NA,NA,631090,NA,"Orobdella octonaria",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Orobdellidae",NA,NA,NA
"21","Ikeda","Ikeda",NA,NA,NA,NA,2848107,NA,"Ikeda",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"unplaced_inherited",NA,NA,NA,"Echiuridae",NA,NA,NA
"22","Ikedosoma elegans","Ikedosoma elegans",NA,NA,NA,NA,2848109,NA,"Ikedosoma elegans",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Echiuridae",NA,NA,NA
"23","Listriolobus sorbillans","Listriolobus sorbillans",NA,NA,NA,NA,2848066,NA,"Listriolobus sorbillans",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"",NA,NA,NA,"Echiuridae",NA,NA,NA
"24","Allolobophora chlorotica","Allolobophora chlorotica",NA,NA,NA,NA,761874,NA,"Allolobophora chlorotica",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"25","Aporrectodea caliginosa","Aporrectodea caliginosa",NA,NA,NA,NA,128734,NA,"Aporrectodea caliginosa",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"26","Aporrectodea rosea","Aporrectodea rosea",NA,NA,NA,NA,1039463,NA,"Aporrectodea rosea",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"27","Satchellius mammalis","Satchellius mammalis",NA,NA,NA,NA,121709,NA,"Satchellius mammalis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"28","Pontodrilus bermudensis","Pontodrilus bermudensis",NA,NA,NA,NA,180473,NA,"Pontodrilus bermudensis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Megascolecidae",NA,NA,NA
"29","Glossiphonia elegans","Glossiphonia elegans",NA,NA,NA,NA,41061,NA,"Glossiphonia elegans",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"30","Hemiclepsis marginata","Hemiclepsis marginata",NA,NA,NA,NA,774568,NA,"Hemiclepsis marginata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"31","Theromyzon rude","Theromyzon rude",NA,NA,NA,NA,251552,NA,"Theromyzon rude",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"32","Chtonobdella bilineata","Chtonobdella bilineata",NA,NA,NA,NA,927383,NA,"Chtonobdella bilineata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Haemadipsidae",NA,NA,NA
"33","Haemopis marmorata","Haemopis marmorata",NA,NA,NA,NA,674,NA,"Haemopis marmorata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Haemopidae",NA,NA,NA
"34","Cambarincola gracilis","Cambarincola gracilis",NA,NA,NA,NA,249347,NA,"Cambarincola gracilis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA
"35","Cambarincola montanus","Cambarincola montanus",NA,NA,NA,NA,249349,NA,"Cambarincola montanus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA
"36","Oedipodrilus macbaini","Oedipodrilus macbaini",NA,NA,NA,NA,198232,NA,"Oedipodrilus macbaini",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Branchiobdellidae",NA,NA,NA
"37","Triannulata magna","Triannulata magna",NA,NA,NA,NA,823796,NA,"Triannulata magna",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Branchiobdellidae",NA,NA,NA
"38","Xironidrilus formosus","Xironidrilus formosus",NA,NA,NA,NA,823798,NA,"Xironidrilus formosus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Branchiobdellidae",NA,NA,NA
"39","Helobdella paranensis","Helobdella paranensis",NA,NA,NA,NA,1060336,NA,"Helobdella paranensis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"40","Helobdella modesta","Helobdella modesta",NA,NA,NA,NA,1043001,NA,"Helobdella modesta",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"41","Helobdella nununununojensis","Helobdella nununununojensis",NA,NA,NA,NA,51290,NA,"Helobdella nununununojensis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"42","Helobdella europaea","Helobdella europaea",NA,NA,NA,NA,295295,NA,"Helobdella europaea",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"43","Arcteonais lomondi","Arcteonais lomondi",NA,NA,NA,NA,521122,NA,"Arcteonais lomondi",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"44","Chaetogaster diaphanus","Chaetogaster diaphanus",NA,NA,NA,NA,102534,NA,"Chaetogaster diaphanus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"45","Chaetogaster diastrophus","Chaetogaster diastrophus",NA,NA,NA,NA,735915,NA,"Chaetogaster diastrophus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"46","Dero digitata","Dero digitata",NA,NA,NA,NA,870821,NA,"Dero digitata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Naididae",NA,NA,NA
"47","Dero furcata","Dero furcata",NA,NA,NA,NA,676633,NA,"Dero furcata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Naididae",NA,NA,NA
"48","Dero","Dero",NA,NA,NA,NA,870819,NA,"Dero",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"49","Nais variabilis","Nais variabilis",NA,NA,NA,NA,549846,NA,"Nais variabilis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"50","Pristina aequiseta","Pristina aequiseta",NA,NA,NA,NA,549856,NA,"Pristina aequiseta",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"51","Pristina leidyi","Pristina leidyi",NA,NA,NA,NA,231967,NA,"Pristina leidyi",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"52","Pristina longiseta","Pristina longiseta",NA,NA,NA,NA,544393,NA,"Pristina longiseta",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"53","Pristina osborni","Pristina osborni",NA,NA,NA,NA,975576,NA,"Pristina osborni",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"54","Ripistes parasita","Ripistes parasita",NA,NA,NA,NA,975578,NA,"Ripistes parasita",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"55","Slavina appendiculata","Slavina appendiculata",NA,NA,NA,NA,544391,NA,"Slavina appendiculata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"56","Stylaria lacustris","Stylaria lacustris",NA,NA,NA,NA,318904,NA,"Stylaria lacustris",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"57","Branchiura sowerbyi","Branchiura sowerbyi",NA,NA,NA,NA,536508,NA,"Branchiura sowerbyi",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Naididae",NA,NA,NA
"58","Erpobdella obscura","Erpobdella obscura",NA,NA,NA,NA,340135,NA,"Erpobdella obscura",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Erpobdellidae",NA,NA,NA
"59","Erpobdella octoculata","Erpobdella octoculata",NA,NA,NA,NA,931415,NA,"Erpobdella octoculata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Erpobdellidae",NA,NA,NA
"60","Haemopis","Haemopis",NA,NA,NA,NA,675,NA,"Haemopis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Haemopidae",NA,NA,NA
"61","Haemopis grandis","Haemopis grandis",NA,NA,NA,NA,89385,NA,"Haemopis grandis",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Haemopidae",NA,NA,NA
"62","Placobdella ornata","Placobdella ornata",NA,NA,NA,NA,870767,NA,"Placobdella ornata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
"63","Eiseniella tetraedra","Eiseniella tetraedra",NA,NA,NA,NA,2845389,NA,"Eiseniella tetraedra",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"64","Lumbricus terrestris","Lumbricus terrestris",NA,NA,NA,NA,316441,NA,"Lumbricus terrestris",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"65","Aporrectodea","Aporrectodea",NA,NA,NA,NA,1039469,NA,"Aporrectodea",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"66","Lumbricus rubellus","Lumbricus rubellus",NA,NA,NA,NA,115614,NA,"Lumbricus rubellus",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Lumbricidae",NA,NA,NA
"67","Motobdella montezuma","Motobdella montezuma",NA,NA,NA,NA,5723675,NA,"Motobdella montezuma",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Erpobdellidae",NA,NA,NA
"68","Helobdella","Helobdella",NA,NA,NA,NA,870779,NA,"Helobdella",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
