taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Erpobdella microstoma,Erpobdella microstoma,Erpobdella microstoma,Erpobdella,species,7486056,FALSE,NA,Erpobdella,accepted,NA,1,160006
Metaphire sieboldi,Metaphire sieboldi,Metaphire sieboldi,Metaphire,species,833400,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire tosaensis,Metaphire tosaensis,Metaphire tosaensis,Metaphire,species,833402,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas vittatus,Amynthas vittatus,Amynthas vittatus,Amynthas,species,191497,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Metaphire hilgendorfi,Metaphire hilgendorfi,Metaphire hilgendorfi,Metaphire,species,833406,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire megascolidioides,Metaphire megascolidioides,Metaphire megascolidioides,Metaphire,species,72069,FALSE,NA,Metaphire,accepted,1,NA,1062143
Amynthas carnosus,Amynthas carnosus,Amynthas carnosus,Amynthas,species,370242,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas distichus,Amynthas distichus,Amynthas distichus,Amynthas,species,370248,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas fuscatus,Amynthas fuscatus,Amynthas fuscatus,Amynthas,species,370234,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas glabrus,Amynthas glabrus,Amynthas glabrus,Amynthas,species,370236,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas hupeiensis,Amynthas hupeiensis,Amynthas hupeiensis,Amynthas,species,258760,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas micronarius,Amynthas micronarius,Amynthas micronarius,Amynthas,species,895388,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas minimus,Amynthas minimus,Amynthas minimus,Amynthas,species,895385,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas morrisi,Amynthas morrisi,Amynthas morrisi,Amynthas,species,168832,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas phaselus,Amynthas phaselus,Amynthas phaselus,Amynthas,species,1051640,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas purpuratus,Amynthas purpuratus,Amynthas purpuratus,Amynthas,species,593460,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas tappensis,Amynthas tappensis,Amynthas tappensis,Amynthas,species,593464,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas tokioensis,Amynthas tokioensis,Amynthas tokioensis,Amynthas,species,593462,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas yambaruensis,Amynthas yambaruensis,Amynthas yambaruensis,Amynthas,species,593456,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Amynthas yunoshimensis,Amynthas yunoshimensis,Amynthas yunoshimensis,Amynthas,species,593453,FALSE,sibling_higher,Amynthas,accepted,1,0,1062218
Metaphire agrestis,Metaphire agrestis,Metaphire agrestis,Metaphire,species,593450,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire californica,Metaphire californica,Metaphire californica,Metaphire,species,1044691,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire communissima,Metaphire communissima,Metaphire communissima,Metaphire,species,72063,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire servina,Metaphire servina,Metaphire servina,Metaphire,species,72054,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire soulensis,Metaphire soulensis,Metaphire soulensis,Metaphire,species,1051645,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire vesiculata,Metaphire vesiculata,Metaphire vesiculata,Metaphire,species,72057,FALSE,NA,Metaphire,accepted,1,NA,1062143
Metaphire yamadai,Metaphire yamadai,Metaphire yamadai,Metaphire,species,72067,FALSE,NA,Metaphire,accepted,1,NA,1062143
Drawida hattamimizu,Drawida hattamimizu,Drawida hattamimizu,Drawida,species,60439,FALSE,NA,Drawida,accepted,1,1,1027687
Aporrectodea trapezoides,Aporrectodea trapezoides,Aporrectodea trapezoides,Aporrectodea,species,1042242,FALSE,NA,Aporrectodea,accepted,1,0,994659
Erpobdella japonica,Erpobdella japonica,Erpobdella japonica,Erpobdella,species,490339,FALSE,NA,Erpobdella,accepted,NA,1,160006
Erpobdella obscura,Erpobdella obscura,Erpobdella obscura,Erpobdella,species,340135,FALSE,NA,Erpobdella,accepted,NA,1,160006
Helobdella paranensis,Helobdella paranensis,Helobdella paranensis,Helobdella,species,1060336,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella fusca,Helobdella fusca,Helobdella fusca,Helobdella,species,51293,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella lineata,Helobdella lineata,Helobdella lineata,Helobdella,species,51292,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella papillata,Helobdella papillata,Helobdella papillata,Helobdella,species,51289,FALSE,NA,Helobdella,accepted,1,1,160018
Helobdella transversa,Helobdella transversa,Helobdella transversa,Helobdella,species,51286,FALSE,NA,Helobdella,accepted,1,1,160018
