taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Rhipicephalus microplus,Rhipicephalus microplus,Rhipicephalus microplus,Rhipicephalus,species,621053,FALSE,NA,Rhipicephalus,accepted,1,NA,1505438
Nephila antipodiana,Nephila antipodiana,Nephila antipodiana,Nephila,NA,156510,FALSE,NA,Nephila,accepted,1,NA,1491362
Nephila clavata,Nephila clavata,Nephila clavata,Nephila,NA,997305,FALSE,NA,Nephila,accepted,1,NA,1491362
Rhipicephalus evertsi,Rhipicephalus evertsi,Rhipicephalus evertsi,Rhipicephalus,species,176530,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus annulatus,Rhipicephalus annulatus,Rhipicephalus annulatus,Rhipicephalus,species,493150,FALSE,NA,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus decoloratus,Rhipicephalus decoloratus,Rhipicephalus decoloratus,Rhipicephalus,species,737616,FALSE,NA,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus appendiculatus,Rhipicephalus appendiculatus,Rhipicephalus appendiculatus,Rhipicephalus,species,543035,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus compositus,Rhipicephalus compositus,Rhipicephalus compositus,Rhipicephalus,species,83652,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus pravus,Rhipicephalus pravus,Rhipicephalus pravus,Rhipicephalus,species,1001868,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus punctatus,Rhipicephalus punctatus,Rhipicephalus punctatus,Rhipicephalus,species,658143,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus simus,Rhipicephalus simus,Rhipicephalus simus,Rhipicephalus,species,658145,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Rhipicephalus turanicus,Rhipicephalus turanicus,Rhipicephalus turanicus,Rhipicephalus,species,543038,FALSE,sibling_higher,Rhipicephalus,accepted,1,NA,1505438
Orconectes jeffersoni,Orconectes jeffersoni,Orconectes jeffersoni,Orconectes,species,827726,FALSE,NA,Orconectes,accepted,0,1,234097
