taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Gnathostoma binucleatum,Gnathostoma binucleatum,species,NA,107043,NA,239590,NA,Gnathostoma binucleatum,Gnathostoma,Gnathostoma binucleatum,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Gnathostoma,accepted,1,1,1542770
Bursaphelenchus abruptus,Bursaphelenchus abruptus,species,NA,27570,7021897,229398,NA,Bursaphelenchus abruptus,Bursaphelenchus,Bursaphelenchus abruptus,Bursaphelenchus abruptus,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus conicaudatus,Bursaphelenchus conicaudatus,species,NA,31862,7021953,701590,NA,Bursaphelenchus conicaudatus,Bursaphelenchus,Bursaphelenchus conicaudatus,Bursaphelenchus conicaudatus,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus fraudulentus,Bursaphelenchus fraudulentus,species,NA,27565,5889694,701589,NA,Bursaphelenchus fraudulentus,Bursaphelenchus,Bursaphelenchus fraudulentus,"Bursaphelenchus fraudulentus Ruhm, 1956",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus xylophilus,Bursaphelenchus xylophilus,species,NA,27551,8848401,1093850,NA,Bursaphelenchus xylophilus,Bursaphelenchus,Bursaphelenchus xylophilus,"Bursaphelenchus xylophilus Steiner & Buhrer, 1934",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus luxuriosae,Bursaphelenchus luxuriosae,species,NA,30606,7021907,327390,NA,Bursaphelenchus luxuriosae,Bursaphelenchus,Bursaphelenchus luxuriosae,Bursaphelenchus luxuriosae,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Gnathostoma doloresi,Gnathostoma doloresi,species,NA,171073,7031692,196482,NA,Gnathostoma doloresi,Gnathostoma,Gnathostoma doloresi,Gnathostoma doloresi,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Gnathostoma,accepted,1,1,1542770
Bursaphelenchus parvispicularis,Bursaphelenchus parvispicularis,species,NA,900111,7021924,280279,NA,Bursaphelenchus parvispicularis,Bursaphelenchus,Bursaphelenchus parvispicularis,Bursaphelenchus parvispicularis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus rufipennis,Bursaphelenchus rufipennis,species,NA,198708,10131499,786951,NA,Bursaphelenchus rufipennis,Bursaphelenchus,Bursaphelenchus rufipennis,Bursaphelenchus rufipennis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Onchocerca dewittei,Onchocerca dewittei,species,NA,303643,7031763,39024,NA,Onchocerca dewittei,Onchocerca,Onchocerca dewittei,Onchocerca dewittei,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
