taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Satsuma peculiaris,Satsuma peculiaris,Satsuma peculiaris,Satsuma,species,459422,FALSE,NA,Satsuma,accepted,1,0,818543
Satsuma oshimae,Satsuma oshimae,Satsuma oshimae,Satsuma,species,459429,FALSE,NA,Satsuma,accepted,1,0,818543
Camaena sakishimana,Camaena sakishimana,Camaena sakishimana,Camaena,species,732291,FALSE,sibling_higher,Camaena,accepted,1,0,835673
Satsuma carinatus,Satsuma carinatus,Satsuma carinatus,Satsuma,species,852440,FALSE,NA,Satsuma,accepted,1,0,818543
Aegista goniosoma,Aegista goniosoma,Aegista goniosoma,Aegista,species,5264576,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista mikuriyensis,Aegista mikuriyensis,Aegista mikuriyensis,Aegista,species,5264603,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista pseudopatula,Aegista pseudopatula,Aegista pseudopatula,Aegista,species,5264599,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista tokunoshimana,Aegista tokunoshimana,Aegista tokunoshimana,Aegista,species,5264572,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista cavicollis,Aegista cavicollis,Aegista cavicollis,Aegista,species,5264580,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista kandai,Aegista kandai,Aegista kandai,Aegista,species,5264585,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista trochula,Aegista trochula,Aegista trochula,Aegista,species,5264584,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista aemula,Aegista aemula,Aegista aemula,Aegista,species,5264594,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista deflexa,Aegista deflexa,Aegista deflexa,Aegista,species,5264593,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista elegantissima,Aegista elegantissima,Aegista elegantissima,Aegista,species,386518,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista horrida,Aegista horrida,Aegista horrida,Aegista,species,5264579,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista inexpectata,Aegista inexpectata,Aegista inexpectata,Aegista,species,760988,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista kiusiuensis,Aegista kiusiuensis,Aegista kiusiuensis,Aegista,species,5264587,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista tokunovaga,Aegista tokunovaga,Aegista tokunovaga,Aegista,species,5264582,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista lepidophora,Aegista lepidophora,Aegista lepidophora,Aegista,species,5264602,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista marginata,Aegista marginata,Aegista marginata,Aegista,species,5264601,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista oshimana,Aegista oshimana,Aegista oshimana,Aegista,species,5264597,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista pannosa,Aegista pannosa,Aegista pannosa,Aegista,species,5264575,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista scepasma,Aegista scepasma,Aegista scepasma,Aegista,species,760990,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Aegista vulgivaga,Aegista vulgivaga,Aegista vulgivaga,Aegista,species,752073,FALSE,sibling_higher,Aegista,accepted,1,0,874976
Trishoplita calcicola,Trishoplita calcicola,Trishoplita calcicola,Trishoplita,species,5264540,FALSE,NA,Trishoplita,accepted,1,0,995801
Trishoplitaoyaka,Trishoplitaoyaka,Trishoplita nioyaka,Trishoplita,NA,5264562,FALSE,NA,Trishoplita,accepted,1,0,995801
Trishoplita goodwini,Trishoplita goodwini,Trishoplita goodwini,Trishoplita,species,5264564,FALSE,NA,Trishoplita,accepted,1,0,995801
Trishoplita izuensis,Trishoplita izuensis,Trishoplita izuensis,Trishoplita,species,5264555,FALSE,NA,Trishoplita,accepted,1,0,995801
Chilostoma trizona,Chilostoma trizona,Chilostoma trizona,Chilostoma,species,406735,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma subaii,Chilostoma subaii,Chilostoma subaii,Chilostoma,species,406732,FALSE,NA,Chilostoma,accepted,1,0,871085
Chilostoma fontenillii,Chilostoma fontenillii,Chilostoma fontenillii,Chilostoma,species,910461,FALSE,NA,Chilostoma,accepted,1,0,871085
Philonesia harmanni,Philonesia harmanni,Philonesia harmanni,Philonesia,species,748552,FALSE,NA,Philonesia,accepted,1,0,996307
Tylomelania perconica,Tylomelania perconica,Tylomelania perconica,Tylomelania,species,1077050,FALSE,hidden_inherited,Tylomelania,accepted,0,1,738540
Tylomelania solitaria,Tylomelania solitaria,Tylomelania solitaria,Tylomelania,species,543143,FALSE,hidden_inherited,Tylomelania,accepted,0,1,738540
Tylomelania mahalonica,Tylomelania mahalonica,Tylomelania mahalonica,Tylomelania,species,543144,FALSE,hidden_inherited,Tylomelania,accepted,0,1,738540
Albinaria puella,Albinaria puella,Albinaria puella,Albinaria,species,361946,FALSE,NA,Albinaria,accepted,1,0,996062
