taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Adineta oculata,Adineta oculata,species,NA,82075,1000803,4101,NA,Adineta oculata,Adineta,Adineta oculata,"Adineta oculata (Milne, 1886)",Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Adineta,accepted,1,1,886172
Adineta tuberculosa,Adineta tuberculosa,species,NA,509124,1000790,653951,NA,Adineta tuberculosa,Adineta,Adineta tuberculosa,"Adineta tuberculosa Janson, 1893",Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Adineta,accepted,1,1,886172
Mediorhynchus gallinarum,Mediorhynchus gallinarum,species,NA,668930,2499369,4148404,NA,Mediorhynchus gallinarum,Mediorhynchus,Mediorhynchus gallinarum,"Mediorhynchus gallinarum (Bhalerao, 1937)",Acanthocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Mediorhynchus,accepted,1,NA,1526923
Paramacrobiotus lachowskae,Paramacrobiotus lachowskae,species,NA,938985,9554133,7485759,NA,Paramacrobiotus lachowskae,Paramacrobiotus,Paramacrobiotus lachowskae,"Paramacrobiotus lachowskae Stec, Roszkowska, Kaczmarek & Michalczyk, 2017",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,1,NA,955441
Hypsibius exemplaris,Hypsibius exemplaris,species,NA,938933,9800250,7485612,NA,Hypsibius exemplaris,Hypsibius,Hypsibius exemplaris,"Hypsibius exemplaris Gąsiorek, Stec, Morek & Michalczyk, 2018",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Hypsibius,accepted,1,1,342574
Macrobiotus papei,Macrobiotus papei,species,NA,938951,10497275,7485690,NA,Macrobiotus papei,Macrobiotus,Macrobiotus papei,"Macrobiotus papei Stec, Kristensen & Michalczyk, 2018",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Macrobiotus,accepted,1,1,342581
Macrobiotus hannae,Macrobiotus hannae,species,NA,938950,9286469,7485689,NA,Macrobiotus hannae,Macrobiotus,Macrobiotus hannae,"Macrobiotus hannae Nowak & Stec, 2018",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Macrobiotus,accepted,1,1,342581
Macrobiotus canaricus,Macrobiotus canaricus,species,NA,938949,10017225,7485677,NA,Macrobiotus canaricus,Macrobiotus,Macrobiotus canaricus,"Macrobiotus canaricus Stec, Krzywański & Michalczyk, 2018",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Macrobiotus,accepted,1,1,342581
Paramacrobiotus spatialis,Paramacrobiotus spatialis,species,NA,966377,10855182,7485767,NA,Paramacrobiotus spatialis,Paramacrobiotus,Paramacrobiotus spatialis,"Paramacrobiotus spatialis Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,1,NA,955441
Paramacrobiotus depressus,Paramacrobiotus depressus,species,NA,966375,10877248,7485751,NA,Paramacrobiotus depressus,Paramacrobiotus,Paramacrobiotus depressus,"Paramacrobiotus depressus Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,1,NA,955441
Paramacrobiotus celsus,Paramacrobiotus celsus,species,NA,966374,10772370,7485749,NA,Paramacrobiotus celsus,Paramacrobiotus,Paramacrobiotus celsus,"Paramacrobiotus celsus Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,1,NA,955441
Paramacrobiotus arduus,Paramacrobiotus arduus,species,NA,966373,10743078,7485748,NA,Paramacrobiotus arduus,Paramacrobiotus,Paramacrobiotus arduus,"Paramacrobiotus arduus Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,1,NA,955441
