taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Paranonychidae,Arthropoda,Arachnida,Opiliones,Paranonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fumontana deprehendor,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monomontia,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sclerobunus nondimorphicus,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zuma acuta,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum vittatum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chinquipellobunus,Arthropoda,Arachnida,Opiliones,Stygnopsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vonones,Arthropoda,Arachnida,Opiliones,Cosmetidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erebomaster acanthinus,Arthropoda,Arachnida,Opiliones,Cladonychiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Speleonychia sengeri,Arthropoda,Arachnida,Opiliones,Travuniidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella merickeli,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella quattuor,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella cosmetoides,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon simoni,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon cavicolens,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyptobunus cavicolens,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
