taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,subclass,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,aphia_id
Marilynia bicolor (species in Panarthropoda,Arthropoda,Arachnida,Araneae,Dictynidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnathostoma binucleatum,Nematoda,NA,NA,NA,1,1,Gnathostoma,Gnathostoma binucleatum,species,NA,107043,NA,239590,NA,Gnathostoma binucleatum,Gnathostoma binucleatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Gnathostoma,accepted,1542770
Bursaphelenchus abruptus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus abruptus,species,NA,27570,7021897,229398,NA,Bursaphelenchus abruptus,Bursaphelenchus abruptus,Bursaphelenchus abruptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus conicaudatus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus conicaudatus,species,NA,31862,7021953,701590,NA,Bursaphelenchus conicaudatus,Bursaphelenchus conicaudatus,Bursaphelenchus conicaudatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus fraudulentus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus fraudulentus,species,NA,27565,5889694,701589,NA,Bursaphelenchus fraudulentus,Bursaphelenchus fraudulentus,"Bursaphelenchus fraudulentus Ruhm, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus xylophilus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus xylophilus,species,NA,27551,8848401,1093850,NA,Bursaphelenchus xylophilus,Bursaphelenchus xylophilus,"Bursaphelenchus xylophilus Steiner & Buhrer, 1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus luxuriosae,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus luxuriosae,species,NA,30606,7021907,327390,NA,Bursaphelenchus luxuriosae,Bursaphelenchus luxuriosae,Bursaphelenchus luxuriosae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Gnathostoma doloresi,Nematoda,NA,NA,NA,1,1,Gnathostoma,Gnathostoma doloresi,species,NA,171073,7031692,196482,NA,Gnathostoma doloresi,Gnathostoma doloresi,Gnathostoma doloresi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Gnathostoma,accepted,1542770
Bursaphelenchus parvispicularis,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus parvispicularis,species,NA,900111,7021924,280279,NA,Bursaphelenchus parvispicularis,Bursaphelenchus parvispicularis,Bursaphelenchus parvispicularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus rufipennis,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus rufipennis,species,NA,198708,10131499,786951,NA,Bursaphelenchus rufipennis,Bursaphelenchus rufipennis,Bursaphelenchus rufipennis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Onchocerca dewittei,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca dewittei,species,NA,303643,7031763,39024,NA,Onchocerca dewittei,Onchocerca dewittei,Onchocerca dewittei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Xiphinema brevicolle,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema brevicolle,species,NA,169476,4554475,129812,NA,Xiphinema brevicolle,Xiphinema brevicolle,"Xiphinema brevicolle Lordello & Da Costa, 1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Trichinella britovi,Nematoda,NA,NA,NA,1,1,Trichinella,Trichinella britovi,species,NA,170388,4554194,898303,NA,Trichinella britovi,Trichinella britovi,"Trichinella britovi Pozio et al., 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1584400
Trichinellativa,Nematoda,NA,NA,NA,1,1,Trichinella,Trichinellativa,NA,NA,NA,NA,567341,NA,Trichinella nativa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1584400
Trichinellalsoni,Nematoda,NA,NA,NA,1,1,Trichinella,Trichinellalsoni,NA,NA,NA,NA,567342,NA,Trichinella nelsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1584400
Trichinella murrelli,Nematoda,NA,NA,NA,1,1,Trichinella,Trichinella murrelli,species,NA,170387,4554192,348834,NA,Trichinella murrelli,Trichinella murrelli,"Trichinella murrelli Pozio & La Rosa, 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1584400
Howardula aoronymphium,Nematoda,NA,NA,NA,NA,1,Howardula,Howardula aoronymphium,species,NA,25964,4556820,122551,NA,Howardula aoronymphium,Howardula aoronymphium,"Howardula aoronymphium Welch, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1584984
Howardulaocosmis,Nematoda,NA,NA,NA,NA,1,Howardula,Howardulaocosmis,NA,NA,NA,NA,122543,NA,Howardula neocosmis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1584984
Howardula dominicki,Nematoda,NA,NA,NA,NA,1,Howardula,Howardula dominicki,species,NA,106907,NA,122546,NA,Howardula dominicki,Howardula dominicki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1584984
Litomosoides sigmodontis,Nematoda,NA,NA,NA,NA,1,Litomosoides,Litomosoides sigmodontis,species,NA,32828,7029741,549976,NA,Litomosoides sigmodontis,Litomosoides sigmodontis,Litomosoides sigmodontis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585461
Onchocerca gibsoni,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca gibsoni,species,NA,32827,7031761,819801,NA,Onchocerca gibsoni,Onchocerca gibsoni,Onchocerca gibsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca gutturosa,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca gutturosa,species,NA,32826,4557122,510920,NA,Onchocerca gutturosa,Onchocerca gutturosa,"Onchocerca gutturosa Neumann, 1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca ochengi,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca ochengi,species,NA,32825,7031769,462292,NA,Onchocerca ochengi,Onchocerca ochengi,Onchocerca ochengi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca lupi,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca lupi,species,NA,78870,4557121,847619,NA,Onchocerca lupi,Onchocerca lupi,"Onchocerca lupi Rodonaja, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Litomosoides brasiliensis,Nematoda,NA,NA,NA,NA,1,Litomosoides,Litomosoides brasiliensis,species,NA,30025,7029752,575092,NA,Litomosoides brasiliensis,Litomosoides brasiliensis,Litomosoides brasiliensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585461
Litomosoides hamletti,Nematoda,NA,NA,NA,NA,1,Litomosoides,Litomosoides hamletti,species,NA,30024,7029737,460673,NA,Litomosoides hamletti,Litomosoides hamletti,Litomosoides hamletti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585461
