taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Gulella baccatakaguru,Mollusca,NA,NA,NA,0,1,Gulella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulella browniluguru,Mollusca,NA,NA,NA,0,1,Gulella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulella planidensungwe,Mollusca,NA,NA,NA,0,1,Gulella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulella gwendolinaesambara,Mollusca,NA,NA,NA,0,1,Gulella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulella augurluguru,Mollusca,NA,NA,NA,0,1,Gulella,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limax dacampioll..J.M.aassen,Mollusca,NA,NA,NA,0,1,Limax,NA,NA,NA,NA,NA,NA,NA,NA,NA
Satsuma peculiaris,NA,NA,NA,NA,0,1,Satsuma,Satsuma peculiaris,Satsuma peculiaris,species,459422,FALSE,NA,Satsuma,accepted,818543
Satsuma oshimae,NA,NA,NA,NA,0,1,Satsuma,Satsuma oshimae,Satsuma oshimae,species,459429,FALSE,NA,Satsuma,accepted,818543
Camaena sakishimana,NA,NA,NA,NA,0,1,Camaena,Camaena sakishimana,Camaena sakishimana,species,732291,FALSE,sibling_higher,Camaena,accepted,835673
Satsuma carinatus,NA,NA,NA,NA,0,1,Satsuma,Satsuma carinatus,Satsuma carinatus,species,852440,FALSE,NA,Satsuma,accepted,818543
Aegista goniosoma,NA,NA,NA,NA,0,1,Aegista,Aegista goniosoma,Aegista goniosoma,species,5264576,FALSE,sibling_higher,Aegista,accepted,874976
Aegista mikuriyensis,NA,NA,NA,NA,0,1,Aegista,Aegista mikuriyensis,Aegista mikuriyensis,species,5264603,FALSE,sibling_higher,Aegista,accepted,874976
Aegista pseudopatula,NA,NA,NA,NA,0,1,Aegista,Aegista pseudopatula,Aegista pseudopatula,species,5264599,FALSE,sibling_higher,Aegista,accepted,874976
Aegista tokunoshimana,NA,NA,NA,NA,0,1,Aegista,Aegista tokunoshimana,Aegista tokunoshimana,species,5264572,FALSE,sibling_higher,Aegista,accepted,874976
Aegista cavicollis,NA,NA,NA,NA,0,1,Aegista,Aegista cavicollis,Aegista cavicollis,species,5264580,FALSE,sibling_higher,Aegista,accepted,874976
Aegista kandai,NA,NA,NA,NA,0,1,Aegista,Aegista kandai,Aegista kandai,species,5264585,FALSE,sibling_higher,Aegista,accepted,874976
Aegista trochula,NA,NA,NA,NA,0,1,Aegista,Aegista trochula,Aegista trochula,species,5264584,FALSE,sibling_higher,Aegista,accepted,874976
Aegista aemula,NA,NA,NA,NA,0,1,Aegista,Aegista aemula,Aegista aemula,species,5264594,FALSE,sibling_higher,Aegista,accepted,874976
Aegista deflexa,NA,NA,NA,NA,0,1,Aegista,Aegista deflexa,Aegista deflexa,species,5264593,FALSE,sibling_higher,Aegista,accepted,874976
Aegista elegantissima,NA,NA,NA,NA,0,1,Aegista,Aegista elegantissima,Aegista elegantissima,species,386518,FALSE,sibling_higher,Aegista,accepted,874976
Aegista horrida,NA,NA,NA,NA,0,1,Aegista,Aegista horrida,Aegista horrida,species,5264579,FALSE,sibling_higher,Aegista,accepted,874976
Aegista inexpectata,NA,NA,NA,NA,0,1,Aegista,Aegista inexpectata,Aegista inexpectata,species,760988,FALSE,sibling_higher,Aegista,accepted,874976
