taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,subclass,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,aphia_id
Adineta oculata,Rotifera,NA,NA,NA,1,1,Adineta,Adineta oculata,species,NA,82075,1000803,4101,NA,Adineta oculata,Adineta oculata,"Adineta oculata (Milne, 1886)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Adineta,accepted,886172
Adineta tuberculosa,Rotifera,NA,NA,NA,1,1,Adineta,Adineta tuberculosa,species,NA,509124,1000790,653951,NA,Adineta tuberculosa,Adineta tuberculosa,"Adineta tuberculosa Janson, 1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Adineta,accepted,886172
Mediorhynchus gallinarum,Acanthocephala,NA,NA,NA,NA,1,Mediorhynchus,Mediorhynchus gallinarum,species,NA,668930,2499369,4148404,NA,Mediorhynchus gallinarum,Mediorhynchus gallinarum,"Mediorhynchus gallinarum (Bhalerao, 1937)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Mediorhynchus,accepted,1526923
Paramacrobiotus lachowskae,Tardigrada,NA,NA,NA,NA,1,Paramacrobiotus,Paramacrobiotus lachowskae,species,NA,938985,9554133,7485759,NA,Paramacrobiotus lachowskae,Paramacrobiotus lachowskae,"Paramacrobiotus lachowskae Stec, Roszkowska, Kaczmarek & Michalczyk, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,955441
Hypsibius exemplaris,Tardigrada,NA,NA,NA,1,1,Hypsibius,Hypsibius exemplaris,species,NA,938933,9800250,7485612,NA,Hypsibius exemplaris,Hypsibius exemplaris,"Hypsibius exemplaris Gąsiorek, Stec, Morek & Michalczyk, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Hypsibius,accepted,342574
Macrobiotus papei,Tardigrada,NA,NA,NA,1,1,Macrobiotus,Macrobiotus papei,species,NA,938951,10497275,7485690,NA,Macrobiotus papei,Macrobiotus papei,"Macrobiotus papei Stec, Kristensen & Michalczyk, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Macrobiotus,accepted,342581
Macrobiotus hannae,Tardigrada,NA,NA,NA,1,1,Macrobiotus,Macrobiotus hannae,species,NA,938950,9286469,7485689,NA,Macrobiotus hannae,Macrobiotus hannae,"Macrobiotus hannae Nowak & Stec, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Macrobiotus,accepted,342581
Macrobiotus canaricus,Tardigrada,NA,NA,NA,1,1,Macrobiotus,Macrobiotus canaricus,species,NA,938949,10017225,7485677,NA,Macrobiotus canaricus,Macrobiotus canaricus,"Macrobiotus canaricus Stec, Krzywański & Michalczyk, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Macrobiotus,accepted,342581
Paramacrobiotus spatialis,Tardigrada,NA,NA,NA,NA,1,Paramacrobiotus,Paramacrobiotus spatialis,species,NA,966377,10855182,7485767,NA,Paramacrobiotus spatialis,Paramacrobiotus spatialis,"Paramacrobiotus spatialis Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,955441
Paramacrobiotus depressus,Tardigrada,NA,NA,NA,NA,1,Paramacrobiotus,Paramacrobiotus depressus,species,NA,966375,10877248,7485751,NA,Paramacrobiotus depressus,Paramacrobiotus depressus,"Paramacrobiotus depressus Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,955441
Paramacrobiotus celsus,Tardigrada,NA,NA,NA,NA,1,Paramacrobiotus,Paramacrobiotus celsus,species,NA,966374,10772370,7485749,NA,Paramacrobiotus celsus,Paramacrobiotus celsus,"Paramacrobiotus celsus Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,955441
Paramacrobiotus arduus,Tardigrada,NA,NA,NA,NA,1,Paramacrobiotus,Paramacrobiotus arduus,species,NA,966373,10743078,7485748,NA,Paramacrobiotus arduus,Paramacrobiotus arduus,"Paramacrobiotus arduus Guidetti, Cesari, Bertolani, Altiero & Rebecchi, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Paramacrobiotus,accepted,955441
