"","taxa","phylum","class","family"
"1","Naisabilis","Annelida","Clitellata","Naididae"
"2","Sipunculusdus","Annelida","Polychaeta","Sipunculidae"
"3","Hirudopponia","Annelida","Clitellata","Hirudinidae"
"4","Patagoniobdellaabilis","Annelida","Clitellata","Semiscolecidae"
"5","Lumbriculusegatus","Annelida","Clitellata","Lumbriculidae"
"6","Ninoegripes","Annelida","Polychaeta","Lumbrineridae"
"7","Lysidicenetta","Annelida","Polychaeta","Eunicidae"
"8","Epigamiaroi","Annelida","Polychaeta","Syllidae"
"9","Sibloglinidaeyclobrachia","Annelida","Polychaeta","Siboglinidae"
"10","Eumidachala","Annelida","Polychaeta","Phyllodocidae"
"11","Eunicervegica","Annelida","Polychaeta","Eunicidae"
"12","Eunicetata","Annelida","Polychaeta","Eunicidae"
"13","Henleasuta","Annelida","Clitellata","Enchytraeidae"
"14","Graniaochaeta","Annelida","Clitellata","Enchytraeidae"
"15","Aricidealani","Annelida","Polychaeta","Paraonidae"
"16","Stercutusveus","Annelida","Clitellata","Enchytraeidae"
"17","Eumidatata","Annelida","Polychaeta","Phyllodocidae"
"18","Eunoedosa","Annelida","Polychaeta","Polynoidae"
"19","Pseudonereisegata","Annelida","Polychaeta","Nereididae"
"20","Progizzardusdiamensis","Annelida","Clitellata","Almidae"
"21","Chamaedrilussetosus","Annelida","Clitellata","Enchytraeidae"
