"","taxa","phylum"
"1","Stomopneustesolaris","Echinodermata"
"2","Ichthyocotylurusegatus","Platyhelminthes"
"3","Austrobilharziaglandis","Platyhelminthes"
"4","Lytechinusegatus","Echinodermata"
"5","Anoplocephaloidesabilis","Platyhelminthes"
"6","Avian schistosomatid","Platyhelminthes"
"7","Odinellatrix","Echinodermata"
"8","Tosiaossia","Echinodermata"
"9","Dugesiatogaea","Platyhelminthes"
"10","Contracaecum rudolphiiullini","Nematoda"
"11","Sciadicleithrumabilum","Platyhelminthes"
"12","unidentifiedmatode","Nematoda"
"13","Abatusmrodi","Echinodermata"
"14","Comatellagra","Echinodermata"
"15","Bipaliumbile","Platyhelminthes"
"16","Onchocercidaeansonella ozzardi","Nematoda"
"17","Lamellodiscus diplodimendum","Platyhelminthes"
"18","Tetrapygusger","Echinodermata"
"19","Salenocidarisspina","Echinodermata"
"20","Paragyrodactylusegatus","Platyhelminthes"
"21","Cameroniasari","Nematoda"
"22","Neobakernemaabile","Nematoda"
