"","taxa","phylum"
"1","Macomasuta","Mollusca"
"2","Lacunaegata","Mollusca"
"3","Tricoliaabilis","Mollusca"
"4","Rossiteriaclea","Mollusca"
"5","Argonautadosa","Mollusca"
"6","Ligumiasuta","Mollusca"
"7","Bulinussutus","Mollusca"
"8","Homalopomacturnum","Mollusca"
"9","Tricoliaabilis07","Mollusca"
"10","Galbaotropica","Mollusca"
"11","Nuculacleus","Mollusca"
"12","Coriocellagra","Mollusca"
"13","Lyncinavosa","Mollusca"
"14","Lavigeriassa","Mollusca"
"15","Cepaeamoralis","Mollusca"
"16","Dilomagerrima","Mollusca"
"17","Ruditapesegatus","Mollusca"
"18","Tectusloticus","Mollusca"
"19","Thiara granum","Mollusca"
"20","Elimiaans","Mollusca"
"21","Pinnabilis","Mollusca"
"22","Thuridillaona","Mollusca"
"23","Gundlachia radiataagunahocuaco","Mollusca"
"24","Partuladosa","Mollusca"
"25","Pseudobithynia graecaamisou river springs","Mollusca"
"26","Jugawberryi","Mollusca"
"27","Marmoranadrodensis","Mollusca"
"28","Tectonatica rizzaeediterraneanea","Mollusca"
"29","Euspiratida","Mollusca"
"30","Thaisdosa","Mollusca"
"31","Vittinaegata","Mollusca"
"32","Radixtalensis","Mollusca"
"33","Naticarius onca cryptic","Mollusca"
"34","Bembiciumnum","Mollusca"
"35","Octopusabilis","Mollusca"
"36","Lanistessutus","Mollusca"
"37","Littorariaegata","Mollusca"
"38","Cyercegricans","Mollusca"
"39","Turrisdaensis","Mollusca"
"40","Dermomurexglecta","Mollusca"
"41","Solariellidae clade","Mollusca"
"42","Minoliassonus","Mollusca"
"43","Melampus bidentatus cryptic","Mollusca"
"44","Bonisakaza","Mollusca"
"45","Thylacodesabilis","Mollusca"
"46","Arcavicularis","Mollusca"
"47","Streptostele elgonensisabugabo","Mollusca"
"48","Gonaxis cressyisambara","Mollusca"
"49","Gonaxis gibbonsiar esalaam","Mollusca"
"50","Tayloria amaniensissambara","Mollusca"
"51","Gulella baccatakaguru","Mollusca"
"52","Gulella browniluguru","Mollusca"
"53","Gulella planidensungwe","Mollusca"
"54","Gulella gwendolinaesambara","Mollusca"
"55","Gulella augurluguru","Mollusca"
"56","Streptaxis tumulusrazil","Mollusca"
"57","Oxysteleegata","Mollusca"
"58","Baeolidiadosa","Mollusca"
"59","Phyllocaulisegatus","Mollusca"
"60","Ficusegataoding","Mollusca"
"61","Naranjia burmana","Mollusca"
"62","Gibbulavosa","Mollusca"
"63","Alopiafasta","Mollusca"
"64","Alopiaxa","Mollusca"
"65","Nassariusger","Mollusca"
"66","Adamsiellaabilis","Mollusca"
"67","Bursinabilis","Mollusca"
"68","Limax dacampioll..J.M.aassen","Mollusca"
"69","Nototeredorvagica","Mollusca"
"70","Arcaae","Mollusca"
"71","Agathyllautra","Mollusca"
"72","Norrisiarrisii","Mollusca"
"73","Pisidiumtidum","Mollusca"
"74","Musculusger","Mollusca"
"75","Noumeavalis","Mollusca"
"76","Ptychobeladulosa","Mollusca"
"77","Cyercegra","Mollusca"
"78","Phyllidiacosa","Mollusca"
"79","Conuscleus","Mollusca"
"80","Conusmocanus","Mollusca"
"81","Conusmbosus","Mollusca"
"82","Conusptunus","Mollusca"
"83","Roboastrakolae","Mollusca"
"84","Abratida","Mollusca"
"85","Albinariavea","Mollusca"
"86","Chilinacolasi","Mollusca"
"87","Xerocrassaeli","Mollusca"
"88","Brachidontesabilis","Mollusca"
"89","Conusbilis","Mollusca"
"90","Zelentianel","Mollusca"
"91","Conusvarroi","Mollusca"
"92","Borealeabilis","Mollusca"
"93","Oreohelixabilis","Mollusca"
"94","Alasmidontacosa","Mollusca"
"95","Cyclonaiascki","Mollusca"
"96","Donaxabilis","Mollusca"
"97","Notonykiasisi","Mollusca"
"98","Charoniaegata","Mollusca"
"99","Iotyrristata","Mollusca"
"100","Montfortulaegata","Mollusca"
"101","Eubaicaliaesculpta","Mollusca"
