query,phylum,class,order,family,genus
Glaberana,Arthropoda,Insecta,Hemiptera,Cicadellidae,Glaberana
Drawida hattamimizu,Annelida,Clitellata,Moniligastrida,Moniligastridae,Drawida
Aporrectodea trapezoides,Annelida,Clitellata,Haplotaxida,Lumbricidae,Aporrectodea
Gastrostomobdella monticola,Annelida,Clitellata,Hirudinida,Gastrostomobdellidae,Gastrostomobdella
Odontobdella blanchardi,Annelida,Clitellata,Hirudinida,Salifidae,Odontobdella
Orobdella tsushimensis,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella esulcata,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella whitmani,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella shimadae,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella dolichopharynx,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella ijimai,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella kawakatsuorum,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella koikei,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella octonaria,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Tritetrabdella taiwana,Annelida,Clitellata,Hirudinida,Haemadipsidae,Tritetrabdella
Orobdella mononoke,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella ketagalan,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Orobdella masaakikuroiwai,Annelida,Clitellata,Hirudinida,Orobdellidae,Orobdella
Limnatis paluda,Annelida,Clitellata,Hirudinida,Hirudinidae,Limnatis
Cambarincola holti,Annelida,Clitellata,Branchiobdellida,NULL,Cambarincola
Haemadipsa sylvestris,Annelida,Clitellata,Hirudinida,Haemadipsidae,Haemadipsa
Chtonobdella bilineata,Annelida,Clitellata,Hirudinida,Haemadipsidae,Chtonobdella
Ankyrodrilus legaeus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Ankyrodrilus
Bdellodrilus illuminatus,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Bdellodrilus
Branchiobdella pentadonta,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Branchiobdella
Cambarincola gracilis,Annelida,Clitellata,Branchiobdellida,NULL,Cambarincola
Cambarincola mesochoreus,Annelida,Clitellata,Branchiobdellida,NULL,Cambarincola
Cambarincola montanus,Annelida,Clitellata,Branchiobdellida,NULL,Cambarincola
Cambarincola pamelae,Annelida,Clitellata,Branchiobdellida,NULL,Cambarincola
