query,phylum,class,order,family,genus
Typhlodromus pyri,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Typhlodromus
Locustacarus buchneri,Arthropoda,Arachnida,Trombidiformes,Podapolipidae,Locustacarus
Geothelphusa (genus in subfamily Potamiscinae,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa
Candidiopotamon rathbunae,Arthropoda,Malacostraca,Decapoda,Potamidae,Candidiopotamon
Yarepotamon gracilipa,Arthropoda,Malacostraca,Decapoda,Potamidae,Yarepotamon
Neoseiulus californicus,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Neoseiulus
Neoseiulus womersleyi,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Neoseiulus
Euseius finlandicus,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Euseius
Sennertia,Arthropoda,Arachnida,Sarcoptiformes,Chaetodactylidae,Sennertia
Hygrobates fluviatilis,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,Hygrobates
Sperchonopsis,Arthropoda,Arachnida,Trombidiformes,Sperchontidae,Sperchonopsis
Torrenticola (genus in Opisthokonta,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola
Eylais,Arthropoda,Arachnida,Trombidiformes,Eylaidae,Eylais
Atractides,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,Atractides
Calommata signata,Arthropoda,Arachnida,Araneae,Atypidae,Calommata
Acarapis woodi,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,Acarapis
Tylos (genus in subphylum Crustacea,Arthropoda,Malacostraca,Isopoda,Tylidae,Tylos
Paranonychidae,Arthropoda,Arachnida,Opiliones,Paranonychidae,NULL
Latouchia formosensis,Arthropoda,Arachnida,Araneae,Ctenizidae,Latouchia
Varroa jacobsoni,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa
Microdarwinula zimmeri,Arthropoda,Ostracoda,Podocopida,Darwinulidae,Microdarwinula
Microcaeculus,Arthropoda,Arachnida,Trombidiformes,Caeculidae,Microcaeculus
Neocaeculus,Arthropoda,Arachnida,Trombidiformes,Caeculidae,Neocaeculus
Eriorhynchus,Arthropoda,Arachnida,Trombidiformes,Eriorhynchidae,Eriorhynchus
Erythracarus,Arthropoda,Arachnida,Trombidiformes,Anystidae,Erythracarus
Erythrites,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Erythrites
Erythroides,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Erythroides
Hydrodroma,Arthropoda,Arachnida,Trombidiformes,Hydrodromidae,Hydrodroma
Adamystis,Arthropoda,Arachnida,Trombidiformes,Adamystidae,Adamystis
Geckobia,Arthropoda,Arachnida,Trombidiformes,Pterygosomatidae,Geckobia
Parartemia longicaudata,Arthropoda,Branchiopoda,Anostraca,Branchipodidae,Parartemia
Streptocephalus dorothae,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Thamnocephalus platyurus,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Thamnocephalus
Campodea tillyardi,Arthropoda,NULL,Diplura,Campodeidae,Campodea
Hypochilus thorelli,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus pococki,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus sheari,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus coylei,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus gertschi,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus kastoni,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus petrunkevitchi,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus bernardino,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus bonneti,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Hypochilus jemez,Arthropoda,Arachnida,Araneae,Hypochilidae,Hypochilus
Sphodros abboti,Arthropoda,Arachnida,Araneae,Atypidae,Sphodros
Johnstoniana errans,Arthropoda,Arachnida,Trombidiformes,Johnstonianidae,Johnstoniana
Johnstoniana parva,Arthropoda,Arachnida,Trombidiformes,Johnstonianidae,Johnstoniana
Calyptostoma velutinus,Arthropoda,Arachnida,Trombidiformes,Calyptostomatidae,Calyptostoma
Hirstiosoma ampulligera,Arthropoda,Arachnida,Trombidiformes,Smarididae,Hirstiosoma
Charletonia cardinalis,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Charletonia
Leptus ignotus,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Leptus
Abrolophus rubipes,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,Abrolophus
Erythraeus phalangoides,Arthropoda,Arachnida,Trombidiformes,Erythraeidae,NULL
Campylothrombium barbarum,Arthropoda,Arachnida,Trombidiformes,Microtrombidiidae,Campylothrombium
Microtrombidium pusillum,Arthropoda,Arachnida,Trombidiformes,Microtrombidiidae,Microtrombidium
Todothyas barbigera,Arthropoda,Arachnida,Trombidiformes,Hydryphantidae,Todothyas
Anystis,Arthropoda,Arachnida,Trombidiformes,Anystidae,Anystis
Steganacarus carlosi,Arthropoda,Arachnida,Sarcoptiformes,Steganacaridae,Steganacarus
Steganacarus tenerifensis,Arthropoda,Arachnida,Sarcoptiformes,Steganacaridae,Steganacarus
Steganacarus carusoi,Arthropoda,Arachnida,Sarcoptiformes,Steganacaridae,Steganacarus
Varroa destructor,Arthropoda,Arachnida,Mesostigmata,Varroidae,Varroa
Acanthogammarus maculosus,Arthropoda,Malacostraca,Amphipoda,Acanthogammaridae,Acanthogammarus
Nebo hierichonticus,Arthropoda,Arachnida,Scorpiones,Diplocentridae,Nebo
Heterometrus fulvipes,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus
Heterometrus laoticus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus
Heterometrus spinifer,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus
Heterometrus swammerdami,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Heterometrus
Opistophthalmus boehmi,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus
Opistophthalmus capensis,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus
Opistophthalmus carinatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus
Opistophthalmus holmi,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Opistophthalmus
Pandinus cavimanus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus
Pandinus dictator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus
Pandinus imperator,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus
Pandinus viatoris,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Pandinus
Scorpio fuscus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Scorpio
Scorpio palmatus,Arthropoda,Arachnida,Scorpiones,Scorpionidae,Scorpio
Alaranea merina,Arthropoda,Arachnida,Araneae,Cyatholipidae,Alaranea
Mysmena,Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmena
Pimoa,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa
Synotaxus,Arthropoda,Arachnida,Araneae,Synotaxidae,Synotaxus
Theridiosoma gemmosum,Arthropoda,Arachnida,Araneae,Theridiosomatidae,Theridiosoma
Haplopelma schmidti,Arthropoda,Arachnida,Araneae,Theraphosidae,Haplopelma
Cenopalpus pulcher,Arthropoda,Arachnida,Trombidiformes,Tenuipalpidae,Cenopalpus
Streptocephalus bourquine,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus cafer,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus guzmani,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus mackini,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus macrourus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus moorei,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus namibiensis,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus bowmani,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus dumonti,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus ovamboensis,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus papillatus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus proboscideus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus purcelli,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus queenslandicus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus sealii,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus sudanicus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus texanus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus torvicornis,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus trifideus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Streptocephalus cladophorus,Arthropoda,Branchiopoda,Anostraca,Streptocephalidae,Streptocephalus
Segestria bavarica,Arthropoda,Arachnida,Araneae,Segestriidae,Segestria
Stegodyphus lineatus,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus
