query,phylum,class,order,family,genus
Mesocestoides corti,Platyhelminthes,Cestoda,Cyclophyllidea,Mesocestoididae,Mesocestoides
Trypanoxyuris atelis,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Trypanoxyuris
Lemuricola bauchoti,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Lemuricola
Mecistocirrus digitatus,Nematoda,Chromadorea,Strongylida,Haemonchidae,Mecistocirrus
Cooperia oncophora,Nematoda,Chromadorea,Strongylida,Cooperiidae,Cooperia
Ostertagia ostertagi,Nematoda,Chromadorea,Strongylida,Haemonchidae,Ostertagia
Syphacia ohtaorum,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Syphacia
Strongyloides fuelleborni,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Strongyloides
Strongyloides planiceps,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Strongyloides
Strongyloides stercoralis,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Strongyloides
Strongyloides mirzai,Nematoda,Chromadorea,Rhabditida,Strongyloididae,Strongyloides
Moniezia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Moniezia
Angiostrongylus cantonensis,Nematoda,Chromadorea,Strongylida,Angiostrongylidae,Angiostrongylus
Astrobolia,Porifera,Demospongiae,NULL,NULL,NULL
Moniezia expansa,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Moniezia
Pristionchus bucculentus,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus
Neodiplostomum seoulense,Platyhelminthes,Trematoda,NULL,Neodiplostomidae,Neodiplostomum
Nippostrongylus brasiliensis,Nematoda,Chromadorea,Strongylida,Heligmonellidae,Nippostrongylus
Spathula (genus in Opisthokonta,Platyhelminthes,Rhabditophora,Seriata,Dugesiidae,Spathula
Spathula (genus in Opisthokonta,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Spathula
Toxocara cati,Nematoda,Chromadorea,Rhabditida,Toxocaridae,Toxocara
Cyathostomum catinatum,Nematoda,Chromadorea,Strongylida,Strongylidae,Cyathostomum
Coronocyclus coronatus,Nematoda,Chromadorea,Strongylida,Strongylidae,Coronocyclus
Dictyocaulus viviparus,Nematoda,Chromadorea,Strongylida,Dictyocaulidae,Dictyocaulus
Cylicostephanus goldi,Nematoda,Chromadorea,Strongylida,Strongylidae,Cylicostephanus
Tridentoinfundibulum gobi,Nematoda,Chromadorea,Strongylida,Strongylidae,Tridentoinfundibulum
Cylicocyclus insigne,Nematoda,Chromadorea,Strongylida,Strongylidae,Cylicocyclus
Cylicostephanus longibursatus,Nematoda,Chromadorea,Strongylida,Strongylidae,Cylicostephanus
Cylicostephanus minutus,Nematoda,Chromadorea,Strongylida,Strongylidae,Cylicostephanus
Cylicocyclus nassatus,Nematoda,Chromadorea,Strongylida,Strongylidae,Cylicocyclus
Poteriostomum imparidentatum,Nematoda,Chromadorea,Strongylida,Strongylidae,Poteriostomum
Cyathostomum pateratum,Nematoda,Chromadorea,Strongylida,Strongylidae,Cyathostomum
Strongylus edentatus,Nematoda,Chromadorea,Strongylida,Strongylidae,Strongylus
Strongylus equinus,Nematoda,Chromadorea,Strongylida,Strongylidae,Strongylus
Strongylus vulgaris,Nematoda,Chromadorea,Strongylida,Strongylidae,Strongylus
Triodontophorus serratus,Nematoda,Chromadorea,Strongylida,Strongylidae,Triodontophorus
Cylicocyclus ultrajectinus,Nematoda,Chromadorea,Strongylida,Strongylidae,Cylicocyclus
Parasitylenchus nearcticus,Nematoda,Chromadorea,Rhabditida,Parasitylenchidae,Parasitylenchus
Anatrichosoma haycocki,Nematoda,Enoplea,Trichinellida,Anatrichosomatidae,Anatrichosoma
Oesophagostomum bifurcum,Nematoda,Chromadorea,Strongylida,Chabertiidae,Oesophagostomum
Setaria labiatopapillosa,Nematoda,Chromadorea,Rhabditida,Setariidae,Setaria
Setaria tundra,Nematoda,Chromadorea,Rhabditida,Setariidae,Setaria
Progamotaenia ewersi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Progamotaenia
Progamotaenia macropodis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Progamotaenia
Progamotaenia zschokkei,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Progamotaenia
Toxocara malaysiensis,Nematoda,Chromadorea,Rhabditida,Toxocaridae,Toxocara
Toxocara vitulorum,Nematoda,Chromadorea,Rhabditida,Toxocaridae,Toxocara
Progamotaenia festiva,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Progamotaenia
Progamotaenia diaphana,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Progamotaenia
Progamotaenia effigia,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Progamotaenia
Angiostrongylus costaricensis,Nematoda,Chromadorea,Strongylida,Angiostrongylidae,Angiostrongylus
Dracunculus medinensis,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus
Gongylonema pulchrum,Nematoda,Chromadorea,Rhabditida,Gongylonematidae,Gongylonema
Haemonchus placei,Nematoda,Chromadorea,Strongylida,Haemonchidae,Haemonchus
Oesophagostomum dentatum,Nematoda,Chromadorea,Strongylida,Chabertiidae,Oesophagostomum
Teladorsagia circumcincta,Nematoda,Chromadorea,Strongylida,Haemonchidae,Teladorsagia
Rauschoides alternata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Rauschoides
Rauschoides arctica,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Rauschoides
Paranoplocephala kalelai,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Paranoplocephala macrocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Paranoplocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Paranoplocephala omphalodes,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Diandrya composita,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Diandrya
Microticola blanchardi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Microticola
Andrya cuniculi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Andrya
Andrya rhopalocephala,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Andrya
Eurotaenia gracilis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Eurotaenia
Anoplocephaloides dentata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Anoplocephaloides
Monoecocestus americanus,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Monoecocestus
Paranoplocephala etholeni,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Ctenotaenia marmotae,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Ctenotaenia
Anoplocephala perfoliata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Anoplocephala
Anoplocephaloides kontrimavichusi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Anoplocephaloides
Anoplocephaloides lemmi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Anoplocephaloides
Lemminia fellmani,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Lemminia
Microcephaloides krebsi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Microcephaloides
Gulyaevia longivaginata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Gulyaevia
Douthittia nordenskioeldi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Douthittia
Parandrya oeconomi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Parandrya
Anoplocephala magna,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Anoplocephala
Mosgovoyia pectinata,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Mosgovoyia
Paranoplocephala primordialis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Arctocestus serratus,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Arctocestus
Gulyaevia buryatiensis,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Gulyaevia
Bradynema listronoti,Nematoda,Chromadorea,Rhabditida,Allantonematidae,Bradynema
Thripinema fuscum,Nematoda,Chromadorea,Rhabditida,Allantonematidae,Thripinema
Heterorhabditis marelatus,Nematoda,Chromadorea,Strongylida,Heterorhabditidae,Heterorhabditis
Parelaphostrongylus odocoilei,Nematoda,Chromadorea,Strongylida,Protostrongylidae,Parelaphostrongylus
Parelaphostrongylus tenuis,Nematoda,Chromadorea,Strongylida,Protostrongylidae,Parelaphostrongylus
Setaria digitata,Nematoda,Chromadorea,Rhabditida,Setariidae,Setaria
Soboliphyme baturini,Nematoda,Enoplea,Dioctophymatida,Soboliphymatidae,Soboliphyme
Soboliphyme jamesoni,Nematoda,Enoplea,Dioctophymatida,Soboliphymatidae,Soboliphyme
Soboliphyme abei,Nematoda,Enoplea,Dioctophymatida,Soboliphymatidae,Soboliphyme
Paranoplocephala jarrelli,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Paranoplocephala
Parandrya feodorovi,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Parandrya
Anoplocephaloides,Platyhelminthes,Cestoda,Cyclophyllidea,Anoplocephalidae,Anoplocephaloides
Parelaphostrongylus andersoni,Nematoda,Chromadorea,Strongylida,Protostrongylidae,Parelaphostrongylus
Haemonchus contortus,Nematoda,Chromadorea,Strongylida,Haemonchidae,Haemonchus
Diplogastrellus metamasius,Nematoda,Chromadorea,Rhabditida,Diplogasteridae,Diplogastrellus
Angiostrongylus vasorum,Nematoda,Chromadorea,Strongylida,Angiostrongylidae,Angiostrongylus
Dracunculus insignis,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus
Dracunculus lutrae,Nematoda,Chromadorea,Rhabditida,Dracunculidae,Dracunculus
Heterakis isolonche,Nematoda,Chromadorea,Rhabditida,Heterakidae,Heterakis
Habronema microstoma,Nematoda,Chromadorea,Rhabditida,Habronematidae,Habronema
Habronema muscae,Nematoda,Chromadorea,Rhabditida,Habronematidae,Habronema
Dugesia (genus in Opisthokonta,Platyhelminthes,Rhabditophora,Seriata,Dugesiidae,Dugesia
Dugesia (genus in Opisthokonta,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Dugesia
Oesophagostomum quadrispinulatum,Nematoda,Chromadorea,Strongylida,Chabertiidae,Oesophagostomum
Ascaridia compar,Nematoda,Chromadorea,Rhabditida,Ascaridiidae,Ascaridia
Ascaridia galli,Nematoda,Chromadorea,Rhabditida,Ascaridiidae,Ascaridia
Lemuricola pongoi,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Lemuricola
Enterobius buckleyi,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Enterobius
Pongobius hugoti,Nematoda,Chromadorea,Rhabditida,Oxyuridae,Pongobius
Trichostrongylus vitrinus,Nematoda,Chromadorea,Strongylida,Trichostrongylidae,Trichostrongylus
Syngamus trachea,Nematoda,Chromadorea,Strongylida,Syngamidae,Syngamus
Trichostrongylus axei,Nematoda,Chromadorea,Strongylida,Trichostrongylidae,Trichostrongylus
Polycelis (genus in Lophotrochozoa,Platyhelminthes,Rhabditophora,Seriata,Planariidae,Polycelis
Polycelis (genus in Lophotrochozoa,Platyhelminthes,Rhabditophora,Tricladida,Planariidae,Polycelis
Aelurostrongylus abstrusus,Nematoda,Chromadorea,Strongylida,Angiostrongylidae,Aelurostrongylus
Paraspidodera uncinata,Nematoda,Chromadorea,Rhabditida,Aspidoderidae,Paraspidodera
Mesocestoides lineatus,Platyhelminthes,Cestoda,Cyclophyllidea,Mesocestoididae,Mesocestoides
Mesocestoides litteratus,Platyhelminthes,Cestoda,Cyclophyllidea,Mesocestoididae,Mesocestoides
Setaria cervi,Nematoda,Chromadorea,Rhabditida,Setariidae,Setaria
Khalilia sameera,Nematoda,Chromadorea,Strongylida,Strongylidae,Khalilia
Quilonia africana,Nematoda,Chromadorea,Strongylida,Strongylidae,Quilonia
Murshidia africana,Nematoda,Chromadorea,Strongylida,Strongylidae,Murshidia
Murshidia longicaudata,Nematoda,Chromadorea,Strongylida,Strongylidae,Murshidia
Murshidia linstowi,Nematoda,Chromadorea,Strongylida,Strongylidae,Murshidia
Longidorus helveticus,Nematoda,Enoplea,Dorylaimida,Longidoridae,Longidorus
Serpentirhabdias fuscovenosa,Nematoda,Chromadorea,Rhabditida,Rhabdiasidae,Serpentirhabdias
Velasquezotrema tripurensis,Platyhelminthes,Trematoda,Plagiorchiida,Gastrothylacidae,Velasquezotrema
Carmyerius spatiosus,Platyhelminthes,Trematoda,Plagiorchiida,Gastrothylacidae,Carmyerius
Fischoederius cobboldi,Platyhelminthes,Trematoda,Plagiorchiida,Gastrothylacidae,Fischoederius
Fischoederius elongatus,Platyhelminthes,Trematoda,Plagiorchiida,Gastrothylacidae,Fischoederius
Rotylenchus cazorlaensis,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Rotylenchus
Rotylenchus incultus,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Rotylenchus
