query,phylum,class,order,family,genus
Pomacea insularum,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea
Pseudopythina subsinuata,Mollusca,Bivalvia,NULL,Kelliidae,Pseudopythina
Pseudobuliminus certus,Mollusca,Gastropoda,NULL,Bradybaenidae,Pseudobuliminus
Pseudobuliminus piligerus,Mollusca,Gastropoda,NULL,Bradybaenidae,Pseudobuliminus
Pseudobuliminus subcylindricus,Mollusca,Gastropoda,NULL,Bradybaenidae,Pseudobuliminus
Pseudobuliminus turritus,Mollusca,Gastropoda,NULL,Bradybaenidae,Pseudobuliminus
Bradybaena miyakejimana,Mollusca,Gastropoda,NULL,Bradybaenidae,Bradybaena
Bradybaena phaeogramma,Mollusca,Gastropoda,NULL,Bradybaenidae,Bradybaena
Psilunio littoralis,Mollusca,Bivalvia,Unionida,Unionidae,Psilunio
Cafferia caffer,Mollusca,Bivalvia,Unionida,Unionidae,Cafferia
Acostaea rivoli,Mollusca,Bivalvia,Unionida,Etheriidae,Acostaea
Diplodon deceptus,Mollusca,Bivalvia,Unionida,Unionidae,Diplodon
Dinarica pouzolzi,Mollusca,Gastropoda,Stylommatophora,Helicidae,Dinarica
Elimia hydei,Mollusca,Gastropoda,NULL,Pleuroceridae,Elimia
Arianta aethiops,Mollusca,Gastropoda,Stylommatophora,Helicidae,Arianta
Amastra micans,Mollusca,Gastropoda,Stylommatophora,Amastridae,Amastra
Rhabdotus alternatus,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Rhabdotus
Catinella baldwini,Mollusca,Gastropoda,Stylommatophora,Succineidae,Catinella
Physa (genus in Opisthokonta,Mollusca,Gastropoda,Hygrophila,Physidae,Physa
Placostylus annectens,Mollusca,Gastropoda,Stylommatophora,Bothriembryontidae,Placostylus
Myotis peninsularis,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis
Isabellaria leucoraphe,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria
Isabellaria lophauchena,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria
Isabellaria praestans,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria
Isabellaria vallata,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Isabellaria
Sericata abyssoclista,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata albicosta,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata bathyclista,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata dextrorsa,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata liebegottae,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata lutracana,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata regina,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata sericata,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata stussineri,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata tantilla,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Sericata torifera,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Sericata
Cernuella cespitum,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Cernuella
Oestophora turriplana,Mollusca,Gastropoda,Stylommatophora,Trissexodontidae,Oestophora
Trochoidea seetzenii,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Trochoidea
Pettancylus clessiniana,Mollusca,Gastropoda,Hygrophila,Planorbidae,Ferrissia
Physella anatina,Mollusca,Gastropoda,Hygrophila,Physidae,Physa
Physella wolfiana,Mollusca,Gastropoda,Hygrophila,Physidae,Physa
Physella cupreonitens,Mollusca,Gastropoda,Hygrophila,Physidae,Physa
Physella aurea,Mollusca,Gastropoda,Hygrophila,Physidae,Physa
Reginaia ebena,Mollusca,Bivalvia,Unionida,Unionidae,Reginaia
Hyriopsis cumingii,Mollusca,Bivalvia,Unionida,Unionidae,Hyriopsis
Toxolasma texasiensis,Mollusca,Bivalvia,Unionida,Unionidae,Toxolasma
Helixena sanctaemariae,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helixena
Arion anguloi,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion
Arion franciscoloi,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion
Elimia showalteri,Mollusca,Gastropoda,NULL,Pleuroceridae,Elimia
