query,phylum,class,order,family,genus
Chordodes,Nematomorpha,Gordioida,Chordodea,Chordodidae,Chordodes
Gordionus kii,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Gordionus
Gordionus,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Gordionus
Gordionus chinensis,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Gordionus
Macracanthorhynchus ingens,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Moniliformis moniliformis,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Oligacanthorhynchus tortuosa,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Oligacanthorhynchus
Oncicola,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Oncicola
Zygonemertes simonae,Nemertea,Enopla,Monostilifera,NA,NA
Abrochtha meselsoni,Rotifera,Bdelloidea,Philodinavidae,NA,Abrochtha
Rotaria macrura,Rotifera,Bdelloidea,NA,NA,Rotaria
Rotaria magnacalcarata,Rotifera,Bdelloidea,NA,NA,Rotaria
Rotaria socialis,Rotifera,Bdelloidea,NA,NA,Rotaria
Rotaria sordida,Rotifera,Bdelloidea,NA,NA,Rotaria
Rotaria neptunoida,Rotifera,Bdelloidea,NA,NA,Rotaria
Bradyscela clauda,Rotifera,Bdelloidea,Adinetida,Adinetidae,Bradyscela
Rotaria macroceros,Rotifera,Bdelloidea,NA,NA,Rotaria
Floscularia melicerta,Rotifera,Monogononta,Flosculariaceae,Flosculariidae,Floscularia
Macracanthorhynchus hirudinaceus,Acanthocephala,Archiacanthocephala,Oligacanthorhynchida,Oligacanthorhynchidae,Macracanthorhynchus
Cephalothrix fasciculus,Nemertea,Palaeonemertea,NA,Cephalothricidae,Cephalothrix
Chordodes formosanus,Nematomorpha,Gordioida,Chordodea,Chordodidae,Chordodes
Chordodes japonensis,Nematomorpha,Gordioida,Chordodea,Chordodidae,Chordodes
Floscularia,Rotifera,Monogononta,Flosculariaceae,Flosculariidae,Floscularia
Neochordodes occidentalis,Nematomorpha,Gordioida,Chordodea,Chordodidae,Neochordodes
Dasydytes elongatus,Gastrotricha,NA,Chaetonotida,Dasydytidae,Dasydytes
Dasydytes carvalhoae,Gastrotricha,NA,Chaetonotida,Dasydytidae,Dasydytes
Dasydytes papaveroi,Gastrotricha,NA,Chaetonotida,Dasydytidae,Dasydytes
Gordionus lokaaus,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Gordionus
Gordionus bilaus,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Gordionus
Habrotrocha bidens,Rotifera,Bdelloidea,Philodinida,Habrotrochidae,Habrotrocha
Habrotrocha ligula,Rotifera,Bdelloidea,Philodinida,Habrotrochidae,Habrotrocha
Philodinavus paradoxus,Rotifera,Bdelloidea,Philodinavidae,NA,Philodinavus
Pseudosiderastrea tayami,Cnidaria,Anthozoa,Scleractinia,Siderastreidae,Pseudosiderastrea
Centrorhynchus aluconis,Acanthocephala,Palaeacanthocephala,Polymorphida,Centrorhynchidae,NA
Polyacanthorhynchus caballeroi,Acanthocephala,Polyacanthocephala,Polyacanthorhynchida,Polyacanthorhynchidae,Polyacanthorhynchus
Paragordionus,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Paragordionus
Rotaria megarostris,Rotifera,Bdelloidea,NA,NA,Rotaria
Rotaria mento,Rotifera,Bdelloidea,NA,NA,Rotaria
Rotaria ovata,Rotifera,Bdelloidea,NA,NA,Rotaria
Otostephanos donneri,Rotifera,Bdelloidea,Philodinida,Habrotrochidae,Otostephanos
Euchordodes nigromaculatus,Nematomorpha,Gordioida,Chordodea,Chordodidae,Euchordodes
Parachordodes diblastus,Nematomorpha,Gordioida,Chordodea,Chordodidae,Parachordodes
Gordionus maori,Nematomorpha,Gordioida,Chordodea,Parachordodidae,Gordionus
Mesobiotus insanis,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Mesobiotus
Mesobiotus ethiopicus,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Mesobiotus
Paragordius amicus,Nematomorpha,Gordioida,Gordea,Gordiidae,Paragordius
Paragordius tricuspidatus,Nematomorpha,Gordioida,Gordea,Gordiidae,Paragordius
Paragordius obamai,Nematomorpha,Gordioida,Gordea,Gordiidae,Paragordius
Sphaerirostris lanceoides,Acanthocephala,Palaeacanthocephala,Polymorphida,Centrorhynchidae,Sphaerirostris
Mesobiotus romani,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Mesobiotus
Mesobiotus occultatus,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Mesobiotus
Habrotrocha lata,Rotifera,Bdelloidea,Philodinida,Habrotrochidae,Habrotrocha
Moniliformis kalahariensis,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
