"","taxa","phylum"
"1","Oncaea hnack","Arthropoda"
"2","Neotiwaripotamonheadi","Arthropoda"
"3","Daphnia galeata x Daphnia hyalina","Arthropoda"
"4","Uroctena wadjukiayellandi","Arthropoda"
"5","Triopsaroo","Arthropoda"
"6","Metanephropsensis","Arthropoda"
"7","Proctophyllodes breviquadratus","Arthropoda"
"8","Amerodectes geothlypis","Arthropoda"
"9","Amerodectes atyeoi","Arthropoda"
"10","Eriophyes amu","Arthropoda"
"11","Limnesia sp","Arthropoda"
"12","Piona sp","Arthropoda"
"13","Charybdisensis","Arthropoda"
"14","Eugerdellaiso","Arthropoda"
"15","Demodex cornei","Arthropoda"
