"","taxa","phylum"
"1","Labeoii","Chordata"
"2","Horabagrus nigriis","Chordata"
"3","Bunocephalus negro","Chordata"
"4","Pundamilia pundamilia x Pundamilia nyererei","Chordata"
"5","Opistognathushursti","Chordata"
"6","Cubicepsleggii","Chordata"
"7","Craterocephalus stercusmuscarum x Craterocephalus stramineus","Chordata"
"8","Chromis gi","Chordata"
"9","Sphenanthiasheadi","Chordata"
"10","Sanopusfieldorum","Chordata"
"11","Chaetodonburnii","Chordata"
"12","Barbus barbus x Barbus meridionalis","Chordata"
"13","Capoeta damascina x Luciobarbus longiceps","Chordata"
"14","Mobula alfredi x Mobula birostris","Chordata"
"15","Oreochromis niloticus xreochromis urolepis hornorum","Chordata"
"16","Squalus zpl","Chordata"
"17","Clarias angolensis soleshaped","Chordata"
"18","Eutaeniophorus iya","Chordata"
"19","Cyprinus carpio Furong x Carassius auratus red","Chordata"
"20","Paraneetroplus synspilus x Amphilophus citrinellus","Chordata"
"21","Petenia splendida x Cichlasoma synspilum","Chordata"
"22","Symphysodon discus x Symphysodon haraldi","Chordata"
"23","Acipenser ruthenus x Acipenser baerii","Chordata"
"24","Starksiafieldi","Chordata"
"25","Devario undet","Chordata"
"26","Etrumeusheadi","Chordata"
