search_string,genus_split
Alpinoscincus alpinus,Alpinoscincus
Alpinoscincus,Alpinoscincus
Apolemotermes fodiens,Apolemotermes
Grigorovia transvaalensis,Grigorovia
Mycobernardia incrustans,Mycobernardia
Neoheleiosa lincangensis,Neoheleiosa
Ostropomyces pruinosellus,Ostropomyces
Setoutiphycus delamareoides,Setoutiphycus
Solenocristus karooensis,Solenocristus
Solenocristus searsius,Solenocristus
Tyrannoptyssalges striatus,Tyrannoptyssalges
Yoshiicerus dissimilis,Yoshiicerus
Yoshiicerus persimilis,Yoshiicerus
